"id","family_name","first_names","id:1","club"
849,Guise,William Vernon,2,Athenaeum Club
853,Gurney,John Henry,2,Athenaeum Club
862,Hallam,Henry,2,Athenaeum Club
865,Hamilton,Archibald,2,Athenaeum Club
867,Hamilton,Rowland,5,Oriental Club
899,Harvey,John E,2,Athenaeum Club
900,Haserick,Frederick Augustus,41,Brasenose Club
900,Haserick,Frederick Augustus,42,Manchester Club
917,Heath,Dunbar Isidore,13,Cannibal Club
933,Hepworth,John Mason,13,Cannibal Club
941,Heywood,James,2,Athenaeum Club
943,Higgins,Alfred,13,Cannibal Club
969,Hodgson,Kirkman Daniel,2,Athenaeum Club
974,Holgate,Jennings,21,Arundel Club
982,Hooker,Joseph,43,X Club
982,Hooker,Joseph,2,Athenaeum Club
990,Houghton,x,13,Cannibal Club
990,Houghton,x,2,Athenaeum Club
1000,Howorth,Henry Hoyle,2,Athenaeum Club
1000,Howorth,Henry Hoyle,4,Carlton Club
1008,Hughes,Thomas McKenny,2,Athenaeum Club
1014,Hunt,James,13,Cannibal Club
1017,Hunter,William Wilson,2,Athenaeum Club
1024,Huxley,Thomas Henry,43,X Club
1024,Huxley,Thomas Henry,2,Athenaeum Club
1043,Jackson,Henry (the son),2,Athenaeum Club
1049,Jacob,Le Grand,45,East India United Services Club
1054,Janson,F H,46,West Kent Cricket Club
1055,Jardine,William,2,Athenaeum Club
1089,Joy,Algernon,2,Athenaeum Club
1089,Joy,Algernon,47,Junior United Service Club
1092,Jukes,J  Beete,2,Athenaeum Club
1139,La Barte,William White,48,Essex Field Club
1144,Laing,Thomas Josiah,8,Reform Club
1152,Lane Fox later Pitt Rivers,Augustus Henry,49,Guards Club
1152,Lane Fox later Pitt Rivers,Augustus Henry,2,Athenaeum Club
1153,Lang,Andrew,2,Athenaeum Club
1160,Latham,Robert Gordon,2,Athenaeum Club
1166,Lawrence,Edward (1),2,Athenaeum Club
1169,Lawrence,William,2,Athenaeum Club
1173,Layard,Austen Henry,2,Athenaeum Club
1179,Lee (2),John,2,Athenaeum Club
1185,Lefroy,x,2,Athenaeum Club
1207,Lister,Joseph,2,Athenaeum Club
1211,Liveing,Robert,2,Athenaeum Club
1219,Lockyer,Joseph Norman,2,Athenaeum Club
1225,Longman,William,2,Athenaeum Club
1225,Longman,William,39,Alpine Club
1235,Lubbock,John,43,X Club
1235,Lubbock,John,2,Athenaeum Club
1245,Lyell,Charles,2,Athenaeum Club
1255,Mackenzie,Kenneth Robert Henderson,13,Cannibal Club
1266,Macleay,George,2,Athenaeum Club
1271,Malcolm,Charles,2,Athenaeum Club
1272,Malcolm,William Elphinstone,50,Royal Societies Club
1279,Markham,Clements Robert,5,Oriental Club
1279,Markham,Clements Robert,2,Athenaeum Club
1283,Marsh,Matthew Henry,2,Athenaeum Club
1285,Marshall,George William,15,New University Club
1292,Martin,H  Victor,21,Arundel Club
1296,Martin,Richard Biddulph,2,Athenaeum Club
1296,Martin,Richard Biddulph,51,Wyndham Club
1296,Martin,Richard Biddulph,52,Ranelagh Club
1306,Matthews,Henry,2,Athenaeum Club
1314,Maxwell,Peter Benson,2,Athenaeum Club
1321,Mayson,John S,14,Union Club
1336,McNair,John Frederick,2,Athenaeum Club
1339,Meadows,Thomas Taylor,2,Athenaeum Club
1350,Meryon,Edward,2,Athenaeum Club
1364,Mills,Henry F,17,Thatched House Club
1377,Mitchell,Arthur,50,Royal Societies Club
1379,Mitchell,William Henry,10,Junior Carlton Club
1380,Mitchell,William Stephen,15,New University Club
1392,Monro,J,19,Army & Navy Club
1393,Montgomerie,Frederick Butler,35,Conservative Club
1393,Montgomerie,Frederick Butler,2,Athenaeum Club
1399,Moore,Henry Reginald,53,Junior Garrick Club
1413,Morison,Alexander,2,Athenaeum Club
1414,Morison,James Cotter,2,Athenaeum Club
1426,Morrison,Walter,38,United University Club
1439,Muir,J,2,Athenaeum Club
1448,Murchison,Roderick Impey,2,Athenaeum Club
1452,Murray,John,2,Athenaeum Club
1487,Nicholson,Charles,2,Athenaeum Club
1491,Nicol,J  Dyce,2,Athenaeum Club
1509,O'Callaghan,P,55,"Tennis Court Club, Leamington"
1510,O'Connor,Luke Smyth,14,Union Club
1510,O'Connor,Luke Smyth,32,United Service Club
1518,Oliphant,Laurence,2,Athenaeum Club
1520,Oppert,Gustav,56,"Madras Club, Madras"
1521,Ord,William M,2,Athenaeum Club
1522,Ormathwaite,John Benn,4,Carlton Club
1524,Osborn,Sherard,2,Athenaeum Club
1527,Ouvry,Frederick,2,Athenaeum Club
1530,Owen,John Fletcher,47,Junior United Service Club
1531,Owen,Richard,2,Athenaeum Club
1542,Palmer,Silas,57,Newbury and District Field Club
1548,Parkes,Harry,2,Athenaeum Club
1548,Parkes,Harry,5,Oriental Club
