"Name"
AI
APS
ASL
Aberdeen Horticultural Society
Academia Quirurgia of Madrid
Academie Hongroise de Pest
Academy of Anatolia
Academy of Medicine and Surgery of Madrid and Barcelona
Academy of Natural Sciences Philadelphia
Academy of Natural Sciences of Spain
"Academy of Surgery, Madrid"
Acclimatisation Society
Ad Eundem
Africa
Albania
Albemarle Burlington Club
Albert Club
Alfred Club
Algic Society
Alpine Club
America
American Ethnological Society
American Jewish Historical Society
American Medical Association
American Oriental Society
Anthropological Institute of New York
Anthropological Society of Berlin
Anthropological Society of Brussels
Anthropological Society of Moscow
Anthropological Society of Paris
Anthropological Society of Washington
Argentina
Armenia
Army & Navy Club
Arthurs Club
Arts Club
Arundel Club
Association Scientifique de Paris
Association for Promoting the General Welfare of the Blind
Association for the Protection of Homeopathic Students and Practitioners
Assyriologist
Athenaeum Club
Australia
Austria
Austria Hungary
Bacup Natural History Society
Bath Natural History Society
Bath Royal Literary and Scientific Institution
Bath and County Club
Belgian Academy of Sciences of France
Belgium
Belize
Bermuda
Berwickshire Naturalists Field Club
Biblical Archaeological Society
Borneo
Botanical Society of Edinburgh
Botanical Society of London
Brasenose Club
Brazil
Bristol and Gloucester Archaeological Society
British Academy
British Archaeological Association
British Archaeological Society
British Association
British Homeopathic Association
British Homeopathic Society
British Medical Association
British Museum
British Mycological Society
British National Association of Spirtualists
Brookes Club
Buffalo Society of Natural Sciences
Burmah
Caerleon Antiquarian Association
Caledonian Club
Cambrian Archaeological Association
Cambrian Archaeological Society
Cambridge Philosophical Society
Camden Society
Canada
Cannibal Club
Carlton Club
Century Club
Ceylon
Charity Organization Society
Chemical Society
Child Study Society
Childhood Society
Chile
China
CoE
Colquehoun Club
Conservative Club
Cork Scientific and Literary Society
Cumberland and Westmorland Antiquarian and Archaeological Society
Cyprus
Denmark
Dominican Republic
Dresden Geographical Society
ESL
Early English Text Society
East India Club
East India United Services Club
East Yorkshire Anthropological Society
Eclectic Medical Society of New York
Ecuador
Edinburgh Gratis Sabbath School Society
Edinburgh Mathematical Society
Egypt
Entomological Society of London
Essex Field Club
Ethiopia
"Ethnological Society, New York"
"Ethnological Society, Paris"
Ex Libris Society
Field Naturalists Club of Victoria
Finland
Folklore Society
France
French Guiana
Garrick Club
Genealogical and Historical Society of Great Britain
Geographical Society of Paris
Geological Society
Geological Society of France
Geologist's Association
Georgia Historical Society
German Oriental Society
Germany
Gibraltar
Glasgow Art Club
Glasgow Secular School Society
Glasgow Sunday Educational Association
Grafton Club
Greece
Guards Club
Hahneman Medical Society
Haiti
Halifax Literary and Philosophical Society
Harveian Society
Hastings and St Leonard's Philosophical Society
Hertfordshire Natural History Society
Historic Society of Lancashire and Cheshire
Historical Institute
Holland
Hong Kong
Horticultural Society of Ulverstone
Hull Literary and Philosophical Society
Hungarian Academy of Sciences
Hungary
Imperial Academy of Dresden
Imperial Academy of Medicine of France
Imperial Leopoldino Carolina Academia Naturae Curiosum
India
Indian Club
Indian Reform Association
Institut d'Afrique a Paris
Institute of Actuaries
Institute of France
Institute of Mining Engineers
Institution of Mechanical Engineers
Iraq
Ireland
Israel
Italy
Jamaica
Japan
Java
Jew
Johnson Club
Junior Athenaeum Club
Junior Carlton Club
Junior Garrick Club
Junior United Service Club
Kent Archaeological Society
LAS
Leeds Philosophical and Literary Society
Libya
Linnean Society of London
Linnean Society of New South Wales
Literary and Philosophical Society of Liverpool
Liverpool District Provident Society
Liverpool Literary and Philosophical Society of Liverpool
London
London School of Phrenology
London Secular Society
London Spiritualist Alliance
London Topographical Society
London and Middlesex Archaeological Association
Madagascar
Madeira
"Madras Club, Madras"
Malaysia
Malta
Manchester Anthropological Society
Manchester Club
Manchester Geological Society
Manchester Literary Club
Manchester Literary and Philosophical Society
Manchester Medical Society
Manchester Scientific Student's Association
Manx Society
Marine Biological Association of the United Kingdom
Marlborough Club
Mauritius
Medical Society of London
Medical and Chirurgical Society of London
Medico Psychological Association
Metaphysical Society
Meteriological Society Scotland
Meteriological Society of France
Methodist
Mexico
Michigan Historical Society
Microscopical Society of London
Midland Natural History Society
"Museum d'Histoire Naturel, Paris"
Natal Agricultural and Horticultural Society
Natal Society
National Association for the Promotion of Social Sciences
National Association of Spiritualists of London
National Club
National Institution for Diseases of the Skin Edinburgh
National Secular Society
National Union of Conservative and Constitutional Associations
National Vaccine Establishment
Nationalist Club
Naval and Military Club
New Athenaeum Club
"New Club, Edinburgh"
New England Historic Genealogical Society
New Reform Club
New Spalding Club
New Sydenham Society
New University Club
New York Dermatological Society
New York Historical Society
New York Institute for the Deaf and Dumb
New Zealand
Newbury and District Field Club
Nicaragua
North of England Institute of Mining and Mechanical Engineers
Northern Homeopathic Society
Norway
Norwich and Norfolk Geological Society
Numismatic Society
Obstetrical Society of London
Oriental Club
Ornithological Society
Palaeontographical Society
Palestine Exploration Fund
Pali Text Society
Panama
Pathological Society of London
Persia
Peru
Philological Society
Philomatic Society of Paris
"Philosophical & Literary Society, Leeds"
Philosophical Institute of Victoria
Philosophical Society of Manchester
Phrenological Association
Phrenological Society
Phrenopathic Society of Aversa
Physical Research Society
Pietermaritzburg Horticultural Society
Pitcairn Islands
Poland
Portugal
Prehistoric Society
Prehistoric Society of East Anglia
Prussia
Pscyhological Society
Puerto Rico
QCA
Quaker
Ranelagh Club
Reform Club
Romania
Royal Academy
Royal Academy of Sciences
Royal Agricultural Society
Royal Albert Yacht Club
Royal Archaeological Institute
Royal Asiatic Society
Royal Astronomical Society
Royal Botanic Society of London
Royal Canadian Institute
Royal College of Physicians
Royal College of Physicians Edinburgh
Royal College of Surgeons
Royal College of Surgeons Edinburgh
Royal College of Surgeons Ireland
Royal Colonial Institute
Royal Geographical Society
Royal Geological Society of Cornwall
Royal Historical Society
Royal Historical and Archaeological Association of Ireland
Royal Horticultural Society of London
Royal Institute of British Architects
Royal Institute of the Netherlands
Royal Institution
Royal Irish Academy
Royal Medical Society of Berlin
Royal Medical and Chirurgical Society
Royal Meteorological Society
Royal Microscopical Society
Royal Norwegian Society of Sciences in Trondheim
Royal Numismatic Society
Royal Pharmaceutical Society
Royal Scottish Academy
Royal Scottish Geographical Society
Royal Scottish Society of Arts
Royal Scottish Society of Painters in Water Colours
Royal Societies Club
Royal Society
"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
Royal Society for the Prevention of Cruelty to Animals
Royal Society of Arts
Royal Society of British Sculptors
Royal Society of Canada
Royal Society of Edinburgh
Royal Society of Literature
Royal Society of New South Wales
Royal Society of Northern Antiquities
Royal Society of Northern Antiquities Copenhagen
Royal Society of Tasmania
Royal Society of Victoria
Royal Statistical Society
Royal United Service Institution
Royal Victoria Yacht Club
Ruler
Russia
Russian Entomological Society
Russian Geographic Society
Russian Geographical Society
Saint Petersburg Academy of Sciences
Savile Club
Science Club
Scotland
Scottish History Society
Scottish Meteorological Society
Scottish Text Society
Sesame Club
Seychelles
Sheffield Literary and Philosophical Society
Sheffield Medical Society
Singapore
Smithsonian Institution
Sociedad Antropologica Espanola
Societa Italiana di Antropologia e di Etnologia
Societe Archaeologique du Midi de la France
Societe Archeologique de Namur
Societe Parisienne d'Archeologie et d'Histoire
Societe des Amis de la Nature of Moscow
Society for Biblical Archaeology
Society for Promoting Christian Knowledge
