"Name","birth_year","death_year","Target","first_year","last_year"
Ann Everett,NA,NA,APS,1839,1861
Joseph Farden,NA,NA,APS,1851,1866
John Fell,NA,NA,APS,1852,1852
Mary Fell,NA,NA,APS,1840,1840
S H Fisher,NA,NA,APS,1855,1855
Caleb Fletcher,NA,NA,APS,1854,1865
Martha Fletcher,NA,NA,APS,1854,1855
John Ford,NA,NA,APS,1854,1857
George Fox,NA,NA,APS,1862,1867
Henry Fox,NA,NA,APS,1862,1867
Robert Were Fox,NA,NA,APS,1838,1867
x Fox,NA,NA,APS,1861,1861
W Gayner,NA,NA,APS,1855,1855
Joseph Gibbens,NA,NA,APS,1860,1864
Ann Gibson,NA,NA,APS,1860,1865
Francis Gibson,NA,NA,APS,1840,1861
F  E Gibson,NA,NA,APS,1860,1861
W G Gibson,NA,NA,APS,1862,1862
T Gill,NA,NA,APS,1861,1862
J Gillett,NA,NA,APS,1863,1863
John Gillett,NA,NA,APS,1860,1863
J Gilpin,NA,NA,APS,1860,1862
James Gingell,NA,NA,APS,1860,1862
John Good,NA,NA,APS,1861,1867
Josiah Grace,NA,NA,APS,1860,1861
Thomas Graham,NA,NA,APS,1851,1858
John Green,NA,NA,APS,1860,1863
T Gregory,NA,NA,APS,1860,1862
G Grimshaw,NA,NA,APS,1861,1862
x Hadfield,NA,NA,APS,1864,1867
Isaac Hadwen,NA,NA,APS,1852,1865
Robert Harding,NA,NA,APS,1861,1867
Henry Harris,NA,NA,APS,1861,1867
Lydia Harris,NA,NA,APS,1840,1862
Thomas Harvey,NA,NA,APS,1852,1867
George Head,NA,NA,APS,1838,1865
Sarah Head,NA,NA,APS,1859,1867
H Headley,NA,NA,APS,1860,1860
W Hewitson,NA,NA,APS,1860,1860
Charles Hicks,NA,NA,APS,1862,1867
Elizabeth Hills,NA,NA,APS,1863,1867
James Hills,NA,NA,APS,1861,1861
John Hills,NA,NA,APS,1853,1864
Gurney Hoare,NA,NA,APS,1838,1840
Maria Hooper,NA,NA,APS,1860,1862
J Hopkins,NA,NA,APS,1839,1860
Rebecca Hopkins,NA,NA,APS,1860,1867
Mary Horsnail,NA,NA,APS,1851,1857
Elizabeth Howard (2),NA,NA,APS,1860,1867
Elizabeth Howard,NA,NA,APS,1851,1865
Thomas Hughes,NA,NA,APS,1867,1867
Henry Hunt,NA,NA,APS,1838,1861
T Hunt,NA,NA,APS,1862,1862
J Hurnard,NA,NA,APS,1860,1861
John C Isaac,NA,NA,APS,1855,1867
John James,NA,NA,APS,1860,1860
Charles Janson,NA,NA,APS,1861,1866
Samuel Jesper,NA,NA,APS,1851,1852
Benjamin Jowett (2),NA,NA,APS,1852,1867
John Jun Jowett,NA,NA,APS,1851,1851
Robert Jowett (2),NA,NA,APS,1852,1862
John King,NA,NA,APS,1860,1862
Samuel King,NA,NA,APS,1860,1867
Thomas King,NA,NA,APS,1838,1840
Alfred Kitching,NA,NA,APS,1860,1866
C Knight,NA,NA,APS,1839,1839
John Lee,NA,NA,APS,1851,1865
x Leitch,NA,NA,APS,1847,1849
Thomas Letchmore,NA,NA,APS,1860,1860
Thomas x Jun Letchmore,NA,NA,APS,1860,1860
Thomas Letchworth,NA,NA,APS,1862,1867
Thomas Jun Letchworth,NA,NA,APS,1864,1866
Thomas x Jun Letchworth,NA,NA,APS,1862,1865
S Lloyd,NA,NA,APS,1865,1865
Edward Lucas,NA,NA,APS,1852,1867
Rebecca Lucas,NA,NA,APS,1851,1867
Thomas Marriage,NA,NA,APS,1861,1862
John Marsh,NA,NA,APS,1860,1867
R Marsh,NA,NA,APS,1860,1861
William Matthews,NA,NA,APS,1862,1866
William Mattravers,NA,NA,APS,1839,1840
D Miller,NA,NA,APS,1853,1859
John Morrison,NA,NA,APS,1839,1851
E Neave,NA,NA,APS,1861,1861
Mary Overend,NA,NA,APS,1851,1855
W J Palmer,NA,NA,APS,1862,1866
J Pears,NA,NA,APS,1839,1851
x Poeppig,NA,NA,APS,1839,1840
Edward Priestman (2),NA,NA,APS,1866,1866
John Priestman,NA,NA,APS,1852,1862
James Ransome,NA,NA,APS,1839,1862
Robert Ransome,NA,NA,APS,1839,1865
William Rathbone,NA,NA,APS,1839,1867
J Jun Read,NA,NA,APS,1839,1840
Edward Richardson,NA,NA,APS,1839,1861
Henry Richardson,NA,NA,APS,1860,1867
W Richardson,NA,NA,APS,1860,1861
R M Rickman,NA,NA,APS,1862,1862
S Rickman,NA,NA,APS,1838,1838
Leitch Ritchie,NA,NA,APS,1839,1851
J Rooke,NA,NA,APS,1860,1860
Alfred Rosling,NA,NA,APS,1861,1866
John S Rowntree,NA,NA,APS,1866,1866
Joseph Rowntree,NA,NA,APS,1851,1855
Samuel Rundall,NA,NA,APS,1839,1839
Henry Russell,NA,NA,APS,1851,1853
Joseph Sams,NA,NA,APS,1838,1855
J A Sanders,NA,NA,APS,1861,1861
Mary Sansom,NA,NA,APS,1855,1855
Micheal Scatterthwaite,NA,NA,APS,1861,1861
S Scatterthwaite,NA,NA,APS,1861,1862
Leonard Sedgwick,NA,NA,APS,1861,1864
Benjamin Seebohm,NA,NA,APS,1865,1866
