"Name","birth_year","death_year","Target","first_year","last_year"
J H Tuke,NA,NA,APS,1862,1862
Samuel Tuke,NA,NA,APS,1840,1860
Ann Tweedy,NA,NA,APS,1861,1867
R Tweedy,NA,NA,APS,1860,1860
William Tweedy,NA,NA,APS,1838,1854
Richard Veale,NA,NA,APS,1852,1867
William Veale,NA,NA,APS,1864,1864
John Wadge,NA,NA,APS,1838,1838
F J Walker,NA,NA,APS,1860,1860
Marriage Wallis,NA,NA,APS,1861,1866
Charles B Warner,NA,NA,APS,1851,1851
Septimus Warner,NA,NA,APS,1862,1862
Lucy Westcombe,NA,NA,APS,1865,1867
Thomas Westcombe,NA,NA,APS,1860,1867
Benjamin Wheeler,NA,NA,APS,1851,1856
Frederick Wheeler,NA,NA,APS,1851,1867
Samuel Wheeler,NA,NA,APS,1852,1854
John Whiting,NA,NA,APS,1862,1867
John Wiblin,NA,NA,APS,1861,1867
Caleb Williams,NA,NA,APS,1854,1867
John E Wilson,NA,NA,APS,1860,1867
Joshua Wilson,NA,NA,APS,1860,1860
F Woodhead,NA,NA,APS,1861,1862
W Woolston,NA,NA,APS,1861,1861
Francis Wright,NA,NA,APS,1838,1838
S W Wright,NA,NA,APS,1861,1861
George Abbott,NA,NA,APS,1839,1851
E Abdy,NA,NA,APS,1839,1839
William Abdy,NA,NA,APS,1839,1840
S J Abington,NA,NA,APS,1859,1862
x Adams,NA,NA,APS,1839,1839
Charles Adlard,NA,NA,APS,1838,1839
James Adlard,NA,NA,APS,1838,1839
x Agar,NA,NA,APS,1861,1861
C A Albright,NA,NA,APS,1865,1865
E A Albright,NA,NA,APS,1864,1864
John Alcard,NA,NA,APS,1851,1856
J Alexander,NA,NA,APS,1862,1866
Elizabeth Allen,NA,NA,APS,1860,1867
F Allen,NA,NA,APS,1838,1838
J Allen,NA,NA,APS,1861,1861
John Allen,NA,NA,APS,1838,1857
Richard Allen,NA,NA,APS,1861,1867
S Allen,NA,NA,APS,1855,1863
S Allen (2),NA,NA,APS,1860,1867
T Allen,NA,NA,APS,1861,1861
Denison H Allport,NA,NA,APS,1849,1854
A Ambrose,NA,NA,APS,1862,1862
G F Angas,NA,NA,APS,1838,1840
N D By G F Angas,NA,NA,APS,1852,1855
Henry Angus,NA,NA,APS,1860,1860
x Ap Forstell,NA,NA,APS,1839,1851
x Apelez,NA,NA,APS,1838,1839
Richard Ash,NA,NA,APS,1851,1866
Frederick Ashby,NA,NA,APS,1860,1867
F J Atkins,NA,NA,APS,1838,1839
E Backhouse,NA,NA,APS,1855,1864
Fanny Backhouse,NA,NA,APS,1856,1856
J Backhouse,NA,NA,APS,1855,1862
J E Backhouse,NA,NA,APS,1857,1857
S Backhouse,NA,NA,APS,1854,1857
E Baines,NA,NA,APS,1838,1840
Frederick Baines,NA,NA,APS,1838,1866
M T Baines,NA,NA,APS,1838,1838
Hannah Baker,NA,NA,APS,1863,1867
J G Baker,NA,NA,APS,1864,1864
Adrian Balbi,NA,NA,APS,1839,1851
J S Banbury,NA,NA,APS,1863,1863
Sa Bandeira,NA,NA,APS,1839,1851
John Banim,NA,NA,APS,1839,1840
Sax Bannister,NA,NA,APS,1838,1840
x Barclay,NA,NA,APS,1853,1855
C Baxter,NA,NA,APS,1861,1861
S Beale,NA,NA,APS,1853,1853
x Beaumont,NA,NA,APS,1847,1849
Esther Beecham,NA,NA,APS,1855,1855
A Bell,NA,NA,APS,1851,1855
Maldon Bell,NA,NA,APS,1864,1864
Mary Bell,NA,NA,APS,1859,1867
S E E Bell,NA,NA,APS,1861,1861
John Bellerby,NA,NA,APS,1861,1861
F J Bett,NA,NA,APS,1856,1856
x Bevan,NA,NA,APS,1860,1860
Samuel Blackburn,NA,NA,APS,1838,1839
W T Blair,NA,NA,APS,1840,1840
W Blott,NA,NA,APS,1861,1861
x Blumenbach,NA,NA,APS,1839,1839
x Boehmer,NA,NA,APS,1839,1851
D Bolton,NA,NA,APS,1855,1855
J Booth,NA,NA,APS,1861,1861
James Booth,NA,NA,APS,1863,1863
x Booth,NA,NA,APS,1862,1862
x Bott,NA,NA,APS,1860,1860
x Bousfield,NA,NA,APS,1860,1860
Benjamin Boyd,NA,NA,APS,1847,1847
J Bradley,NA,NA,APS,1860,1860
x Brady,NA,NA,APS,1860,1860
L Bridgland,NA,NA,APS,1862,1862
x Brightwell,NA,NA,APS,1860,1860
John Ivatt Briscoe,NA,NA,APS,1839,1855
x Brouwer,NA,NA,APS,1839,1851
D Brown,NA,NA,APS,1862,1862
Jeremiah Bryant,NA,NA,APS,1839,1840
J Buckland,NA,NA,APS,1862,1862
John Budge,NA,NA,APS,1838,1840
W F Budgett,NA,NA,APS,1861,1861
x Burder,NA,NA,APS,1839,1840
John Burgess,NA,NA,APS,1840,1840
x Burgess,NA,NA,APS,1861,1862
John Burnett,NA,NA,APS,1839,1862
Edmund Buxton,NA,NA,APS,1839,1840
x Buxton,NA,NA,APS,1838,1838
M Cabet,NA,NA,APS,1839,1851
John Candlish,NA,NA,APS,1861,1861
R Carthington,NA,NA,APS,1860,1860
James Cash,NA,NA,APS,1860,1862
M Cassin,NA,NA,APS,1839,1851
L A Chamerovzov,NA,NA,APS,1849,1867
M Chamisso,NA,NA,APS,1839,1840
x Channing,NA,NA,APS,1839,1840
R Chapman,NA,NA,APS,1840,1840
Eardley Childers,NA,NA,APS,1839,1840
George Christie,NA,NA,APS,1838,1839
Ann W Christy,NA,NA,APS,1865,1867
Alfred Spencer Churchill,NA,NA,APS,1865,1867
Charles Clark,NA,NA,APS,1860,1866
Thomas Clark,NA,NA,APS,1860,1862
W J Clark,NA,NA,APS,1860,1860
x Clark (2),NA,NA,APS,1860,1863
Ebenezer Clarke,NA,NA,APS,1840,1840
Joseph Clarke,NA,NA,APS,1867,1867
Thomas Clarkson,NA,NA,APS,1839,1840
John Clayton,NA,NA,APS,1839,1840
J W C Clothier,NA,NA,APS,1863,1866
R C Cobbold,NA,NA,APS,1853,1854
Robert K Cobbold,NA,NA,APS,1851,1852
Jane Cocks,NA,NA,APS,1851,1852
x Collett,NA,NA,APS,1852,1852
J B Cook,NA,NA,APS,1866,1866
P Cook,NA,NA,APS,1862,1862
George Cooke,NA,NA,APS,1861,1867
J B Cooke,NA,NA,APS,1861,1862
J Cooper,NA,NA,APS,1852,1861
x Corbett,NA,NA,APS,1839,1840
x Corder,NA,NA,APS,1860,1860
James Coxen,NA,NA,APS,1861,1864
Agnes Craig,NA,NA,APS,1859,1867
William Crawford,NA,NA,APS,1839,1840
Handel Crosham,NA,NA,APS,1865,1865
Ann Crowley,NA,NA,APS,1867,1867
E Crowley,NA,NA,APS,1860,1860
P Cudworth,NA,NA,APS,1865,1865
x Cuff,NA,NA,APS,1860,1862
x David,NA,NA,APS,1839,1851
x Davies,NA,NA,APS,1860,1860
James Davis,NA,NA,APS,1864,1867
M De Beaumont,NA,NA,APS,1839,1851
x De Gerando,NA,NA,APS,1839,1840
J Dennis,NA,NA,APS,1861,1862
Thomas Denton,NA,NA,APS,1860,1860
Augustus D'Este,NA,NA,APS,1838,1851
W R Deverell,NA,NA,APS,1839,1840
John Dinham,NA,NA,APS,1862,1862
Thomas Dinham,NA,NA,APS,1860,1860
Anthony Dinsdale,NA,NA,APS,1861,1863
D Dodshon,NA,NA,APS,1861,1861
J M Dorking,NA,NA,APS,1863,1863
x Doubleday,NA,NA,APS,1862,1863
James Douglas,NA,NA,APS,1838,1855
F C Dowley,NA,NA,APS,1860,1860
x Downing,NA,NA,APS,1839,1840
J E Drake,NA,NA,APS,1839,1840
P Du Ponceau,NA,NA,APS,1839,1840
Philip Durant,NA,NA,APS,1838,1838
x Edmonds,NA,NA,APS,1860,1860
x Edwards,NA,NA,APS,1839,1840
E & M Elliott,NA,NA,APS,1852,1852
Ebenezer Elliott,NA,NA,APS,1839,1851
Mary Elliott,NA,NA,APS,1851,1867
John Ellis,NA,NA,APS,1850,1867
W Enfield,NA,NA,APS,1860,1860
John Epps,NA,NA,APS,1860,1867
Don Flores Estrada,NA,NA,APS,1839,1851
William Evans,NA,NA,APS,1839,1855
x Evans,NA,NA,APS,1860,1860
Edward Everett,NA,NA,APS,1839,1851
John Fairbarn,NA,NA,APS,1840,1852
William Falconer,NA,NA,APS,1861,1861
Joshua Fardon,NA,NA,APS,1867,1867
J Farnworth,NA,NA,APS,1862,1862
M Felix,NA,NA,APS,1839,1851
Pinheiro Fereira,NA,NA,APS,1847,1849
Conrad Finzel,NA,NA,APS,1860,1866
Horman S Fisher,NA,NA,APS,1858,1858
A Fitzjames,NA,NA,APS,1866,1866
x Flashman,NA,NA,APS,1862,1862
Estrade Flores,NA,NA,APS,1847,1849
E Ford,NA,NA,APS,1851,1851
Thomas Ford,NA,NA,APS,1863,1863
A F Forsell,NA,NA,APS,1847,1849
James T Foster,NA,NA,APS,1838,1851
John Lister Foster,NA,NA,APS,1847,1851
John Foulger,NA,NA,APS,1838,1840
x Foville,NA,NA,APS,1847,1849
Mary Fox,NA,NA,APS,1860,1867
x Foxville,NA,NA,APS,1851,1851
J J Freeman,NA,NA,APS,1838,1851
A Friend,NA,NA,APS,1862,1867
R Fry,NA,NA,APS,1862,1862
Benson Fryer,NA,NA,APS,1862,1862
Forster Fryer,NA,NA,APS,1862,1862
x Fryer,NA,NA,APS,1860,1864
Charles Garrett,NA,NA,APS,1865,1867
John Garrett,NA,NA,APS,1863,1864
H E Garvey,NA,NA,APS,1861,1861
M de Gasparin,NA,NA,APS,1839,1851
Elizabeth F Gibson,NA,NA,APS,1863,1865
G J Gibson,NA,NA,APS,1862,1862
Joseph Gillett,NA,NA,APS,1851,1855
F Good,NA,NA,APS,1865,1865
Hannah Good,NA,NA,APS,1861,1867
John T Grace,NA,NA,APS,1862,1867
M Grand Pierre,NA,NA,APS,1839,1851
M Grangeret de la Grange,NA,NA,APS,1839,1851
Laggan Grant,NA,NA,APS,1839,1839
Fr Groth,NA,NA,APS,1849,1849
Aldin Grout,NA,NA,APS,1839,1839
R R Gurley,NA,NA,APS,1839,1851
Edward Gurney,NA,NA,APS,1852,1853
Charles Gutzlaff,NA,NA,APS,1839,1851
R K Habgood,NA,NA,APS,1860,1862
C Haddison,NA,NA,APS,1865,1865
x Haddison,NA,NA,APS,1851,1863
x Hagger,NA,NA,APS,1860,1860
John Halcro,NA,NA,APS,1866,1867
John Hall,NA,NA,APS,1860,1866
x Halliday,NA,NA,APS,1839,1840
William Alers Hankey,NA,NA,APS,1838,1855
Josiah Hannam,NA,NA,APS,1865,1866
x Hannington,NA,NA,APS,1866,1867
x Hannom,NA,NA,APS,1861,1861
John Harford (2),NA,NA,APS,1852,1855
x Harmer,NA,NA,APS,1840,1840
James Harnard,NA,NA,APS,1863,1863
E Harris,NA,NA,APS,1851,1855
Isabella Harris,NA,NA,APS,1863,1867
Jane Harris,NA,NA,APS,1840,1862
John Harris,NA,NA,APS,1860,1862
Sarah Harris,NA,NA,APS,1840,1867
x Harrison,NA,NA,APS,1861,1866
W B Harvey,NA,NA,APS,1860,1860
Montague Hawtrey,NA,NA,APS,1839,1839
x Hayden,NA,NA,APS,1840,1840
A Heaviside,NA,NA,APS,1839,1840
S Hedley,NA,NA,APS,1860,1860
Bev D Hewett,NA,NA,APS,1862,1862
W M Higgins,NA,NA,APS,1838,1840
R Hill,NA,NA,APS,1839,1851
C Hinchcliffe,NA,NA,APS,1862,1862
Charles Hindley,NA,NA,APS,1838,1858
D P Hock,NA,NA,APS,1860,1860
A Hodgson,NA,NA,APS,1861,1861
x Hogendorp,NA,NA,APS,1839,1840
J Holen,NA,NA,APS,1861,1861
D Holmes,NA,NA,APS,1857,1857
x Hood,NA,NA,APS,1861,1861
Ann M Hopkins,NA,NA,APS,1867,1867
Sylvester Hovey,NA,NA,APS,1839,1840
x Humboldt,NA,NA,APS,1839,1851
x Humphrey,NA,NA,APS,1862,1862
Matthew Jun Hutchinson,NA,NA,APS,1838,1855
T Hutchinson,NA,NA,APS,1856,1856
Robert Ingam,NA,NA,APS,1851,1852
F Maitland Innes,NA,NA,APS,1840,1840
M Isambert,NA,NA,APS,1839,1851
Clement Jackson,NA,NA,APS,1851,1861
S J James,NA,NA,APS,1860,1860
John Jarold,NA,NA,APS,1851,1867
George Jarvis,NA,NA,APS,1862,1867
Joseph Jarvis,NA,NA,APS,1860,1864
R Jarvis,NA,NA,APS,1860,1861
x Jaubert,NA,NA,APS,1839,1851
S A Jeffries,NA,NA,APS,1860,1860
Samuel Jeffrys,NA,NA,APS,1853,1855
J Jefry,NA,NA,APS,1862,1862
N Jocelyn,NA,NA,APS,1839,1840
Joseph Johnson,NA,NA,APS,1865,1865
x Johnson,NA,NA,APS,1839,1840
Peter Jones,NA,NA,APS,1839,1851
Samuel Juke,NA,NA,APS,1855,1857
M A Julien,NA,NA,APS,1839,1840
x Julius,NA,NA,APS,1839,1851
Charles Jupe,NA,NA,APS,1862,1866
George T Kemp,NA,NA,APS,1861,1867
William Kennedy,NA,NA,APS,1839,1851
x Kerr,NA,NA,APS,1839,1851
x Kidd,NA,NA,APS,1840,1861
Henry Rochdale King,NA,NA,APS,1851,1866
J Knowles,NA,NA,APS,1860,1860
A J Larking,NA,NA,APS,1866,1867
H B Larking,NA,NA,APS,1861,1861
James Lawrence,NA,NA,APS,1862,1862
Buxton Lawrie,NA,NA,APS,1849,1849
Emma Letchworth,NA,NA,APS,1865,1867
x Letchworth,NA,NA,APS,1867,1867
Leone Levi,NA,NA,APS,1865,1867
Malcolm Lewin (2),NA,NA,APS,1856,1867
x Lichtenstein,NA,NA,APS,1839,1840
C Lilgevolch,NA,NA,APS,1839,1851
H L Lobeck,NA,NA,APS,1839,1840
A J Lorking,NA,NA,APS,1864,1865
x Lucas,NA,NA,APS,1861,1862
x Luden,NA,NA,APS,1839,1851
William Luner,NA,NA,APS,1839,1840
Robert Lush,NA,NA,APS,1851,1853
C Lushington,NA,NA,APS,1838,1839
S Lushington,NA,NA,APS,1838,1840
P Lyne,NA,NA,APS,1838,1838
G van der Maalen,NA,NA,APS,1839,1840
R A MacFie,NA,NA,APS,1851,1864
D P Mack,NA,NA,APS,1856,1856
Thomas MacNay,NA,NA,APS,1863,1863
x Maconochie,NA,NA,APS,1839,1851
G van der Maerlen,NA,NA,APS,1851,1851
P Maerlen,NA,NA,APS,1847,1849
Patrick Mair,NA,NA,APS,1839,1840
x Mallet,NA,NA,APS,1839,1840
Jules Malpet,NA,NA,APS,1849,1851
Jules Mampet,NA,NA,APS,1847,1847
W E Manser,NA,NA,APS,1862,1862
S Marsden,NA,NA,APS,1839,1840
x Marsden,NA,NA,APS,1839,1840
Martha E Marshall,NA,NA,APS,1861,1867
H Martin,NA,NA,APS,1853,1854
Peter Martin,NA,NA,APS,1840,1840
R Montgomery Martin,NA,NA,APS,1839,1854
W Martin,NA,NA,APS,1853,1854
x Martin,NA,NA,APS,1852,1854
M H Martindale,NA,NA,APS,1861,1866
Mary Martindale,NA,NA,APS,1864,1867
R A McFie,NA,NA,APS,1861,1866
x McLachlan,NA,NA,APS,1861,1861
x McNay,NA,NA,APS,1861,1861
W H Medhurst,NA,NA,APS,1839,1851
James Meek,NA,NA,APS,1862,1867
x Metcalf,NA,NA,APS,1839,1840
x Meyer,NA,NA,APS,1839,1840
Henry Miegoe,NA,NA,APS,1840,1840
E Mills,NA,NA,APS,1855,1855
D Mitchell,NA,NA,APS,1839,1851
x Mittermaier,NA,NA,APS,1839,1851
J Moffatt,NA,NA,APS,1839,1840
R Moffatt,NA,NA,APS,1847,1851
P Moire,NA,NA,APS,1838,1840
S G Montrou,NA,NA,APS,1839,1840
O Moore,NA,NA,APS,1861,1861
x Moorsom,NA,NA,APS,1839,1840
M Moraes Sarmento,NA,NA,APS,1839,1840
Henry Moreing,NA,NA,APS,1839,1840
x Morgan,NA,NA,APS,1838,1860
E Morris,NA,NA,APS,1861,1861
S G Morton,NA,NA,APS,1847,1851
Joseph Mosley,NA,NA,APS,1860,1860
Standish Motte,NA,NA,APS,1840,1840
C Mottley,NA,NA,APS,1865,1866
Joseph Mottley,NA,NA,APS,1838,1840
J Mounsey,NA,NA,APS,1860,1862
Edgar Musgrove,NA,NA,APS,1839,1862
W W Royston Nash,NA,NA,APS,1838,1840
J Natterier,NA,NA,APS,1839,1851
T Nicholls,NA,NA,APS,1839,1862
Daniel O'Connell,NA,NA,APS,1839,1840
John Olliver,NA,NA,APS,1851,1851
x Orchard,NA,NA,APS,1862,1862
x Orioli,NA,NA,APS,1839,1851
Oliver Ormerod,NA,NA,APS,1861,1867
J Horne Payne,NA,NA,APS,1865,1867
Z C Pearson,NA,NA,APS,1860,1860
Rachel Pease,NA,NA,APS,1838,1838
Richard Peck,NA,NA,APS,1855,1860
Brothers Peek,NA,NA,APS,1839,1840
Richard Peek,NA,NA,APS,1839,1867
J Pell,NA,NA,APS,1860,1860
x Philip,NA,NA,APS,1838,1851
x Phillips,NA,NA,APS,1840,1840
W Philpott,NA,NA,APS,1862,1862
Fererra Pinheiro,NA,NA,APS,1839,1851
T E Plint,NA,NA,APS,1860,1861
J F Polk,NA,NA,APS,1839,1851
T Pollard,NA,NA,APS,1862,1862
W Pollard,NA,NA,APS,1860,1860
x Pollard,NA,NA,APS,1860,1860
Margaret Pope,NA,NA,APS,1851,1866
Eliza Post,NA,NA,APS,1862,1862
x Post,NA,NA,APS,1860,1860
x Poulter,NA,NA,APS,1862,1862
Edward Priestman,NA,NA,APS,1854,1867
Elizabeth Priestman,NA,NA,APS,1864,1867
F R Priestman,NA,NA,APS,1861,1862
x Priestman,NA,NA,APS,1861,1861
Cornelieus Prior,NA,NA,APS,1860,1862
G Pritchard,NA,NA,APS,1839,1851
J E Pritchett,NA,NA,APS,1861,1861
Joseph R Procter,NA,NA,APS,1861,1867
J R Pumphrey,NA,NA,APS,1861,1861
Herman Quinius,NA,NA,APS,1849,1849
G Ralston,NA,NA,APS,1854,1858
W Ramsden,NA,NA,APS,1861,1862
John Rand,NA,NA,APS,1861,1861
Alfred Ransome,NA,NA,APS,1860,1867
Joshua Ransome,NA,NA,APS,1851,1859
W Ransome,NA,NA,APS,1860,1860
C Rathbone,NA,NA,APS,1863,1863
George Rawson,NA,NA,APS,1860,1860
James Read,NA,NA,APS,1839,1840
A Reid,NA,NA,APS,1851,1855
Mohammed Rheire,NA,NA,APS,1839,1851
x Riach,NA,NA,APS,1860,1860
Heinrich Richter,NA,NA,APS,1839,1840
x Rickman,NA,NA,APS,1852,1852
R Rickmer,NA,NA,APS,1860,1860
E Ridley,NA,NA,APS,1861,1865
x Ritchie,NA,NA,APS,1847,1849
Henry Robarts,NA,NA,APS,1839,1855
C B Robinson,NA,NA,APS,1860,1860
W Robson,NA,NA,APS,1861,1862
x Robson,NA,NA,APS,1839,1840
x Roger,NA,NA,APS,1839,1851
H Rolls,NA,NA,APS,1860,1860
T Roscoe,NA,NA,APS,1838,1838
R P Ruckman,NA,NA,APS,1866,1866
M Ruppel,NA,NA,APS,1839,1851
H C Rutherford,NA,NA,APS,1839,1840
J E Rutter,NA,NA,APS,1861,1862
Egerton Ryerson,NA,NA,APS,1839,1851
John Saunders,NA,NA,APS,1839,1851
S Saunders,NA,NA,APS,1862,1862
x Saunders,NA,NA,APS,1860,1860
x Schlosser,NA,NA,APS,1839,1851
Thomas Schofield,NA,NA,APS,1861,1867
x Scoon,NA,NA,APS,1861,1861
Samuel S Scriven,NA,NA,APS,1860,1862
Hannah Scurr,NA,NA,APS,1856,1859
E T Sewell,NA,NA,APS,1861,1861
x Sharples,NA,NA,APS,1861,1861
John S Shewell,NA,NA,APS,1867,1867
M Sismondi,NA,NA,APS,1839,1840
B Slack,NA,NA,APS,1864,1864
Ann Hopkins Smith,NA,NA,APS,1838,1851
Charles E Smith,NA,NA,APS,1838,1867
Culling Eardley Smith,NA,NA,APS,1838,1862
Ebenezer Smith,NA,NA,APS,1838,1853
Homerton Smith,NA,NA,APS,1838,1840
J P Smith,NA,NA,APS,1839,1840
P A Smith,NA,NA,APS,1865,1866
Pye Smith,NA,NA,APS,1851,1851
R Jun Smith,NA,NA,APS,1853,1855
x Smith,NA,NA,APS,1838,1852
W Somerville,NA,NA,APS,1862,1863
W Sommerville,NA,NA,APS,1867,1867
Sarah Southwell,NA,NA,APS,1863,1863
Julius Sperling,NA,NA,APS,1840,1840
N G Sperling,NA,NA,APS,1851,1851
x Sperling,NA,NA,APS,1852,1852
Osbourne Spurfield,NA,NA,APS,1860,1860
F Squire,NA,NA,APS,1839,1840
x Stafford,NA,NA,APS,1860,1860
George Stancliff,NA,NA,APS,1857,1858
Thomas Stark,NA,NA,APS,1851,1858
Trevor Steinglass,NA,NA,APS,1839,1851
x Steininger,NA,NA,APS,1839,1851
E Stephens,NA,NA,APS,1851,1851
J M Stephens,NA,NA,APS,1860,1860
x Stephens,NA,NA,APS,1860,1860
Deborah Sterry,NA,NA,APS,1860,1866
M Stevens,NA,NA,APS,1862,1864
x Stevens,NA,NA,APS,1855,1861
Mary Stevenson,NA,NA,APS,1856,1856
Andrew Stewart,NA,NA,APS,1861,1865
J J Stitt,NA,NA,APS,1861,1861
William Stokes,NA,NA,APS,1863,1866
John Stone,NA,NA,APS,1855,1855
x Stone,NA,NA,APS,1839,1851
x Stow,NA,NA,APS,1839,1840
Thomas Stronge,NA,NA,APS,1860,1864
x Stroud,NA,NA,APS,1838,1840
John James Stulz,NA,NA,APS,1838,1838
Charles Sturgeon,NA,NA,APS,1839,1867
x Sturges,NA,NA,APS,1860,1860
John James Sturtz,NA,NA,APS,1839,1840
J W Sully,NA,NA,APS,1860,1862
William Summerville,NA,NA,APS,1865,1865
Charles Sumner,NA,NA,APS,1839,1851
J H Sunman,NA,NA,APS,1858,1858
Arthur Tappan,NA,NA,APS,1839,1840
Thomas Taylor,NA,NA,APS,1861,1861
J B Teesdale,NA,NA,APS,1861,1861
Hull Terrell,NA,NA,APS,1838,1840
x Thatcher,NA,NA,APS,1839,1840
James Sanderson Thomas,NA,NA,APS,1860,1867
M Thomas,NA,NA,APS,1860,1860
Perronet Thompson,NA,NA,APS,1862,1867
H B Thorpe,NA,NA,APS,1861,1861
Jonathan Thorpe,NA,NA,APS,1860,1866
x Tiedeman,NA,NA,APS,1839,1851
M de Tocqueville,NA,NA,APS,1839,1851
Thomas Todd,NA,NA,APS,1864,1867
William McCullagh Torrens,NA,NA,APS,1866,1867
C S Tosswill,NA,NA,APS,1838,1840
J H Tredgold,NA,NA,APS,1838,1840
Henry Tuckett,NA,NA,APS,1838,1840
P E Tuckett,NA,NA,APS,1857,1859
J W Tuke,NA,NA,APS,1860,1861
x Tyler,NA,NA,APS,1839,1840
Jan Tzatzoe,NA,NA,APS,1839,1851
x Upcher,NA,NA,APS,1851,1855
x Vanderkamp,NA,NA,APS,1839,1851
M Villerme,NA,NA,APS,1839,1851
x Wainwright,NA,NA,APS,1861,1861
Joseph Waite,NA,NA,APS,1864,1864
Josiah Waites,NA,NA,APS,1861,1862
E Walker,NA,NA,APS,1861,1861
R Walker,NA,NA,APS,1860,1860
x Walker,NA,NA,APS,1860,1860
x Waring,NA,NA,APS,1862,1862
Harriett Warner,NA,NA,APS,1862,1866
Henrietta Warner,NA,NA,APS,1862,1867
M Warner,NA,NA,APS,1865,1865
C Washbourne,NA,NA,APS,1860,1860
John Washington,NA,NA,APS,1839,1840
x Weaver,NA,NA,APS,1860,1860
A Wells,NA,NA,APS,1838,1840
Frederick Wells,NA,NA,APS,1862,1862
Mary Wheeler,NA,NA,APS,1852,1854
J Whitby,NA,NA,APS,1860,1862
Anthony White,NA,NA,APS,1851,1853
x Whiting,NA,NA,APS,1860,1860
S Wilkin,NA,NA,APS,1838,1840
M Wilks,NA,NA,APS,1839,1851
John Williams,NA,NA,APS,1839,1856
H H Willis,NA,NA,APS,1851,1853
Frederick Wills,NA,NA,APS,1864,1867
H O Wills,NA,NA,APS,1862,1862
x Wills,NA,NA,APS,1839,1839
Joseph R Wilton,NA,NA,APS,1847,1851
R W Wingfield,NA,NA,APS,1862,1862
x Wiseman,NA,NA,APS,1839,1840
William Wolston,NA,NA,APS,1864,1864
Joseph Wontner,NA,NA,APS,1840,1855
Thomas Wontner,NA,NA,APS,1838,1855
Levi Wood,NA,NA,APS,1860,1866
Levi Wood (2),NA,NA,APS,1862,1862
S F Woolmer,NA,NA,APS,1849,1854
A B Wright,NA,NA,APS,1840,1851
Frances Wright,NA,NA,APS,1861,1867
P Wright,NA,NA,APS,1839,1840
W D D Wright,NA,NA,APS,1847,1847
x Wright (2),NA,NA,APS,1860,1861
x Wright,NA,NA,APS,1839,1850
W Wrigley,NA,NA,APS,1861,1862
James Yates,NA,NA,APS,1853,1856
John Young,NA,NA,APS,1840,1840
Thomas Zachary,NA,NA,APS,1840,1867
