"Name","birth_year","death_year","religion_1_quaker"
W W Boreham,1804,1887,NA
Cunningham Borthwick,1813,1885,NA
Joseph Bosworth,1788,1876,NA
Beriah Botfield,1807,1863,NA
x Boucher de Crevecoeur de Perthes,1788,1868,NA
x Boudin,1806,1867,NA
George Boulton,NA,NA,NA
Brasseur de Bourbourg,1814,1874,NA
x Bourien,NA,NA,NA
Philip Bourjeaurd,NA,NA,NA
Sydney Edward Bouverie Bouverie-Pusey,1839,1911,NA
Frederick Bower,NA,NA,NA
Robert Bowie,NA,NA,NA
Thomas William Bowman,NA,1893,NA
John Bowring,1792,1872,NA
William Henry Wentworth Bowyer,1807,1872,NA
William Boxall,1800,1879,NA
William Binnington Boyce,1804,1889,NA
Jacob Boys,1796,1884,NA
Edward William Brabrook,1839,1930,NA
Frederick Braby,1830,1911,NA
Charles Holt Bracebridge,1799,1872,NA
Thomas Braddell,1823,1891,NA
Antonio Brady,1811,1881,1
James Brady,NA,NA,NA
P A Brady,NA,NA,NA
William Bragge,1823,1884,NA
George M Braggiotti,NA,NA,NA
Thomas Henry Brain,NA,NA,NA
Charles Brainsford,NA,NA,NA
Thomas Brankstone,NA,NA,NA
Frank William Breach,NA,NA,NA
A C Brebner,NA,1873,NA
James Brebner,1793,1874,NA
William Brent Brent,NA,1857,NA
Charles Brett,NA,1878,NA
D J Breuneis,NA,NA,NA
J S Brickwood,NA,NA,NA
Edmund J Bridell,NA,NA,NA
John Briggs,1785,1875,NA
Lindsay Brine,1834,1906,NA
John Brinton,1827,1914,NA
Bernard Edward Brodhurst,1822,1900,NA
Benjamin Collins Brodie,1783,1862,NA
David Brodie,1821,1909,NA
P B Brodie,NA,NA,NA
Frederick Brome,NA,1870,NA
James Brooke,1803,1868,NA
Henry (1) Brookes,NA,NA,NA
Henry (2) Brookes,NA,NA,NA
William Brookes,NA,NA,NA
x Brougham,1778,1868,NA
Charles Cornish Brown,1846,1875,NA
Edward Brown,NA,NA,NA
Edwin Brown,1818,1876,NA
Edwin Ormond Brown,NA,NA,NA
George W  (1) Brown,NA,NA,NA
James Roberts Brown,NA,NA,NA
John Brown,1801,1879,NA
John Allen Brown,1831,1903,NA
John Harcourt Brown,NA,NA,NA
x Brown-Sequard,1817,1894,NA
J  Cave Browne,NA,NA,NA
Thomas Henry Browne,NA,NA,NA
Robert Bruce,NA,NA,NA
Ernst Wilhelm Ritter von Brucke,1819,1892,NA
Henry Brunskill,NA,NA,NA
George Bryant,NA,NA,NA
Walter Buchannan,1797,1883,NA
Ludwig Buchner,1824,1899,NA
James Silk Buckingham,1786,1855,NA
W E Buckley,NA,NA,NA
James Buckman,1818,1884,NA
William Bull,1828,1902,1
James Wentworth Buller,1798,1865,NA
Henry Christopher Bunkell,1829,1903,NA
x Bunsen,1791,1860,NA
Henry Burden,1835,1893,NA
Daniel Earl Burdett,NA,NA,NA
August Friedrich Marschall von Burgholzhausen,1804,1887,NA
John Smith Burke,NA,1868,NA
Luke Burke,NA,1885,NA
Hermann Burmeister,1807,1892,NA
Samuel Burton,NA,NA,NA
