"Source","Target"
Arthur William A Beckett,ASL
Andrew Mercer Adam,ASL
H R Adam,ASL
Henry John Adams,ASL
William Adlam,ASL
Louis Agassiz,ASL
Anastasius Agathides,ASL
Joseph Agnew,ASL
William Baird Airston,ASL
Thomas Aitken,ASL
Frederick W Aley,ASL
J  McGrigor Allan,ASL
S  Stafford Allen,ASL
George Allin,ASL
Charles Hamond Alpe,ASL
Crewe Alston,ASL
George Amner,ASL
Edward C Anderson,ASL
John Anderson,ASL
Joseph Anderson,ASL
William Arbuthnot,ASL
Richard Edward Arden,ASL
Alexander Aria,ASL
William Armitage,ASL
T  B Armitstead,ASL
Edward Arnold,ASL
Richard Arnold,ASL
William Arthur,ASL
Rodolph Arundell,ASL
Isidore Ascher,ASL
Charles Frederick Ash,ASL
James Ashbury,ASL
John Ashbury,ASL
William Aspull,ASL
John Atcherley,ASL
Charles Atkins,ASL
George Atkinson,ASL
Alfred Aubert,ASL
Charles Cardale Babington,ASL
William Babington,ASL
Carl Ernst von Baer,ASL
Charles Henry Bagnall,ASL
Charles Stuart Bailey,ASL
John Bailey (2),ASL
James Bain,ASL
Benson Baker,ASL
J P Baker,ASL
Henry Barber,ASL
Robert Baring,ASL
Henry Walter Barlow,ASL
Christopher J Barnard,ASL
Henry Thorowgood Barnes,ASL
Joseph Henry Barr,ASL
William Roby Barr,ASL
Thomas Squire Barrett,ASL
George William Barrington,ASL
C M Barter,ASL
William Edward Bartlett,ASL
Alfred Barton,ASL
Ernest Bates,ASL
William Battye,ASL
Edwin Henry Baverstock,ASL
James Bainbridge Baxter,ASL
Samuel Beal,ASL
John S Beale,ASL
Amos Beardsley,ASL
Hugh J C Beavan,ASL
R C Beavan,ASL
Alfred Becquet,ASL
Hermann Beigel,ASL
C W  Bowdler Bell,ASL
Edward Bellamy,ASL
Henry Walter Bellew,ASL
William Painter Belliss,ASL
D Bellock,ASL
Adolph Bendir,ASL
Thomas Bendyshe,ASL
Charles Bennett,ASL
John Bennett,ASL
Thomas John Wesley Bennett,ASL
W F G Benson,ASL
William Ralph Benson,ASL
George Bertram,ASL
Camille Bertrand,ASL
x Best,ASL
John Henry Biddles,ASL
John Bilderbeck,ASL
Theodor Bilharz,ASL
Henry Corles Bingham,ASL
James Bischoff,ASL
Andrew Black,ASL
Alan Cornwall Blackstone,ASL
T A Blakely,ASL
Henry Jules Blanc,ASL
Sydney L Blanchard,ASL
Albert Taylor Bledsoe,ASL
David Blellock,ASL
John Hillier Blount,ASL
Frederick Edmund Blyth,ASL
Henry S Boase,ASL
Anatoly Petrovich Bogdanoff,ASL
Edward B Bogg,ASL
Charles W Bollaert,ASL
William Bollaert,ASL
Charles Radcliffe Bond,ASL
Walter M Bond,ASL
W C Bonnerjee,ASL
T  George Bonney,ASL
Evert Julius Bonsdorff,ASL
James Bonsor,ASL
James Bonwick,ASL
Charles Booth,ASL
W W Boreham,ASL
Cunningham Borthwick,ASL
Joseph Bosworth,ASL
x Boucher de Crevecoeur de Perthes,ASL
x Boudin,ASL
George Boulton,ASL
Brasseur de Bourbourg,ASL
Sydney Edward Bouverie Bouverie-Pusey,ASL
Thomas William Bowman,ASL
William Henry Wentworth Bowyer,ASL
William Binnington Boyce,ASL
Jacob Boys,ASL
Edward William Brabrook,ASL
Frederick Braby,ASL
Antonio Brady,ASL
P A Brady,ASL
George M Braggiotti,ASL
Charles Brainsford,ASL
Thomas Brankstone,ASL
Frank William Breach,ASL
A C Brebner,ASL
James Brebner,ASL
Charles Brett,ASL
J S Brickwood,ASL
John Brinton,ASL
Bernard Edward Brodhurst,ASL
David Brodie,ASL
P B Brodie,ASL
Frederick Brome,ASL
James Brooke,ASL
Henry (2) Brookes,ASL
William Brookes,ASL
Charles Cornish Brown,ASL
Edward Brown,ASL
Edwin Brown,ASL
Edwin Ormond Brown,ASL
George W  (1) Brown,ASL
James Roberts Brown,ASL
John Allen Brown,ASL
John Harcourt Brown,ASL
x Brown-Sequard,ASL
Thomas Henry Browne,ASL
Robert Bruce,ASL
Ernst Wilhelm Ritter von Brucke,ASL
George Bryant,ASL
Ludwig Buchner,ASL
James Buckman,ASL
William Bull,ASL
Henry Christopher Bunkell,ASL
Henry Burden,ASL
Daniel Earl Burdett,ASL
August Friedrich Marschall von Burgholzhausen,ASL
John Smith Burke,ASL
Luke Burke,ASL
Hermann Burmeister,ASL
Samuel Burton,ASL
Johann Karl Eduard Buschmann,ASL
William John Busteed,ASL
Henry Butler,ASL
James Butler,ASL
Charles Buxton,ASL
Isaac Byerley,ASL
George Byham,ASL
John O'Connell Byrne,ASL
Benjamin Bond Cabbell,ASL
Henry Callaway,ASL
Thomas Callaway,ASL
John Calman,ASL
Luigi Calori,ASL
Frank Calvert,ASL
George Calvert,ASL
Charles Duncan Cameron,ASL
Francis Campbell,ASL
George (1) Campbell,ASL
Henry Campbell,ASL
James Campbell,ASL
Montgomery Campbell,ASL
Robert Campbell,ASL
T A Campbell,ASL
Francis Campin,ASL
Thomas Cannon,ASL
Jean-Francois Caplin,ASL
Charles Capper,ASL
Charles Napoleon de Cardi,ASL
William D Carey,ASL
John Burford Carlill,ASL
Robert Carrington,ASL
Samuel Cartwright,ASL
Facundo Carulla,ASL
Carl Gustav Carus,ASL
John Cassell,ASL
Fran̤ois Louis Nompar de Caumont La Force Castelnau,ASL
Henry James Castle,ASL
Daniel de Castro,ASL
George Catlin,ASL
John Cavafy,ASL
"Antonio de La, jun Cerda",ASL
John Henry Challis,ASL
William Chamberlin,ASL
Charles Harcourt Chambers,ASL
William Chambers,ASL
James Champley,ASL
Frank Chance,ASL
David Charles,ASL
Edward Charlesworth,ASL
Henry Charlton,ASL
Samuel Cheetham,ASL
Hendrick Agnis Chignell,ASL
Robert Caesar Childers,ASL
Samuel Chinnery,ASL
William Nathan Chipperfield,ASL
P H Chittenden,ASL
Henry Clare,ASL
x Clarendon,ASL
Henry Clark,ASL
Henry Wilberforce Clarke,ASL
Hyde Clarke,ASL
William Henry Claus,ASL
T H  Jun Clay,ASL
John (1) Cleghorn,ASL
John (2) Cleghorn,ASL
John Cleland,ASL
William James Clement,ASL
H Clerk,ASL
Maurice Philip Clifford,ASL
F W Coates,ASL
Henry Coates,ASL
Frederick Cock,ASL
John jun Cock,ASL
W  Spencer Cockings,ASL
James Coke,ASL
John Colam,ASL
W P Colchester,ASL
Henry Cole,ASL
Richard Beverley Cole,ASL
Vicat Cole,ASL
Edmund Walter Coleman,ASL
John Payne Collier,ASL
Thomas Collings,ASL
John Frederick Collingwood,ASL
S  Edwin Collingwood,ASL
John (1) Collinson,ASL
John Congreve,ASL
Moncure Daniel Conway,ASL
Samuel John Cooke,ASL
William Fothergill Cooke,ASL
William Gifford Cookesley,ASL
Daniel Cooper,ASL
Frederick Cooper,ASL
Holmes Coote,ASL
H Copham,ASL
Thomas Copings,ASL
William C Copperthwaite,ASL
William Cory,ASL
Frederick William Cosens,ASL
Handel Cossham,ASL
F L Cotton,ASL
Samuel Courtauld,ASL
F G Courthope,ASL
J  Jermyn Cowell,ASL
Joseph jun Cowen,ASL
Henry Augustus Cowper,ASL
Irwin Edward Bainbridge Cox,ASL
J W  Conrad Cox,ASL
W T Cox,ASL
James Coxe,ASL
Arthur Edmund Crafter,ASL
Henry Valentine Crassweller,ASL
Thomas William Craster,ASL
Tom junr Craston,ASL
Robert Crawford,ASL
Frederick A B Crawfurd,ASL
John Crawfurd,ASL
George Critchett,ASL
J M Crolly,ASL
A G Cross,ASL
Henry Crowley,ASL
George Rayner Croxford,ASL
Moore A Cuffe,ASL
Edward Barrett Hodges Curteis,ASL
John Cuthbert,ASL
John Richmond Cuthbert,ASL
William Barrington D'Almeida,ASL
Jean Baptiste Julien D'Omalius d'Halloy,ASL
S J Da Costa,ASL
x Daa,ASL
G P Dall,ASL
Eugene Dally,ASL
Frederick Whittock Darby,ASL
Camille Dareste,ASL
George Russell Dartnell,ASL
Charles Darwin,ASL
Arthur Dashwood,ASL
Samuel Davenport,ASL
John George Davey,ASL
John Davidson,ASL
I Davie,ASL
F  Drummond Davies,ASL
Jesse Conway Davies,ASL
William Davies,ASL
Edmund Francis Davis,ASL
Frederick E Davis,ASL
George Dawson,ASL
Walter F Dawson,ASL
Samuel Phillips Day,ASL
John junr De Horne,ASL
Octave Delepierre,ASL
Walter Cooper Dendy,ASL
George Denman,ASL
x Derby (formerly Stanley),ASL
Jules Desnoyers,ASL
Charles William Devis,ASL
George Dibley,ASL
Henry Dickman,ASL
x Diezmann,ASL
John Dingle,ASL
Henry Distin,ASL
Thomas J Dobson,ASL
William Donald,ASL
John Donaldson,ASL
x Donnell,ASL
Cornelius Donovan,ASL
Bernard Dorn,ASL
James Dowie,ASL
John Langdon H Down,ASL
Alexander Downing,ASL
Arthur Edward Downing,ASL
Washington Downing,ASL
James T J Doyle,ASL
D I Drakeford,ASL
James F Draper,ASL
Robert A Drew,ASL
H Driver,ASL
John Drummond,ASL
Paul Belloni Du Chaillu,ASL
C A Du Val,ASL
Gustaf Von Duben,ASL
Frederick Duckworth,ASL
Henry Duckworth,ASL
R E Dudgeon,ASL
