"Name","birth_year","death_year"
Alfred Waterhouse,NA,NA
Mary Waterhouse,NA,NA
R Waterhouse,NA,NA
Thomas Wedmore,NA,NA
James Wells,NA,NA
Daniel Wheeler,NA,NA
W Whiting,NA,NA
John Jun Williams,NA,NA
W R Williams,NA,NA
Charles Wilson,NA,NA
George Wilson,NA,NA
Isaac Wilson,NA,NA
Joseph Wilson,NA,NA
Rebecca Wilson,NA,NA
H Wise,NA,NA
William Woods,NA,NA
Louisa Wright,NA,NA
James Bowden,NA,NA
William Nash,NA,NA
Joseph Sturge,NA,NA
William Jun Grimshaw,NA,NA
Henry Knight,NA,NA
Edward Paull,NA,NA
Robert Jun Alsop,NA,NA
Abram Rawlinson Barclay,NA,NA
John Barclay,NA,NA
Richard Barrett,NA,NA
John Thomas Barry,NA,NA
Peter Bedford,NA,NA
John Bell,NA,NA
Thomas Christy,NA,NA
Samuel Darton,NA,NA
Josiah Forster,NA,NA
Robert Forster,NA,NA
William Forster,NA,NA
Joseph Talwin Foster,NA,NA
John Hamilton,NA,NA
Edwd Harris,NA,NA
Geo Holmes,NA,NA
Robert Howard,NA,NA
John Kitching,NA,NA
Joseph Neatby,NA,NA
John Sanderson,NA,NA
Joseph Shewell,NA,NA
George Stacey,NA,NA
 Joseph Storrs,NA,NA
John M Albright,NA,NA
G W Alexander,NA,NA
Henry Alexander,NA,NA
R D Alexander,NA,NA
Thomas Allis,NA,NA
John D Appleton,NA,NA
Caroline Armistead,NA,NA
Joseph Armistead,NA,NA
Edward Ash,NA,NA
Alfred Backhouse,NA,NA
Edmund Backhouse,NA,NA
Edward Jun Backhouse,NA,NA
James Jun Backhouse,NA,NA
John Church Backhouse,NA,NA
J E Baker,NA,NA
James Baker,NA,NA
A P Balkwill,NA,NA
William Ball,NA,NA
Eliza Barclay,NA,NA
J Gurney Barclay,NA,NA
Jonathan Barrett,NA,NA
R Barrett,NA,NA
R C Barrow,NA,NA
S Barter,NA,NA
John D Bassett,NA,NA
John Baynes,NA,NA
John Beaumont,NA,NA
Rebecca Beaumont,NA,NA
William Beaumont,NA,NA
Samuel Beck,NA,NA
Deborah Beesley,NA,NA
Paul Bevan,NA,NA
Robert Bevan,NA,NA
Martha A Binyon,NA,NA
Thomas Binyon,NA,NA
S Birchall,NA,NA
Thomas Blain,NA,NA
J Blunsom,NA,NA
W Bott,NA,NA
Christopher Bowley,NA,NA
W C Bowley,NA,NA
Edwin Bracher,NA,NA
James Bracher,NA,NA
Lucy Bradshaw,NA,NA
G S Brady,NA,NA
Joseph B Braithwaite,NA,NA
S Braithwaite,NA,NA
Charles Brewin,NA,NA
Robert Brewin,NA,NA
Thomas Brewin,NA,NA
William Brewin,NA,NA
Francis Brown,NA,NA
Gopsill Brown,NA,NA
W W Brown,NA,NA
J F Burgess,NA,NA
Wilson Burgess,NA,NA
Henry Burlingham,NA,NA
Jonathan Burtt,NA,NA
P Burtt,NA,NA
Edward North Buxton,NA,NA
James Cadbury,NA,NA
John M Candler,NA,NA
Edward Carroll,NA,NA
Joseph Cash,NA,NA
Newman Cash,NA,NA
William Cash,NA,NA
R D Catchpool,NA,NA
Thomas Catchpool,NA,NA
Thomas Chalk,NA,NA
Elizabeth Charelton,NA,NA
James Charleton,NA,NA
Robert Charleton,NA,NA
Richard Christy,NA,NA
Cyrus Clark,NA,NA
James Clark (2),NA,NA
Joseph Clark,NA,NA
W S Clark,NA,NA
George Cook,NA,NA
J H Cotterell,NA,NA
Elliott Cresson,NA,NA
W D Crewdson,NA,NA
Ann Cropper,NA,NA
James Cropper,NA,NA
John Cropper,NA,NA
Joseph Crosfield,NA,NA
William Crosfield,NA,NA
Jeremiah Cross,NA,NA
Martha Cross,NA,NA
Edward A Crouch,NA,NA
Abraham Crowley,NA,NA
Frederick Crowley,NA,NA
J Cudworth,NA,NA
Mary Cudworth,NA,NA
