"Source","Target"
John Calman,Africa
Luigi Calori,Italy
Frank Calvert,Turkey
George Calvert,Africa
Charles Duncan Cameron,Ethiopia
Archibald Campbell,London
Francis Campbell,Australia
George (1) Campbell,London
George (1) Campbell,India
Henry Campbell,Scotland
James Campbell,London
James Campbell,Thailand
Montgomery Campbell,London
Montgomery Campbell,country
Montgomery Campbell,France
Robert Campbell,Africa
T A Campbell,Australia
Walter Campbell,Ireland
Walter Campbell,London
Francis Campin,London
William Camps,country
William Camps,London
Thomas Cannon,London
Jean-Francois Caplin,London
Charles Capper,London
Charles Napoleon de Cardi,Africa
William D Carey,country
William D Carey,Gibraltar
William D Carey,Ireland
William D Carey,Ceylon
John Burford Carlill,London
Frederick Stanley Carpenter,country
Frederick Stanley Carpenter,London
Frederick Stanley Carpenter,Ireland
Robert Carrington,London
George Carter,country
Samuel Cartwright,London
Facundo Carulla,Argentina
Facundo Carulla,country
Carl Gustav Carus,Germany
John Cassell,London
Fran̤ois Louis Nompar de Caumont La Force Castelnau,France
Henry James Castle,London
Daniel de Castro,London
George Catlin,America
George Catlin,Belgium
John Cavafy,London
John Cavafy,country
Richard Cavendish,country
"Antonio de La, jun Cerda",Brazil
Edwin Chadwick,London
Hugo Mavesyn Chadwick,country
John Henry Challis,London
William Chamberlin,country
Charles Harcourt Chambers,London
Charles Harcourt Chambers,country
William Chambers,Wales
James Champley,country
Frank Chance,country
Frank Chance,London
David Charles,Wales
Edward Charlesworth,London
Henry Charlton,country
William Charlton,country
Frederick Chatfield,London
Samuel Cheetham,country
Samuel Cheetham,Africa
F W Chesson,London
Hendrick Agnis Chignell,country
William Dinsdale Child,London
Robert Caesar Childers,country
Samuel Chinnery,London
Samuel Chinnery,France
William Nathan Chipperfield,India
P H Chittenden,London
T J Cholmondeley,country
Henry Christy,London
James Graham Churcher,London
Henry Clare,country
x Clarendon,London
Henry Clark,country
James Clark,London
Henry Wilberforce Clarke,country
Hyde Clarke,London
John Clarke,Jamaica
Robert Clarke,London
William Henry Claus,Africa
William Aloysius Clavering,London
T H  Jun Clay,Nicaragua
William Clay,London
John (1) Cleghorn,London
John (2) Cleghorn,Scotland
John Cleland,Scotland
William James Clement,country
H Clerk,London
H Clerk,country
Maurice Philip Clifford,London
F W Coates,country
F W Coates,London
Henry Coates,London
Frederick Cock,London
