"Source","Target","first_year","last_year"
Irwin Edward Bainbridge Cox,legal,,
Irwin Edward Bainbridge Cox,political,,
J W  Conrad Cox,ASL,,
J W  Conrad Cox,Anthropological Society of Paris,,
J W  Conrad Cox,Geological Society,,
J W  Conrad Cox,London,,
J W  Conrad Cox,business,,
W T Cox,ASL,,
W T Cox,country,,
W T Cox,legal,,
James Coxe,ASL,,
James Coxe,Royal Society of Edinburgh,,
James Coxe,Scotland,,
James Coxe,medical,,
Arthur Edmund Crafter,ASL,,
Arthur Edmund Crafter,country,,
Henry Valentine Crassweller,ASL,,
Henry Valentine Crassweller,London,,
Thomas William Craster,ASL,,
Thomas William Craster,Royal College of Surgeons,,
Thomas William Craster,country,,
Thomas William Craster,medical,,
Tom junr Craston,AI,,
Tom junr Craston,ASL,,
Tom junr Craston,Africa,,
Tom junr Craston,London,,
Robert Crawford,ASL,,
Robert Crawford,Reform Club,,
Frederick A B Crawfurd,ASL,,
Frederick A B Crawfurd,London,,
Frederick A B Crawfurd,United Service Club,,
Frederick A B Crawfurd,armed services,,
John Crawfurd,ASL,,
John Crawfurd,Athenaeum Club,,
John Crawfurd,ESL,,
John Crawfurd,London,,
John Crawfurd,Royal Geographical Society,,
John Crawfurd,Royal Society,,
John Crawfurd,administrative,,
John Crawfurd,diplomacy,,
John Crawfurd,medical,,
Oswald John Crawfurd,AI,,
Oswald John Crawfurd,Athenaeum Club,,
Oswald John Crawfurd,ESL,,
Oswald John Crawfurd,Garrick Club,,
Oswald John Crawfurd,Portugal,,
Oswald John Crawfurd,Sesame Club,,
Oswald John Crawfurd,diplomacy,,
Oswald John Crawfurd,journalist,,
Oswald John Crawfurd,literary,,
W J Crichton,ESL,,
W J Crichton,London,,
W J Crichton,church,,
George Critchett,ASL,,
George Critchett,London,,
George Critchett,Royal College of Surgeons,,
George Critchett,medical,,
J  McGregor Croft,ESL,,
J  McGregor Croft,inventor,,
J  McGregor Croft,medical,,
Thomas Francis Dillon Croker,ESL,,
Thomas Francis Dillon Croker,London,,
Thomas Francis Dillon Croker,Society of Antiquaries,,
Thomas Francis Dillon Croker,antiquarian,,
Thomas Francis Dillon Croker,poet,,
J M Crolly,ASL,,
J M Crolly,church,,
J M Crolly,country,,
A G Cross,ASL,,
A G Cross,China,,
A G Cross,Royal College of Surgeons,,
A G Cross,medical,,
Henry Crowley,AI,,
Henry Crowley,APS,,
Henry Crowley,ASL,,
Henry Crowley,Quaker,,
Henry Crowley,country,,
Jonathan Sparrow Crowley,ESL,,
Jonathan Sparrow Crowley,London,,
Jonathan Sparrow Crowley,"Society for the Encouragement of Arts, Manufactures and Commerce",,
Jonathan Sparrow Crowley,business,,
Jonathan Sparrow Crowley,inventor,,
George Rayner Croxford,ASL,,
George Rayner Croxford,country,,
Moore A Cuffe,AI,,
Moore A Cuffe,ASL,,
Moore A Cuffe,academic,,
Moore A Cuffe,country,,
Richard Cull,AI,,
Richard Cull,ESL,,
Richard Cull,London,,
Richard Cull,Society of Antiquaries,,
Richard Cull,Society of Biblical Archaeology,,
Richard Cull,church,,
Henry Syer Cuming,ESL,,
Henry Syer Cuming,London,,
Henry Syer Cuming,academic,,
Henry Syer Cuming,museum work,,
Richard S Cunliffe,AI,,
Richard S Cunliffe,ESL,,
Richard S Cunliffe,Phrenological Association,,
Richard S Cunliffe,Scotland,,
Richard S Cunliffe,engineer,,
Alexander Cunningham,AI,,
Alexander Cunningham,APS,,
Alexander Cunningham,Athenaeum Club,,
Alexander Cunningham,ESL,,
Alexander Cunningham,India,,
Alexander Cunningham,London,,
Alexander Cunningham,academic,,
Alexander Cunningham,armed services,,
Manockjee Cursetjee,ESL,,
Manockjee Cursetjee,India,,
Manockjee Cursetjee,London,,
Manockjee Cursetjee,business,,
Manockjee Cursetjee,legal,,
Edward Barrett Hodges Curteis,AI,,
Edward Barrett Hodges Curteis,ASL,,
Edward Barrett Hodges Curteis,Conservative Club,,
Edward Barrett Hodges Curteis,armed services,,
Edward Barrett Hodges Curteis,country,,
John Cuthbert,ASL,,
John Cuthbert,London,,
John Richmond Cuthbert,AI,,
John Richmond Cuthbert,ASL,,
John Richmond Cuthbert,business,,
John Richmond Cuthbert,country,,
George Cutler,AI,,
George Cutler,ESL,,
George Cutler,Geological Society,,
George Cutler,Royal Society of Literature,,
George Cutler,"Society for the Encouragement of Arts, Manufactures and Commerce",,
George Cutler,country,,
William Barrington D'Almeida,AI,,
William Barrington D'Almeida,ASL,,
William Barrington D'Almeida,Royal Geographical Society,,
William Barrington D'Almeida,country,,
Marie-Armand de Castera-Macaya D'Avezac,ESL,,
Marie-Armand de Castera-Macaya D'Avezac,France,,
Marie-Armand de Castera-Macaya D'Avezac,Institute of France,,
Marie-Armand de Castera-Macaya D'Avezac,academic,,
Marie-Armand de Castera-Macaya D'Avezac,archivist,,
Marie-Armand de Castera-Macaya D'Avezac,geographer,,
Jean Baptiste Julien D'Omalius d'Halloy,ASL,,
Jean Baptiste Julien D'Omalius d'Halloy,Belgian Academy of Sciences of France,,
Jean Baptiste Julien D'Omalius d'Halloy,Belgium,,
Jean Baptiste Julien D'Omalius d'Halloy,Geological Society,,
Jean Baptiste Julien D'Omalius d'Halloy,academic,,
S J Da Costa,ASL,,
S J Da Costa,London,,
x Daa,AI,,
x Daa,ASL,,
x Daa,Norway,,
x Daa,editor,,
x Daa,educator,,
x Daa,ethnologist,,
x Daa,historian,,
T Dakin,ESL,,
David Dale,APS,,
David Dale,ESL,,
David Dale,Quaker,,
David Dale,aristocracy,,
David Dale,business,,
David Dale,country,,
G P Dall,ASL,,
G P Dall,Royal College of Surgeons,,
G P Dall,country,,
G P Dall,medical,,
Eugene Dally,ASL,,
Eugene Dally,Anthropological Society of Paris,,
Eugene Dally,France,,
Eugene Dally,Soci̩t̩ M̩dico Psychologique,,
Eugene Dally,anthropologist,,
Eugene Dally,medical,,
G  Wythes Daniell,AI,,
G  Wythes Daniell,ESL,,
G  Wythes Daniell,London,,
G  Wythes Daniell,medical,,
William Freeman Daniell,Africa,,
William Freeman Daniell,ESL,,
William Freeman Daniell,Royal Geographical Society,,
William Freeman Daniell,armed services,,
William Freeman Daniell,medical,,
Robert Dukinfield Darbishire,AI,,
Robert Dukinfield Darbishire,ESL,,
Robert Dukinfield Darbishire,Geological Society,,
Robert Dukinfield Darbishire,Society of Antiquaries,,
Robert Dukinfield Darbishire,country,,
Robert Dukinfield Darbishire,legal,,
Robert Dukinfield Darbishire,philanthropist,,
Frederick Whittock Darby,ASL,,
Frederick Whittock Darby,London,,
Frederick Whittock Darby,New Reform Club,,
Camille Dareste,ASL,,
Camille Dareste,Anthropological Society of Paris,,
Camille Dareste,France,,
Camille Dareste,academic,,
Camille Dareste,zoologist,,
P  Francis Dart,ESL,,
George Russell Dartnell,AI,,
George Russell Dartnell,ASL,,
George Russell Dartnell,artist,,
George Russell Dartnell,country,,
George Russell Dartnell,medical,,
Charles Darwin,AI,,
Charles Darwin,ASL,,
Charles Darwin,Athenaeum Club,,
Charles Darwin,ESL,,
Charles Darwin,Geological Society,,
Charles Darwin,Linnean Society of London,,
Charles Darwin,Royal Society,,
Charles Darwin,country,,
Charles Darwin,geologist,,
Charles Darwin,naturalist,,
Erasmus (Ras) Darwin,Athenaeum Club,,
Erasmus (Ras) Darwin,ESL,,
Erasmus (Ras) Darwin,London,,
Erasmus (Ras) Darwin,medical,,
George Webbe Dasent,Athenaeum Club,,
George Webbe Dasent,ESL,,
George Webbe Dasent,academic,,
George Webbe Dasent,translator,,
Arthur Dashwood,AI,,
Arthur Dashwood,ASL,,
Arthur Dashwood,Wales,,
Samuel Davenport,ASL,,
Samuel Davenport,Australia,,
Samuel Davenport,aristocracy,,
John George Davey,ASL,,
John George Davey,Medico Psychological Association,,
John George Davey,Royal Society,,
John George Davey,country,,
John George Davey,medical,,
John Davidson,AI,,
John Davidson,ASL,,
John Davidson,Scotland,,
I Davie,ASL,,
I Davie,London,,
F  Drummond Davies,ASL,,
F  Drummond Davies,London,,
Jesse Conway Davies,AI,,
Jesse Conway Davies,ASL,,
Jesse Conway Davies,Royal College of Physicians,,
Jesse Conway Davies,Royal College of Surgeons,,
Jesse Conway Davies,Wales,,
Jesse Conway Davies,medical,,
William Davies,AI,,
William Davies,ASL,,
William Davies,Royal College of Surgeons,,
William Davies,country,,
William Davies,medical,,
Edmund Francis Davis,ASL,,
Edmund Francis Davis,London,,
Edmund Francis Davis,business,,
Edmund Francis Davis,legal,,
Frederick E Davis,ASL,,
Frederick E Davis,London,,
George Henry Daw,AI,,
George Henry Daw,ESL,,
George Henry Daw,business,,
George Henry Daw,country,,
William Boyd Dawkins,AI,,
William Boyd Dawkins,Athenaeum Club,,
William Boyd Dawkins,ESL,,
William Boyd Dawkins,Geological Society,,
William Boyd Dawkins,Royal Society,,
William Boyd Dawkins,Somersetshire Archaeological and Natural History Society,,
William Boyd Dawkins,academic,,
William Boyd Dawkins,country,,
William Boyd Dawkins,geologist,,
George Dawson,AI,,
George Dawson,ASL,,
George Dawson,Geological Society,,
George Dawson,church,,
George Dawson,country,,
Walter F Dawson,ASL,,
Walter F Dawson,Arts Club,,
Walter F Dawson,London,,
G T Day,ESL,,
Samuel Phillips Day,ASL,,
Samuel Phillips Day,London,,
John junr De Horne,ASL,,
John junr De Horne,London,,
Octave Delepierre,ASL,,
Octave Delepierre,Belgium,,
Octave Delepierre,academic,,
Octave Delepierre,diplomacy,,
Octave Delepierre,legal,,
Walter Cooper Dendy,ASL,,
Walter Cooper Dendy,"Academy of Surgery, Madrid",,
Walter Cooper Dendy,London,,
Walter Cooper Dendy,Medical Society of London,,
Walter Cooper Dendy,medical,,
George Denman,ASL,,
George Denman,Athenaeum Club,,
George Denman,legal,,
George Denman,political,,
George Dennis,Athenaeum Club,,
George Dennis,ESL,,
George Dennis,Libya,,
George Dennis,administrative,,
x Derby (formerly Stanley),AI,,
x Derby (formerly Stanley),ASL,,
x Derby (formerly Stanley),London,,
x Derby (formerly Stanley),Royal Asiatic Society,,
x Derby (formerly Stanley),Royal Geographical Society,,
x Derby (formerly Stanley),Royal Society,,
x Derby (formerly Stanley),"Society for the Encouragement of Arts, Manufactures and Commerce",,
x Derby (formerly Stanley),administrative,,
x Derby (formerly Stanley),aristocracy,,
x Derby (formerly Stanley),political,,
M Des Barres,Canada,,
M Des Barres,ESL,,
M Des Barres,legal,,
Jules Desnoyers,ASL,,
Jules Desnoyers,France,,
Jules Desnoyers,Geological Society,,
Jules Desnoyers,Institute of France,,
Jules Desnoyers,archaeologist,,
Jules Desnoyers,geologist,,
Charles William Devis,ASL,,
Charles William Devis,Zoological Society,,
Charles William Devis,country,,
x Devonshire,AI,,
x Devonshire,Athenaeum Club,,
x Devonshire,ESL,,
x Devonshire,London,,
x Devonshire,Royal Agricultural Society,,
x Devonshire,aristocracy,,
x Devonshire,political,,
Hugh Welch Diamond,ESL,,
Hugh Welch Diamond,medical,,
Hugh Welch Diamond,photographer,,
Hugh Welch Diamond,psychiatrist,,
George Dibley,AI,,
George Dibley,ASL,,
George Dibley,London,,
George Dibley,"Society for the Encouragement of Arts, Manufactures and Commerce",,
John jun Dickinson,Athenaeum Club,,
John jun Dickinson,ESL,,
John jun Dickinson,London,,
John jun Dickinson,Royal Society,,
John Jun Dickinson,Athenaeum Club,,
John Jun Dickinson,ESL,,
John Jun Dickinson,London,,
John Jun Dickinson,Royal Geographical Society,,
John Jun Dickinson,Royal Society,,
John Jun Dickinson,business,,
Henry Dickman,ASL,,
Henry Dickman,Ceylon,,
Henry Dickman,ESL,,
Henry Dickman,medical,,
Charles Sheffield Dickson,ESL,,
Charles Sheffield Dickson,armed services,,
Charles Sheffield Dickson,country,,
Peter Dickson,ESL,,
Peter Dickson,London,,
Peter Dickson,Royal Geographical Society,,
Peter Dickson,"Society for the Encouragement of Arts, Manufactures and Commerce",,
Ernest Dieffenbach,APS,,
Ernest Dieffenbach,academic,,
Ernest Dieffenbach,medical,,
x Diezmann,ASL,,
x Diezmann,Nicaragua,,
Charles Wentworth Dilke,AI,,
Charles Wentworth Dilke,ESL,,
Charles Wentworth Dilke,London,,
Charles Wentworth Dilke,"Society for the Encouragement of Arts, Manufactures and Commerce",,
Charles Wentworth Dilke,aristocracy,,
Charles Wentworth Dilke,political,,
John Dingle,AI,,
John Dingle,ASL,,
John Dingle,London,,
John Dingle,church,,
John Dingle,country,,
Henry Distin,ASL,,
Henry Distin,London,,
Thomas J Dobson,ASL,,
Thomas J Dobson,country,,
Jacob Ludwig Dohne,AI,,
Jacob Ludwig Dohne,ESL,,
Jacob Ludwig Dohne,South Africa,,
Jacob Ludwig Dohne,academic,,
Jacob Ludwig Dohne,church,,
William Donald,ASL,,
William Donald,London,,
John Donaldson,ASL,,
John Donaldson,Scotland,,
John Donaldson,academic,,
John Donaldson,legal,,
John Donaldson,music,,
x Donnell,ASL,,
Cornelius Donovan,ASL,,
Cornelius Donovan,ESL,,
Cornelius Donovan,London,,
Cornelius Donovan,London School of Phrenology,,
Cornelius Donovan,academic,,
Bernard Dorn,ASL,,
Bernard Dorn,Russia,,
Bernard Dorn,orientalist,,
James Dowie,ASL,,
James Dowie,London,,
John Langdon H Down,AI,,
John Langdon H Down,ASL,,
John Langdon H Down,Athenaeum Club,,
John Langdon H Down,Medical and Chirurgical Society of London,,
John Langdon H Down,Royal College of Physicians,,
John Langdon H Down,academic,,
John Langdon H Down,country,,
John Langdon H Down,medical,,
Alexander Downing,ASL,,
Alexander Downing,Nicaragua,,
Alexander Downing,medical,,
Arthur Edward Downing,ASL,,
Arthur Edward Downing,India,,
Arthur Edward Downing,armed services,,
Washington Downing,ASL,,
Washington Downing,London,,
James T J Doyle,APS,,
James T J Doyle,ASL,,
James T J Doyle,India,,
James T J Doyle,Quaker,,
James T J Doyle,medical,,
D I Drakeford,AI,,
D I Drakeford,ASL,,
D I Drakeford,church,,
D I Drakeford,country,,
James F Draper,APS,,
James F Draper,ASL,,
James F Draper,country,,
Gustavus Dressler,ESL,,
Gustavus Dressler,Germany,,
Gustavus Dressler,merchant,,
Robert A Drew,ASL,,
Robert A Drew,country,,
H Driver,ASL,,
H Driver,country,,
John Drummond,AI,,
John Drummond,ASL,,
John Drummond,Royal Geographical Society,,
John Drummond,armed services,,
John Drummond,country,,
Paul Belloni Du Chaillu,ASL,,
Paul Belloni Du Chaillu,London,,
Paul Belloni Du Chaillu,Royal Geographical Society,,
Paul Belloni Du Chaillu,academic,,
C A Du Val,ASL,,
C A Du Val,Manchester Literary and Philosophical Society,,
C A Du Val,artist,,
C A Du Val,country,,
C A Du Val,photographer,,
Gustaf Von Duben,ASL,,
Gustaf Von Duben,Sweden,,
Gustaf Von Duben,academic,,
Gustaf Von Duben,aristocracy,,
x Dublin,ESL,,
x Dublin,Ireland,,
x Dublin,church,,
Frederick Duckworth,ASL,,
Frederick Duckworth,India,,
Frederick Duckworth,medical,,
Henry Duckworth,ASL,,
Henry Duckworth,Geological Society,,
Henry Duckworth,Liverpool Literary and Philosophical Society of Liverpool,,
Henry Duckworth,Royal Geographical Society,,
Henry Duckworth,country,,
Samuel Duckworth,Athenaeum Club,,
Samuel Duckworth,ESL,,
William Duckworth,Athenaeum Club,,
William Duckworth,ESL,,
William Duckworth,London,,
William Duckworth,"Society for the Encouragement of Arts, Manufactures and Commerce",,
R E Dudgeon,ASL,,
R E Dudgeon,London,,
R E Dudgeon,Zoological Society,,
R E Dudgeon,medical,,
Reginald R Dudley,ASL,,
Reginald R Dudley,Royal College of Surgeons,,
Reginald R Dudley,country,,
Reginald R Dudley,medical,,
J R Duggan,ASL,,
J R Duggan,Africa,,
J R Duggan,London,,
J R Duggan,business,,
W N Duggan,ASL,,
W N Duggan,Scotland,,
Emile Duhousset,ASL,,
Emile Duhousset,France,,
Emile Duhousset,armed services,,
Conrad C Dumas,ASL,,
Conrad C Dumas,London,,
x Dumon,ASL,,
x Dumon,Belgium,,
x Dumon,Societe Archeologique de Namur,,
x Dumon,engineer,,
Alexander Duncan,AI,,
Alexander Duncan,ASL,,
Alexander Duncan,Ireland,,
David Duncan,AI,,
David Duncan,Athenaeum Club,,
David Duncan,ESL,,
David Duncan,India,,
David Duncan,Scotland,,
David Duncan,academic,,
Francis Duncan,AI,,
Francis Duncan,ASL,,
Francis Duncan,Geological Society,,
Francis Duncan,Royal Geographical Society,,
Francis Duncan,armed services,,
Francis Duncan,country,,
Peter Martin Duncan,AI,,
Peter Martin Duncan,ASL,,
Peter Martin Duncan,Athenaeum Club,,
Peter Martin Duncan,ESL,,
Peter Martin Duncan,Geological Society,,
Peter Martin Duncan,London,,
Peter Martin Duncan,Royal Society,,
Peter Martin Duncan,palaeoethnologist,,
R  Murray Dundas,ESL,,
R  Murray Dundas,aristocracy,,
Alfred John Dunkin,AI,,
Alfred John Dunkin,ESL,,
Alfred John Dunkin,London,,
Alfred John Dunkin,antiquarian,,
Alfred John Dunkin,country,,
Alfred John Dunkin,historian,,
Alexander Milne Dunlop,ASL,,
Alexander Milne Dunlop,business,,
Alexander Milne Dunlop,country,,
R H W Dunlop,ASL,,
R H W Dunlop,India,,
R H W Dunlop,London,,
R H W Dunlop,Royal Geographical Society,,
R H W Dunlop,Scotland,,
Robert Dunn,AI,,
Robert Dunn,ESL,,
Robert Dunn,London,,
Robert Dunn,Medical and Chirurgical Society of London,,
Robert Dunn,Royal College of Surgeons,,
Robert Dunn,medical,,
x Dunraven & Mountearl,ESL,,
x Dunraven & Mountearl,London,,
x Dunraven & Mountearl,Royal Society,,
x Dunraven & Mountearl,aristocracy,,
x Dunraven & Mountearl,political,,
Patrick Frederick Durham,ESL,,
Robert Dyce,ASL,,
Robert Dyce,Scotland,,
Robert Dyce,medical,,
William Thistleton Dyer,ESL,,
William Thistleton Dyer,medical,,
Robert Eadie,ASL,,
Robert Eadie,business,,
Robert Eadie,country,,
Robert Eadie,ironmaker,,
George Windsor Earl,ESL,,
George Windsor Earl,Malaysia,,
George Windsor Earl,Royal Asiatic Society,,
George Windsor Earl,explorer,,
William Eassie,AI,,
William Eassie,ASL,,
William Eassie,Geological Society,,
William Eassie,Linnean Society of London,,
William Eassie,London,,
William Eassie,Royal Geographical Society,,
William Eassie,business,,
William Eassie,country,,
Joseph William Eastwood,AI,,
Joseph William Eastwood,ESL,,
Joseph William Eastwood,Royal College of Surgeons,,
Joseph William Eastwood,country,,
Joseph William Eastwood,medical,,
Alexander Ecker,ASL,,
Alexander Ecker,Germany,,
Alexander Ecker,Switzerland,,
Alexander Ecker,anatomist,,
Alexander Ecker,anthropologist,,
Conrad Eckhard,ASL,,
Conrad Eckhard,Germany,,
Conrad Eckhard,academic,,
Conrad Eckhard,medical,,
Casper W Eddy,AI,,
Casper W Eddy,ASL,,
Casper W Eddy,London,,
Casper W Eddy,National Association for the Promotion of Social Sciences,,
Casper W Eddy,Royal Colonial Institute,,
Casper W Eddy,medical,,
Thomas Edmonston,ASL,,
Thomas Edmonston,Royal Society of Literature,,
Thomas Edmonston,Scotland,,
J  Passmore Edwards,ASL,,
J  Passmore Edwards,London,,
J  Passmore Edwards,"Society for the Encouragement of Arts, Manufactures and Commerce",,
John Edwards,AI,,
John Edwards,ESL,,
John Edwards,London,,
John Edwards,legal,,
William Edwards-Schneegans,ASL,,
William Edwards-Schneegans,London,,
Charles William Eeles,ASL,,
Charles William Eeles,armed services,,
Francis Egerton,Athenaeum Club,,
Francis Egerton,ESL,,
Francis Egerton,Royal Society,,
Francis Egerton,aristocracy,,
Francis Egerton,political,,
George Granville Francis Egerton,ESL,,
George Granville Francis Egerton,Royal Society,,
George Granville Francis Egerton,aristocracy,,
George Granville Francis Egerton,political,,
x Egypt,ESL,,
x Egypt,Egypt,,
x Egypt,Ruler,,
John Elder,ESL,,
John Elder,business,,
John Elder,country,,
x Eliot,ASL,,
x Eliot,London,,
x Eliot,aristocracy,,
x Eliot,political,,
John Ellerton,ASL,,
John Ellerton,country,,
John Ellerton,medical,,
Walter Elliot,AI,,
Walter Elliot,ESL,,
Walter Elliot,Scotland,,
Walter Elliot,academic,,
Walter Elliot,civil service,,
J H Elliott,APS,,
J H Elliott,ESL,,
C H  Fairfax Ellis,AI,,
C H  Fairfax Ellis,ASL,,
C H  Fairfax Ellis,armed services,,
C H  Fairfax Ellis,country,,
James Ellis,British Archaeological Association,,
James Ellis,ESL,,
James Ellis,country,,
James Ellis,medical,,
Jonathan W Elmes,ASL,,
Jonathan W Elmes,Africa,,
Jonathan W Elmes,armed services,,
John Elphinstone,ESL,,
John Elphinstone,business,,
John Elphinstone,country,,
Mountstuart Elphinstone,Athenaeum Club,,
Mountstuart Elphinstone,ESL,,
Mountstuart Elphinstone,India,,
Mountstuart Elphinstone,Scotland,,
Mountstuart Elphinstone,administrative,,
Joel Emanuel,ASL,,
Joel Emanuel,London,,
Jacob Epstein,ASL,,
Jacob Epstein,London,,
Jacob Epstein,business,,
John E Erichsen,Athenaeum Club,,
John E Erichsen,ESL,,
John E Erichsen,aristocracy,,
John E Erichsen,medical,,
Victor Erlanger,ASL,,
Victor Erlanger,Germany,,
Victor Erlanger,aristocracy,,
Victor Erlanger,banker,,
William Erle,AI,,
William Erle,Athenaeum Club,,
William Erle,ESL,,
William Erle,London,,
William Erle,country,,
William Erle,legal,,
Adolf Ernst,ASL,,
Adolf Ernst,Venezuela,,
Kennedy Erskine,ESL,,
Kennedy Erskine,armed services,,
x Euclide,ASL,,
x Euclide,Cyprus,,
William Euing,ESL,,
William Euing,Scotland,,
William Euing,business,,
Edward Bickerton Evans,AI,,
Edward Bickerton Evans,ASL,,
Edward Bickerton Evans,business,,
Edward Bickerton Evans,country,,
John Evans,AI,,
John Evans,ASL,,
John Evans,Albemarle Burlington Club,,
John Evans,Athenaeum Club,,
John Evans,ESL,,
John Evans,Geological Society,,
John Evans,Linnean Society of London,,
John Evans,Numismatic Society,,
John Evans,Royal Society,,
John Evans,academic,,
John Evans,archaeologist,,
John Evans,country,,
John Evans,geologist,,
Richard Tonson Evanson,ASL,,
Richard Tonson Evanson,country,,
Richard Tonson Evanson,medical,,
William Ewart,ASL,,
William Ewart,London,,
William Ewart,United University Club,,
William Ewart,legal,,
William Ewart,political,,
Arthur B Ewen,ASL,,
Arthur B Ewen,country,,
Edward John Eyre,AI,,
Edward John Eyre,ASL,,
Edward John Eyre,Jamaica,,
Edward John Eyre,administrative,,
Edward John Eyre,country,,
Edward John Eyre,explorer,,
William Fairbairn,AI,,
William Fairbairn,ASL,,
William Fairbairn,Athenaeum Club,,
William Fairbairn,ESL,,
William Fairbairn,Royal Society,,
William Fairbairn,"Society for the Encouragement of Arts, Manufactures and Commerce",,
William Fairbairn,business,,
William Fairbairn,country,,
R W Fairbank,ASL,,
R W Fairbank,country,,
Edmund Farmer,ASL,,
Edmund Farmer,London,,
x Farquharson,ASL,,
x Farquharson,country,,
x Farquharson,medical,,
Adam Storey Farrar,AI,,
Adam Storey Farrar,ESL,,
Adam Storey Farrar,church,,
Adam Storey Farrar,country,,
J G Faught,ASL,,
J G Faught,London,,
J G Faught,Royal College of Surgeons Edinburgh,,
J G Faught,armed services,,
J G Faught,medical,,
Adolphe Duchart Fauvet,ESL,,
Frederick Fearon,AI,,
Frederick Fearon,ASL,,
Frederick Fearon,London,,
Frederick Fearon,country,,
W S Featherstone,ESL,,
Alexis Fedschenko,ASL,,
Alexis Fedschenko,Russia,,
Alexis Fedschenko,Societe des Amis de la Nature of Moscow,,
George Edgeworth Fenwick,ASL,,
George Edgeworth Fenwick,Canada,,
George Edgeworth Fenwick,editor,,
George Edgeworth Fenwick,educator,,
George Edgeworth Fenwick,literary,,
George Edgeworth Fenwick,medical,,
William Ferguson,ASL,,
William Ferguson,Geological Society,,
William Ferguson,Linnean Society of London,,
William Ferguson,botanist,,
William Ferguson,country,,
William Ferguson,entomologist,,
John Fergusson,ASL,,
John Fergusson,London,,
Leopold Ferny,ASL,,
Leopold Ferny,Puerto Rico,,
Leopold Ferny,diplomacy,,
Alexander Fiddes,ASL,,
Alexander Fiddes,Jamaica,,
Alexander Fiddes,Royal College of Surgeons Edinburgh,,
Alexander Fiddes,medical,,
Edwin Foxton Firby,AI,,
Edwin Foxton Firby,ASL,,
Edwin Foxton Firby,ESL,,
Edwin Foxton Firby,academic,,
Edwin Foxton Firby,country,,
Frederick Firebrace,AI,,
Frederick Firebrace,ASL,,
Frederick Firebrace,India,,
Frederick Firebrace,armed services,,
James Firm,AI,,
James Firm,ESL,,
James Firm,Israel,,
James (1) Fischer,ASL,,
James (1) Fischer,India,,
Robert Fischer,AI,,
Robert Fischer,ASL,,
Robert Fischer,India,,
Robert Fischer,legal,,
Edward Gardiner Fishbourne,ASL,,
Edward Gardiner Fishbourne,London,,
Edward Gardiner Fishbourne,Royal United Service Institution,,
Edward Gardiner Fishbourne,armed services,,
Anthony Lax Fisher,ESL,,
Anthony Lax Fisher,London,,
Anthony Lax Fisher,medical,,
Morton Coates Fisher,AI,,
Morton Coates Fisher,APS,,
Morton Coates Fisher,ESL,,
Morton Coates Fisher,London,,
Morton Coates Fisher,banker,,
Robert Fitzroy,Athenaeum Club,,
Robert Fitzroy,ESL,,
Robert Fitzroy,London,,
Robert Fitzroy,Royal Society,,
Robert Fitzroy,administrative,,
Robert Fitzroy,armed services,,
F H Fitzwilliam,ASL,,
F H Fitzwilliam,country,,
William S Fitzwilliam,ESL,,
William S Fitzwilliam,London,,
William S Fitzwilliam,Statistical Society,,
William S Fitzwilliam,legal,,
George Fleming,AI,,
George Fleming,ASL,,
George Fleming,London,,
George Fleming,Royal College of Surgeons,,
George Fleming,Royal Geographical Society,,
George Fleming,armed services,,
George Fleming,country,,
George Fleming,veterinary surgeon,,
James William Fleming,ESL,,
James William Fleming,Royal College of Surgeons,,
James William Fleming,armed services,,
James William Fleming,medical,,
John B Fletcher,ESL,,
Joseph Fletcher,ESL,,
Joseph Fletcher,Statistical Society,,
Joseph Fletcher,legal,,
Alphonse de Fleuriot de Langle,ASL,,
Alphonse de Fleuriot de Langle,France,,
Alphonse de Fleuriot de Langle,aristocracy,,
Alphonse de Fleuriot de Langle,armed services,,
Walter Flight,ASL,,
Walter Flight,academic,,
Walter Flight,country,,
Walter Flight,mineralogist,,
John Wickham Flower,AI,,
John Wickham Flower,ESL,,
John Wickham Flower,Geological Society,,
John Wickham Flower,business,,
John Wickham Flower,country,,
John Folhurst,ASL,,
John Folhurst,London,,
George Folsom,AI,,
George Folsom,America,,
George Folsom,American Ethnological Society,,
George Folsom,ESL,,
George Folsom,diplomacy,,
George Folsom,legal,,
George Folsom,political,,
David Forbes,AI,,
David Forbes,ESL,,
David Forbes,Geological Society,,
David Forbes,London,,
David Forbes,Royal Society,,
David Forbes,chemist,,
David Forbes,metallurgist,,
David Forbes,mineralogist,,
Duncan W Forbes,ASL,,
Duncan W Forbes,Royal College of Surgeons,,
Duncan W Forbes,country,,
Duncan W Forbes,medical,,
W Forester,ASL,,
W Forester,Ireland,,
Joseph James Forrester,ASL,,
Joseph James Forrester,London,,
Joseph James Forrester,artist,,
Joseph James Forrester,map maker,,
Joseph James Forrester,photographer,,
Richard Fort,ESL,,
Richard Fort,London,,
Richard Fort,country,,
Richard Fort,political,,
G A Forteath,ESL,,
G A Forteath,Scotland,,
Balthazar Walter Foster,ASL,,
Balthazar Walter Foster,Linnean Society of London,,
Balthazar Walter Foster,Medical and Chirurgical Society of London,,
Balthazar Walter Foster,academic,,
Balthazar Walter Foster,country,,
Balthazar Walter Foster,medical,,
M Foster,APS,,
M Foster,ASL,,
M Foster,Athenaeum Club,,
M Foster,country,,
M Foster,medical,,
Robert Nicholas Fowler,AI,,
Robert Nicholas Fowler,APS,,
Robert Nicholas Fowler,Athenaeum Club,,
Robert Nicholas Fowler,ESL,,
