"Source","Target","first_year","last_year"
Charles Frederick Ash,ASL,,
Charles Frederick Ash,London,,
Charles Frederick Ash,business,,
James Ashbury,ASL,,
James Ashbury,ESL,,
James Ashbury,London,,
James Ashbury,political,,
John Ashbury,ASL,,
John Ashbury,London,,
William Henry Ashurst,AI,,
William Henry Ashurst,Arts Club,,
William Henry Ashurst,ESL,,
William Henry Ashurst,London,,
William Henry Ashurst,Reform Club,,
William Henry Ashurst,legal,,
Henry Ashworth,ESL,,
Henry Ashworth,"Society for the Encouragement of Arts, Manufactures and Commerce",,
Henry Ashworth,business,,
Henry Ashworth,country,,
William Aspull,ASL,,
William Aspull,London,,
William Aspull,music,,
John Atcherley,ASL,,
John Atcherley,Royal College of Physicians,,
John Atcherley,country,,
John Atcherley,medical,,
Charles Atkins,AI,,
Charles Atkins,ASL,,
Charles Atkins,London,,
Charles A Atkins,ESL,,
Charles A Atkins,country,,
E Atkinson,ESL,,
E Atkinson,country,,
George Atkinson,AI,,
George Atkinson,ASL,,
George Atkinson,Surrey Archaeological Society,,
George Atkinson,country,,
Alfred Aubert,ASL,,
Alfred Aubert,London,,
Alois Auer,Austria,,
Alois Auer,ESL,,
Alois Auer,inventor,,
Arthur Daniel Aulton,ESL,,
Arthur Daniel Aulton,country,,
Charles Cardale Babington,AI,,
Charles Cardale Babington,ASL,,
Charles Cardale Babington,Athenaeum Club,,
Charles Cardale Babington,Cambridge Philosophical Society,,
Charles Cardale Babington,Geological Society,,
Charles Cardale Babington,Linnean Society of London,,
Charles Cardale Babington,Royal Society,,
Charles Cardale Babington,Society of Antiquaries,,
Charles Cardale Babington,Somersetshire Archaeological and Natural History Society,,
Charles Cardale Babington,academic,,
Charles Cardale Babington,archaeologist,,
Charles Cardale Babington,botanist,,
Charles Cardale Babington,country,,
William Babington,ASL,,
William Babington,Africa,,
William Babington,London,,
William Babington,Royal Geographical Society,,
Edward Backhouse,AI,,
Edward Backhouse,APS,,
Edward Backhouse,ESL,,
Edward Backhouse,Quaker,,
Edward Backhouse,business,,
Edward Backhouse,church,,
Edward Backhouse,country,,
James (1) Backhouse,APS,,
James (1) Backhouse,ESL,,
James (1) Backhouse,Quaker,,
James (1) Backhouse,academic,,
James (1) Backhouse,church,,
James (1) Backhouse,country,,
Carl Ernst von Baer,AI,,
Carl Ernst von Baer,ASL,,
Carl Ernst von Baer,Anthropological Society of Paris,,
Carl Ernst von Baer,ESL,,
Carl Ernst von Baer,Russia,,
Carl Ernst von Baer,Russian Entomological Society,,
Carl Ernst von Baer,Russian Geographical Society,,
Carl Ernst von Baer,academic,,
Carl Ernst von Baer,explorer,,
John Bagehot,ESL,,
Walter ('Badgett') Bagehot,AI,,
Walter ('Badgett') Bagehot,Athenaeum Club,,
Walter ('Badgett') Bagehot,ESL,,
Walter ('Badgett') Bagehot,London,,
Walter ('Badgett') Bagehot,business,,
Walter ('Badgett') Bagehot,literary,,
Charles Henry Bagnall,ASL,,
Charles Henry Bagnall,country,,
Charles Stuart Bailey,ASL,,
Charles Stuart Bailey,London,,
Charles Stuart Bailey,country,,
John Bailey,APS,,
John Bailey,Ceylon,,
John Bailey,administrative,,
John Bailey (2),ASL,,
John Bailey (2),country,,
James Bain,AI,,
James Bain,ASL,,
James Bain,Junior Carlton Club,,
James Bain,Scotland,,
Thomas Baines,APS,,
Thomas Baines,London,,
Thomas Baines,artist,,
Thomas Baines,explorer,,
Benson Baker,ASL,,
Benson Baker,London,,
Benson Baker,Royal College of Physicians,,
Benson Baker,Royal College of Surgeons Edinburgh,,
Benson Baker,medical,,
