"Name","quaker","first_year","last_year","birth_year","death_year"
Francois Jules Pictet,NA,1860,1871,"1,809","1,872"
Jonathan S Pidgeon,NA,1851,1851,NA,NA
John Platts,NA,1869,1871,"1,830","1,904"
Reginald Stuart Poole,NA,1866,1867,"1,832","1,895"
George H Pope,NA,1868,1871,NA,NA
W H Pope,NA,1865,1868,"1,825","1,879"
T Postans,NA,1844,1844,NA,NA
Joseph Legg Postlethwaite,NA,1844,1871,NA,"1,871"
Thomas Prendergast,NA,1863,1868,"1,806","1,886"
Joseph Prestwich,NA,1869,1871,"1,812","1,896"
David S Price,NA,1861,1871,NA,NA
Lorenzo T C Price,NA,1868,1871,NA,NA
James Cowles Prichard,NA,1844,1849,"1,786","1,849"
Alfred Pulford,NA,1866,1871,"1,823","1,896"
Arthur Giles Puller,NA,1864,1871,"1,833","1,885"
Robert Pulsford,NA,1860,1860,"1,815","1,888"
Lambert Adolphe Jacques Quetelet,NA,1853,1871,"1,796","1,874"
Charles Rafn,NA,1853,1864,"1,795","1,864"
Henry Raikes,NA,1855,1862,NA,NA
George Ramsay,NA,1843,1843,NA,NA
George Dalhousie Ramsay,NA,1862,1870,NA,NA
John Ramsay,NA,1867,1871,"1,814","1,892"
H  Fowler Ransford,NA,1862,1867,NA,NA
Charles Ratcliff,NA,1861,1871,"1,815","1,885"
Henry Rawlinson,NA,1853,1871,"1,810","1,895"
Richard Rayley,NA,1845,1845,NA,NA
W H Read,NA,1864,1869,"1,819","1,909"
Charles Reade,NA,1864,1869,"1,814","1,884"
Richard Thompson Reep,NA,1848,1855,"1,807","1,894"
Richard Reeve,NA,1844,1850,NA,NA
Lestock Robert Reid,NA,1861,1871,NA,"1,879"
Ernest Renan,NA,1861,1871,"1,823","1,892"
Anders Retzius,NA,1854,1860,"1,796","1,860"
Francis Richardson,NA,1863,1871,"1,815","1,896"
Joseph Rickerby,NA,1844,1844,NA,NA
F W Ricketts,NA,1858,1871,NA,NA
Jonathan Rigg,NA,1845,1845,NA,NA
"x Ripon, De Grey and",NA,1860,1871,"1,827","1,909"
Carl Ritter,NA,1853,1859,"1,779","1,859"
John Henry Rivett-Carnac,NA,1870,1871,"1,839","1,923"
Charles Robert des Ruffieres,NA,1853,1871,NA,"1,883"
A Roberts,NA,1867,1867,NA,NA
Archibald Robertson,NA,1866,1866,NA,NA
Thomas Valentine Robins,NA,1866,1867,NA,NA
Edward Robinson,NA,1852,1863,"1,794","1,863"
G A Robinson,NA,1863,1871,NA,NA
George Augustus Robinson,NA,1853,1866,"1,791","1,866"
Hamilton Roe,NA,1843,1845,NA,NA
Charles Rogers,NA,1845,1854,NA,NA
Frederick W Rogers,NA,1847,1847,NA,NA
George Rogers,NA,1867,1871,"1,809","1,891"
John Rogers,NA,1847,1856,NA,NA
George Rolleston,NA,1860,1871,"1,829","1,881"
James Rome,NA,1861,1862,NA,NA
Hyacinthe Ronay,NA,1865,1871,"1,814","1,889"
x Rosehill,NA,1870,1871,"1,843","1,891"
John George Clunies Ross,NA,1860,1871,"1,823","1,871"
x Roth,NA,1855,1871,NA,NA
Richard Wellesley Rothman,NA,1844,1856,NA,"1,856"
R W Rowbotham,NA,1843,1843,NA,NA
H R Rowcroft,NA,1861,1862,NA,NA
Harry Crommelin Rowcroft,NA,1861,1871,"1,840","1,876"
A H Russell,NA,1860,1871,"1,837","1,916"
George Augustus Frederick Ruxton,NA,1845,1848,"1,821","1,848"
Edward Ryan,NA,1862,1871,"1,793","1,875"
Alfred Sadler,NA,1867,1869,NA,NA
David Salomons,NA,1860,1871,"1,797","1,873"
Alfred M Sanderson,NA,1862,1866,NA,NA
W  Walbank Sanderson,NA,1869,1871,NA,NA
Humfrey Sandwith,NA,1861,1867,"1,822","1,881"
William Satter,NA,1843,1844,NA,NA
William Devonshire Saull,NA,1846,1855,"1,783","1,855"
Carl Ritter von Scherzer,NA,1861,1871,"1,821","1,903"
Robert  Herman Schomburgk,NA,1853,1865,"1,804","1,865"
Henry R Schoolcraft,NA,1852,1852,"1,793","1,864"
Frederick Henry Scott,NA,1862,1862,NA,NA
John (1) Scott,NA,1866,1868,NA,NA
Robert Scott,NA,1843,1846,NA,NA
Thomas Scott,NA,1866,1871,NA,NA
John Scouler,NA,1844,1871,"1,804","1,871"
E J Selwyn,NA,1853,1862,"1,822","1,893"
Carl Semper,NA,1870,1871,"1,832","1,893"
George Sexton,NA,1853,1853,NA,NA
Henry Danby Seymour,NA,1864,1867,"1,820",NA
W Sharp,NA,1861,1862,"1,805","1,896"
Norton Shaw,NA,1858,1868,NA,"1,868"
William Wardrop Shaw,NA,1864,1869,"1,816","1,895"
x Sheffield,NA,1865,1871,"1,832","1,909"
Justin Shiel,NA,1862,1869,"1,803","1,871"
John Joseph Shillinglaw,NA,1843,1845,"1,831","1,905"
John Shortt,NA,1862,1871,"1,822","1,889"
Charles Lionel Showers,NA,1862,1871,"1,816","1,895"
James Kay Shuttleworth,NA,1860,1869,"1,804","1,877"
P L Simmonds,NA,1844,1844,NA,NA
James Simpson,NA,1869,1871,"1,817","1,899"
William Henry Simpson,NA,1867,1869,"1,843","1,914"
Joseph Sister,NA,1844,1844,NA,NA
x Skardon,NA,1844,1848,NA,NA
Thomas Peyton Slapp,NA,1844,1844,NA,NA
Bath Charles Smart,NA,1861,1871,"1,838","1,887"
J  Valentine Smedley,NA,1868,1868,NA,NA
Andrew Smith,NA,1844,1871,"1,797","1,872"
D  Pye Smith,NA,1844,1844,NA,NA
Edward Osborne Smith,NA,1861,1864,NA,"1,864"
John Smith,NA,1860,1871,NA,NA
Thomas James Smith,NA,1869,1871,"1,827","1,896"
Thomas Southwood Smith,NA,1845,1847,"1,788","1,861"
R  Brough Smyth,NA,1862,1862,"1,830","1,889"
William Parker Snow,NA,1861,1868,"1,817","1,895"
Samuel Reynolds Solly,NA,1861,1866,"1,781","1,866"
William Somervell,NA,1862,1871,NA,NA
Henry Southey,NA,1850,1857,"1,783","1,865"
G W Spence,NA,1861,1862,NA,NA
William Spence,NA,1843,1855,"1,783","1,860"
William Henry Spencer,NA,1863,1867,NA,NA
T  Trevethan Spicer,NA,1844,1844,NA,NA
William Spottiswoode,NA,1861,1871,"1,825","1,883"
Ephraim George Squier,NA,1852,1871,"1,821","1,888"
George St Clair,NA,1863,1871,"1,836","1,908"
Bayle St John,NA,1844,1845,NA,NA
James Augustus St John,NA,1844,1845,"1,795","1,875"
Percy B St John,NA,1844,1847,"1,821","1,889"
Spencer St John,NA,1862,1871,"1,825","1,910"
Edward St Maur,NA,1861,1862,NA,NA
James Joseph Stainton,NA,1854,1862,NA,NA
William Edward Stanbridge,NA,1861,1871,"1,821","1,894"
H I Staples,NA,1859,1867,NA,NA
Japetus Steenstrup,NA,1864,1871,"1,813","1,897"
Carl (Karl) Steinhauer,NA,1863,1871,"1,801","1,902"
William Frederick Cowell Stepney,NA,1866,1871,"1,821","1,872"
N  Henry Stevens,NA,1862,1871,NA,NA
Alexander Patrick Stewart,NA,1844,1871,"1,813","1,883"
Charles Edward Stewart,NA,1869,1871,NA,NA
x Strangford,NA,1862,1869,"1,826","1,869"
Henry Stretton,NA,1861,1862,NA,"1,890"
John James Sturz,NA,1844,1844,"1,800","1,877"
J P Sutherland,NA,1854,1871,NA,NA
Edwin C Suttor,NA,1843,1845,"1,818","1,898"
George Suttor,NA,1844,1844,"1,774","1,859"
Richard Levinge Swift,NA,1866,1871,"1,821","1,872"
Robert Swinhoe,NA,1861,1871,"1,836","1,877"
J G Sylvester,NA,1846,1846,NA,NA
J J Sylvester,NA,1863,1863,"1,814","1,897"
Robert Tait,NA,1854,1862,"1,816","1,897"
James Talbot de Malahide,NA,1860,1871,"1,805","1,883"
James Tanner,NA,1867,1871,NA,NA
x Tasmania,NA,1861,1861,"1,803","1,879"
Richard Temple,NA,1865,1871,"1,826","1,902"
John Tennant,NA,1863,1871,"1,796","1,878"
James Emerson Tennent,NA,1858,1862,"1,804","1,869"
Fred Thompson,NA,1854,1855,NA,"1,893"
Richard John Thompson,NA,1844,1844,NA,NA
W Thompson (2),NA,1866,1866,NA,NA
Christian JÃ¼rgensen Thomsen,NA,1864,1865,"1,788","1,865"
John Thomson,NA,1866,1871,"1,837","1,921"
L E Threlkeld,NA,1854,1871,"1,788","1,859"
John Thrupp,NA,1863,1870,"1,817","1,870"
Edward Thurlow,NA,1863,1871,NA,NA
John Thurnam,NA,1852,1870,"1,810","1,873"
Richard Hill Tiddeman,NA,1870,1871,"1,842","1,917"
Samuel Timmins,NA,1866,1871,"1,826","1,902"
x Tinsley,NA,1851,1855,NA,NA
C D Tolme,NA,1856,1858,NA,NA
James Tonnere,NA,1844,1844,NA,NA
William Tooke,NA,1844,1844,"1,777","1,863"
Nicolas Trubner,NA,1857,1871,"1,817","1,884"
Thomas Harrington Tuke,NA,1849,1871,"1,826","1,888"
x Tumangung of Jehore,NA,1866,1866,NA,NA
Henry John Turner,NA,1856,1856,NA,NA
John Turner,NA,1844,1844,NA,NA
William Wadden Turner,NA,1852,1852,"1,810","1,859"
John Twiner,NA,1843,1845,NA,NA
William Twining,NA,1845,1845,NA,NA
John Underwood,NA,1860,1871,NA,NA
John Ussher,NA,1866,1868,NA,NA
George Vaughan,NA,1865,1868,NA,NA
Jonas Daniel Vaughan,NA,1865,1871,"1,825","1,891"
Carl Vogt,NA,1869,1871,"1,817","1,895"
Benjamin Vulliamy,NA,1844,1844,"1,780","1,854"
Thomas Francis Wade,NA,1864,1871,"1,818","1,895"
x Wagstaff,NA,1853,1856,NA,NA
James Walker,NA,1845,1854,"1,781","1,862"
James Sydney Walker,NA,1854,1871,NA,"1,883"
Thomas Walker,NA,1854,1871,"1,832","1,896"
Alfred Russel Wallace,NA,1866,1871,"1,823","1,913"
Phillipp Alexander Walther,NA,1862,1871,"1,812","1,887"
Stephen Henry Ward,NA,1847,1869,"1,818","1,880"
Samuel Hibbert Ware,NA,1844,1844,"1,782","1,848"
Edward Warner,NA,1862,1871,"1,818","1,875"
Thomas T P  Bruce Warren,NA,1867,1871,NA,NA
W Warrington,NA,1844,1844,NA,NA
George Waterhouse,NA,1843,1845,"1,810","1,888"
Samuel Watson,NA,1862,1871,NA,NA
John King Watts,NA,1855,1865,"1,808","1,884"
Andrew Scott Waugh,NA,1862,1871,"1,810","1,878"
George Webster,NA,1844,1844,NA,NA
John Webster,NA,1861,1862,NA,"1,878"
Hermann Welcker,NA,1862,1871,"1,822","1,897"
Mordaunt Wells,NA,1864,1867,"1,817","1,885"
Reginald Sackville West,NA,1865,1868,"1,817","1,896"
Hodder Michael Westropp,NA,1869,1871,"1,820","1,885"
G F Whidbourne,NA,1846,1847,"1,805","1,871"
James Whishaw,NA,1844,1871,"1,808","1,879"
x White,NA,1844,1844,NA,NA
James T White,NA,1862,1862,NA,NA
M White,NA,1844,1844,NA,NA
x Wienecke,NA,1862,1871,NA,NA
A L Wigan,NA,1847,1847,NA,NA
John W Wilkins,NA,1862,1862,NA,NA
John Gardner Wilkinson,NA,1853,1871,"1,797","1,875"
John (2) Williams,NA,1855,1855,"1,792","1,858"
G Williamson,NA,1858,1862,NA,NA
David Wilson,NA,1845,1845,NA,NA
Henry Hoyte Winwood,NA,1869,1871,"1,831","1,920"
Henry Drummond Wolff,NA,1862,1869,"1,830","1,908"
James Wood,NA,1857,1857,NA,NA
Samuel Wood,NA,1860,1871,NA,"1,879"
Robert Carr Woods,NA,1863,1871,"1,816","1,875"
Joseph Hardman Worrall,NA,1848,1848,"1,825","1,889"
Ferdinand Von Wrangell,NA,1853,1870,"1,797","1,870"
Francis Beresford Wright,NA,1870,1871,"1,837","1,911"
Thomas Wright,NA,1853,1871,"1,810","1,877"
James Wyld,NA,1844,1854,"1,812","1,887"
Ashton Yates,NA,1860,1862,"1,781","1,863"
W  Holt Yates,NA,1844,1846,"1,802","1,874"
James Yearsley,NA,1845,1845,"1,805","1,869"
Arthur de Zeltner,NA,1865,1871,NA,NA
Arthur William A Beckett,NA,1864,1867,"1,844","1,909"
Andrew Mercer Adam,NA,1865,1867,NA,NA
H R Adam,NA,1870,1871,NA,NA
Henry John Adams,NA,1864,1869,NA,NA
William Adlam,NA,1863,1866,NA,NA
Louis Agassiz,NA,1863,1871,"1,807","1,873"
Anastasius Agathides,NA,1867,1868,"1,805","1,881"
Joseph Agnew,NA,1867,1870,NA,NA
William Baird Airston,NA,1863,1867,NA,NA
Thomas Aitken,NA,1863,1869,NA,NA
Frederick W Aley,NA,1864,1867,NA,NA
J  McGrigor Allan,NA,1866,1869,NA,NA
S  Stafford Allen,1,1863,1870,"1,840","1,870"
George Allin,NA,1867,1870,NA,NA
Charles Hamond Alpe,NA,1866,1869,"1,837","1,882"
Crewe Alston,NA,1866,1869,"1,828","1,901"
George Amner,NA,1868,1868,"1,873","1,901"
Edward C Anderson,NA,1865,1866,NA,NA
John Anderson,NA,1865,1867,NA,NA
Joseph Anderson,NA,1865,1871,"1,832","1,916"
William Arbuthnot,NA,1868,1871,NA,NA
Richard Edward Arden,NA,1864,1867,"1,804","1,894"
Alexander Aria,NA,1866,1866,NA,NA
William Armitage,NA,1864,1871,"1,815","1,903"
T  B Armitstead,NA,1863,1865,NA,NA
Edward Arnold,NA,1868,1871,NA,"1,872"
Richard Arnold,NA,1866,1871,"1,808","1,876"
William Arthur,NA,1865,1870,"1,819","1,901"
Rodolph Arundell,NA,1863,1869,"1,837","1,877"
Isidore Ascher,NA,1869,1870,"1,835","1,933"
Charles Frederick Ash,NA,1864,1871,NA,NA
James Ashbury,NA,1864,1868,"1,834","1,895"
John Ashbury,NA,1863,1867,NA,NA
William Aspull,NA,1865,1867,NA,NA
John Atcherley,NA,1867,1867,NA,NA
Charles Atkins,NA,1868,1871,NA,NA
George Atkinson,NA,1869,1871,NA,NA
Alfred Aubert,NA,1865,1867,NA,NA
Charles Cardale Babington,NA,1864,1871,"1,808","1,895"
William Babington,NA,1864,1869,NA,NA
Carl Ernst von Baer,NA,1863,1871,"1,792","1,876"
Charles Henry Bagnall,NA,1867,1869,NA,"1,869"
Charles Stuart Bailey,NA,1865,1869,"1,819","1,883"
John Bailey (2),NA,1863,1863,NA,NA
James Bain,NA,1865,1871,"1,818","1,898"
Benson Baker,NA,1864,1866,NA,NA
J P Baker,NA,1863,1869,NA,NA
Henry Barber,NA,1865,1866,NA,NA
Robert Baring,NA,1865,1866,NA,NA
Henry Walter Barlow,NA,1865,1867,"1,830","1,867"
Christopher J Barnard,NA,1866,1869,NA,NA
Henry Thorowgood Barnes,NA,1865,1868,NA,NA
Joseph Henry Barr,NA,1863,1869,NA,NA
William Roby Barr,NA,1863,1871,"1,832",NA
Thomas Squire Barrett,NA,1865,1871,NA,NA
George William Barrington,NA,1865,1871,"1,824","1,886"
C M Barter,NA,1867,1868,NA,NA
William Edward Bartlett,NA,1864,1871,"1,836","1,908"
Alfred Barton,NA,1864,1867,"1,825","1,905"
Ernest Bates,NA,1866,1869,NA,NA
William Battye,NA,1867,1871,NA,NA
Edwin Henry Baverstock,NA,1866,1867,NA,NA
James Bainbridge Baxter,NA,1865,1871,NA,NA
Samuel Beal,NA,1864,1869,"1,825","1,889"
John S Beale,NA,1863,1867,NA,NA
Amos Beardsley,NA,1863,1867,NA,NA
Hugh J C Beavan,NA,1863,1866,NA,NA
R C Beavan,NA,1865,1867,NA,NA
Alfred Becquet,NA,1865,1871,NA,NA
Hermann Beigel,NA,1865,1871,"1,830","1,879"
C W  Bowdler Bell,NA,1867,1869,"1,839",NA
Edward Bellamy,NA,1865,1871,"1,837","1,889"
Henry Walter Bellew,NA,1870,1871,"1,834","1,892"
William Painter Belliss,NA,1865,1867,NA,NA
D Bellock,NA,1867,1867,NA,NA
Adolph Bendir,NA,1867,1871,"1,834",NA
Thomas Bendyshe,NA,1863,1871,"1,827","1,886"
Charles Bennett,NA,1867,1871,NA,NA
John Bennett,NA,1865,1869,"1,814","1,897"
Thomas John Wesley Bennett,NA,1866,1871,NA,NA
W F G Benson,NA,1863,1869,NA,NA
William Ralph Benson,NA,1868,1869,NA,NA
George Bertram,NA,1864,1871,NA,NA
Camille Bertrand,NA,1863,1863,NA,"1,863"
x Best,NA,1864,1869,NA,NA
John Henry Biddles,NA,1868,1869,"1,821","1,903"
John Bilderbeck,NA,1865,1871,NA,NA
Theodor Bilharz,NA,1864,1871,"1,825","1,862"
Henry Corles Bingham,NA,1864,1868,"1,801","1,868"
James Bischoff,NA,1865,1871,NA,NA
Andrew Black,NA,1870,1871,"1,851","1,916"
Alan Cornwall Blackstone,NA,1863,1864,"1,833","1,899"
T A Blakely,NA,1863,1868,"1,827","1,868"
Henry Jules Blanc,NA,1865,1871,NA,NA
Sydney L Blanchard,NA,1865,1867,NA,NA
Albert Taylor Bledsoe,NA,1863,1869,"1,809","1,877"
David Blellock,NA,1866,1868,NA,NA
John Hillier Blount,NA,1864,1866,"1,822","1,866"
Frederick Edmund Blyth,NA,1865,1868,"1,819","1,868"
Henry S Boase,NA,1863,1866,NA,NA
Anatoly Petrovich Bogdanoff,NA,1867,1871,"1,834","1,896"
Edward B Bogg,NA,1863,1869,NA,NA
Charles W Bollaert,NA,1866,1871,NA,NA
William Bollaert,NA,1863,1870,"1,807","1,876"
Charles Radcliffe Bond,NA,1867,1869,NA,NA
Walter M Bond,NA,1863,1865,NA,NA
W C Bonnerjee,NA,1866,1869,"1,844","1,906"
T  George Bonney,NA,1863,1869,"1,833","1,923"
Evert Julius Bonsdorff,NA,1868,1871,"1,810","1,898"
James Bonsor,NA,1869,1871,NA,"1,881"
James Bonwick,NA,1869,1871,"1,817","1,906"
Charles Booth,NA,1865,1868,"1,840","1,916"
W W Boreham,NA,1863,1869,"1,804","1,887"
Cunningham Borthwick,NA,1865,1871,"1,813","1,885"
Joseph Bosworth,NA,1864,1867,"1,788","1,876"
x Boucher de Crevecoeur de Perthes,NA,1863,1868,"1,788","1,868"
x Boudin,NA,1863,1867,"1,806","1,867"
George Boulton,NA,1863,1869,NA,NA
Brasseur de Bourbourg,NA,1866,1871,"1,814","1,874"
Sydney Edward Bouverie Bouverie-Pusey,NA,1863,1871,"1,839","1,911"
Thomas William Bowman,NA,1866,1869,NA,"1,893"
William Henry Wentworth Bowyer,NA,1866,1869,"1,807","1,872"
William Binnington Boyce,NA,1865,1866,"1,804","1,889"
Jacob Boys,NA,1863,1871,"1,796","1,884"
Edward William Brabrook,NA,1864,1871,"1,839","1,930"
Frederick Braby,NA,1865,1871,"1,830","1,911"
Antonio Brady,1,1864,1871,"1,811","1,881"
P A Brady,NA,1867,1871,NA,NA
George M Braggiotti,NA,1863,1867,NA,NA
Charles Brainsford,NA,1863,1866,NA,NA
Thomas Brankstone,NA,1867,1869,NA,NA
Frank William Breach,NA,1869,1869,NA,NA
A C Brebner,NA,1867,1871,NA,"1,873"
James Brebner,NA,1863,1871,"1,793","1,874"
Charles Brett,NA,1865,1871,NA,"1,878"
J S Brickwood,NA,1864,1866,NA,NA
John Brinton,NA,1864,1865,"1,827","1,914"
Bernard Edward Brodhurst,NA,1863,1865,"1,822","1,900"
David Brodie,NA,1866,1869,"1,821","1,909"
P B Brodie,NA,1863,1865,NA,NA
Frederick Brome,NA,1864,1870,NA,"1,870"
James Brooke,NA,1864,1868,"1,803","1,868"
Henry (2) Brookes,NA,1864,1866,NA,NA
William Brookes,NA,1865,1867,NA,NA
Charles Cornish Brown,NA,1870,1871,"1,846","1,875"
Edward Brown,NA,1864,1865,NA,NA
Edwin Brown,NA,1865,1865,"1,818","1,876"
Edwin Ormond Brown,NA,1864,1868,NA,NA
George W  (1) Brown,NA,1864,1871,NA,NA
James Roberts Brown,NA,1864,1871,NA,NA
John Allen Brown,NA,1865,1871,"1,831","1,903"
John Harcourt Brown,NA,1865,1866,NA,NA
x Brown-Sequard,NA,1863,1863,"1,817","1,894"
Thomas Henry Browne,NA,1867,1871,NA,NA
Robert Bruce,NA,1867,1870,NA,NA
Ernst Wilhelm Ritter von Brucke,NA,1863,1871,"1,819","1,892"
George Bryant,NA,1867,1871,NA,NA
Ludwig Buchner,NA,1864,1871,"1,824","1,899"
James Buckman,NA,1863,1871,"1,818","1,884"
William Bull,1,1867,1871,"1,828","1,902"
Henry Christopher Bunkell,NA,1863,1869,"1,829","1,903"
Henry Burden,NA,1865,1866,"1,835","1,893"
Daniel Earl Burdett,NA,1870,1870,NA,NA
August Friedrich Marschall von Burgholzhausen,NA,1864,1871,"1,804","1,887"
John Smith Burke,NA,1864,1868,NA,"1,868"
Luke Burke,NA,1863,1864,NA,"1,885"
Hermann Burmeister,NA,1864,1871,"1,807","1,892"
Samuel Burton,NA,1864,1867,NA,NA
Johann Karl Eduard Buschmann,NA,1863,1871,"1,805","1,880"
William John Busteed,NA,1866,1871,"1,836","1,914"
Henry Butler,NA,1864,1871,"1,838",NA
James Butler,NA,1867,1871,NA,NA
Charles Buxton,1,1864,1866,"1,823","1,871"
Isaac Byerley,NA,1864,1870,"1,814","1,897"
George Byham,NA,1863,1865,"1,826",NA
John O'Connell Byrne,NA,1866,1867,NA,NA
Benjamin Bond Cabbell,NA,1864,1871,"1,782","1,874"
Henry Callaway,NA,1864,1871,"1,817","1,890"
Thomas Callaway,NA,1864,1869,"1,822","1,869"
John Calman,NA,1870,1871,NA,NA
Luigi Calori,NA,1871,1871,"1,807","1,896"
Frank Calvert,NA,1867,1867,"1,828","1,908"
George Calvert,NA,1866,1867,NA,NA
Charles Duncan Cameron,NA,1863,1869,NA,"1,870"
Francis Campbell,NA,1866,1871,"1,798","1,877"
George (1) Campbell,NA,1869,1870,"1,824","1,892"
Henry Campbell,NA,1864,1869,NA,NA
James Campbell,NA,1864,1871,NA,NA
Montgomery Campbell,NA,1863,1867,NA,NA
Robert Campbell,NA,1865,1866,"1,829","1,884"
T A Campbell,NA,1868,1871,NA,NA
Francis Campin,NA,1866,1867,NA,NA
Thomas Cannon,NA,1864,1867,NA,NA
Jean-Francois Caplin,NA,1864,1869,"1,790","1,872"
Charles Capper,NA,1864,1866,"1,822","1,869"
Charles Napoleon de Cardi,NA,1868,1871,"1,844","1,906"
William D Carey,NA,1865,1871,"1,837","1,917"
John Burford Carlill,NA,1867,1871,"1,814","1,874"
Robert Carrington,NA,1867,1867,NA,NA
Samuel Cartwright,NA,1863,1871,"1,789","1,864"
Facundo Carulla,NA,1864,1867,NA,NA
Carl Gustav Carus,NA,1863,1869,"1,789","1,869"
John Cassell,NA,1864,1865,"1,817","1,865"
FranÃ§ois Louis Nompar de Caumont La Force Castelnau,NA,1863,1871,"1,810","1,880"
Henry James Castle,NA,1866,1869,NA,NA
Daniel de Castro,NA,1868,1869,NA,NA
George Catlin,NA,1866,1871,"1,796","1,872"
John Cavafy,NA,1865,1871,"1,838","1,901"
"Antonio de La, jun Cerda",NA,1865,1871,"1,834","1,885"
John Henry Challis,NA,1865,1871,"1,806","1,880"
William Chamberlin,NA,1863,1871,NA,NA
Charles Harcourt Chambers,NA,1863,1871,"1,826","1,876"
William Chambers,NA,1864,1871,"1,809","1,882"
James Champley,NA,1866,1871,NA,"1,888"
Frank Chance,NA,1864,1871,"1,825","1,897"
David Charles,NA,1865,1869,"1,812","1,878"
Edward Charlesworth,NA,1866,1871,"1,813","1,893"
Henry Charlton,NA,1864,1871,NA,"1,872"
Samuel Cheetham,NA,1866,1869,"1,827",NA
Hendrick Agnis Chignell,NA,1863,1864,"1,833","1,879"
Robert Caesar Childers,NA,1865,1870,"1,838","1,876"
Samuel Chinnery,NA,1865,1871,"1,828",NA
William Nathan Chipperfield,NA,1865,1871,"1,822","1,873"
P H Chittenden,NA,1867,1869,NA,NA
Henry Clare,NA,1864,1865,NA,NA
x Clarendon,NA,1864,1870,"1,800","1,870"
Henry Clark,NA,1863,1864,NA,NA
Henry Wilberforce Clarke,NA,1866,1869,"1,840","1,905"
Hyde Clarke,NA,1865,1867,"1,815","1,895"
William Henry Claus,NA,1865,1868,NA,NA
T H  Jun Clay,NA,1868,1871,NA,NA
John (1) Cleghorn,NA,1869,1871,NA,NA
John (2) Cleghorn,NA,1868,1869,NA,NA
John Cleland,NA,1863,1864,"1,835",NA
William James Clement,NA,1863,1870,"1,802","1,870"
H Clerk,NA,1864,1871,NA,NA
Maurice Philip Clifford,NA,1865,1867,NA,NA
F W Coates,NA,1867,1869,NA,NA
Henry Coates,NA,1867,1867,NA,NA
Frederick Cock,NA,1867,1868,NA,NA
John jun Cock,NA,1864,1870,NA,NA
W  Spencer Cockings,NA,1863,1866,NA,NA
James Coke,NA,1867,1867,NA,NA
John Colam,NA,1870,1871,"1,827","1,910"
W P Colchester,NA,1868,1870,NA,NA
Henry Cole,NA,1864,1871,"1,808","1,882"
Richard Beverley Cole,NA,1864,1871,"1,829","1,901"
Vicat Cole,NA,1865,1871,"1,833","1,893"
Edmund Walter Coleman,NA,1868,1870,NA,"1,870"
John Payne Collier,NA,1864,1868,"1,789","1,883"
Thomas Collings,NA,1865,1866,"1,798","1,869"
John Frederick Collingwood,NA,1863,1871,"1,830","1,923"
S  Edwin Collingwood,NA,1863,1869,NA,NA
John (1) Collinson,NA,1866,1871,"1,842","1,922"
John Congreve,NA,1867,1867,NA,NA
Moncure Daniel Conway,NA,1869,1871,"1,832","1,907"
Samuel John Cooke,NA,1869,1871,NA,NA
William Fothergill Cooke,NA,1864,1871,"1,806","1,879"
William Gifford Cookesley,NA,1865,1866,"1,802","1,880"
Daniel Cooper,NA,1863,1871,"1,821","1,902"
Frederick Cooper,NA,1866,1871,NA,NA
Holmes Coote,NA,1865,1869,"1,817","1,872"
H Copham,NA,1863,1865,NA,NA
Thomas Copings,NA,1863,1864,NA,NA
William C Copperthwaite,NA,1867,1871,"1,809","1,890"
William Cory,NA,1864,1868,NA,"1,868"
Frederick William Cosens,NA,1864,1871,"1,819","1,889"
Handel Cossham,NA,1864,1865,"1,824","1,890"
F L Cotton,NA,1865,1870,NA,NA
Samuel Courtauld,NA,1864,1871,"1,793","1,881"
F G Courthope,NA,1867,1870,NA,NA
J  Jermyn Cowell,NA,1864,1866,NA,NA
Joseph jun Cowen,NA,1865,1868,"1,829","1,900"
Henry Augustus Cowper,NA,1866,1871,NA,NA
Irwin Edward Bainbridge Cox,NA,1866,1866,"1,838","1,922"
J W  Conrad Cox,NA,1864,1869,NA,NA
W T Cox,NA,1864,1866,NA,NA
James Coxe,NA,1867,1868,"1,811","1,878"
Arthur Edmund Crafter,NA,1865,1867,"1,838","1,884"
Henry Valentine Crassweller,NA,1864,1866,NA,NA
Thomas William Craster,NA,1867,1869,"1,829","1,888"
Tom junr Craston,NA,1869,1871,NA,NA
Robert Crawford,NA,1868,1869,NA,NA
Frederick A B Crawfurd,NA,1866,1866,NA,NA
John Crawfurd,NA,1863,1868,"1,783","1,868"
George Critchett,NA,1864,1869,"1,817","1,882"
J M Crolly,NA,1863,1867,NA,NA
A G Cross,NA,1863,1871,NA,NA
Henry Crowley,1,1864,1871,NA,"1,887"
George Rayner Croxford,NA,1863,1866,NA,NA
Moore A Cuffe,NA,1870,1871,NA,NA
Edward Barrett Hodges Curteis,NA,1867,1871,NA,"1,886"
John Cuthbert,NA,1867,1869,NA,NA
John Richmond Cuthbert,NA,1863,1871,NA,"1,901"
William Barrington D'Almeida,NA,1867,1871,"1,841","1,897"
Jean Baptiste Julien D'Omalius d'Halloy,NA,1863,1871,"1,783","1,875"
S J Da Costa,NA,1866,1866,NA,NA
x Daa,NA,1866,1871,"1,809","1,877"
G P Dall,NA,1867,1867,NA,NA
Eugene Dally,NA,1864,1871,"1,833","1,887"
Frederick Whittock Darby,NA,1866,1867,NA,NA
Camille Dareste,NA,1863,1871,"1,822","1,899"
George Russell Dartnell,NA,1867,1871,"1,799","1,878"
Charles Darwin,NA,1863,1871,"1,809","1,882"
