"Source","Target"
Thomas B Gascoyne,ESL
John Peter Gassiot,ESL
x Gawler,ESL
Enrico Hillyer Giglioli,ESL
William Gillespie,ESL
James William Glass,ESL
x Glasse,ESL
Albert Gledstanes,ESL
George Grenfell Glyn,ESL
Isaac Lyon Goldsmid,ESL
Thomas Gole,ESL
Richard Thomas Gore,ESL
John Gould,ESL
D G Goyder,ESL
x Granville,ESL
George Bellas Greenough,ESL
William Greenwell,ESL
William Rathbone Greg,ESL
Charles Edward Grey,ESL
George Grey,ESL
Henry Rowland Ellison Grey,ESL
John Griffith,ESL
Richard Trygarn Griffith,ESL
J C Griffiths,ESL
Richard Clewin Griffiths,ESL
John Grover,ESL
Augustus Guest,ESL
William Vernon Guise,ESL
John Henry Gurney,ESL
Alexander Guthrie,ESL
James Guthrie,ESL
Johann Franz ('Julius') Haast,ESL
William Hall,ESL
Henry Hallam,ESL
Alexander C Hamilton,ESL
Archibald Hamilton,ESL
Rowland Hamilton,ESL
F W Harrer,ESL
William Cornwallis Harris,ESL
Charles (1) Harrison,ESL
William G S Harrison,ESL
John E Harvey,ESL
John Hastings,ESL
Walter Hawkins,ESL
John Hay,ESL
Ferdinand Vandeveer Hayden,ESL
R W Haynes,ESL
Peter Christian Heldman,ESL
Alexander Henderson,ESL
Robert Henderson,ESL
Joseph Henry,ESL
James Hepburn,ESL
Robert Hepburn,ESL
B Hewitt,ESL
Jonas B Hewitt,ESL
James Heywood,ESL
Arthur Hill,ESL
Frederick Hindmarsh,ESL
x Hitchman,ESL
Thomas (1) Hodgkin,ESL
Brian Houghton Hodgson,ESL
Kirkman Daniel Hodgson,ESL
"x Hoeven, Van der",ESL
J W Holgate,ESL
Robert Hollond,ESL
x Holmberg,ESL
H N Holme,ESL
Joseph Hooker,ESL
Frederick William Hope,ESL
W J S Horton,ESL
John Camden Hotten,ESL
Alfred How,ESL
Henry Hoyle Howorth,ESL
T A Hughes,ESL
Thomas McKenny Hughes,ESL
"Alexander Humboldt, Von",ESL
George S  Lennon Hunt,ESL
James Hunt,ESL
John (2) Hunt,ESL
William Wilson Hunter,ESL
Frank J Husband,ESL
H A Husband,ESL
Thomas Henry Huxley,ESL
William Imrie,ESL
Robert Ingham,ESL
John Inglis,ESL
Robert M Inman,ESL
Arthur Constantine Ionides,ESL
J  Clayfield Ireland,ESL
x Isenburg,ESL
Henry (the father) Jackson,ESL
x Jagor,ESL
F H Janson,ESL
John Moore Jeffcott,ESL
Edmund Jeffries,ESL
x Johore,ESL
James Jones,ESL
William Jones,ESL
William Arthur Jones,ESL
William Jordan,ESL
J  Beete Jukes,ESL
J Kaines,ESL
J W  (1) Kaye,ESL
Walter K Kelly,ESL
James (1) Kennedy,ESL
Richard Hartley Kennedy,ESL
James Kernahan,ESL
David King,ESL
Joseph Charles King,ESL
Richard King,ESL
S W King,ESL
Phillip Kingsford,ESL
Charles Kingsley,ESL
Andrew Valentine Kirwan,ESL
Richard Kirwan,ESL
J L Knapp,ESL
William Knight,ESL
Robert Knox,ESL
Samuel Harley Kough,ESL
Samuel Laing,ESL
Jones Lamprey,ESL
Augustus Henry Lane Fox later Pitt Rivers,ESL
Andrew Lang,ESL
J Langlands,ESL
R Langlands,ESL
Robert Gordon Latham,ESL
Joseph Law,ESL
Edward Lawford,ESL
John Lawrence,ESL
Henry N Lay,ESL
Austen Henry Layard,ESL
x Layland,ESL
John Edward Lee,ESL
J G S Lefevre,ESL
x Lefroy,ESL
Joseph Leidy,ESL
Arthur Charles Wriothesley Lennox,ESL
Richard Lepsius,ESL
Karl Georg Friedrich Rudolf Leuckart,ESL
Malcolm Lewin,ESL
James Lewis,ESL
x Library of the Corporation of London,ESL
Joseph Lister,ESL
W J Little,ESL
Edmund Lloyd,ESL
Francis Lloyd,ESL
William Horton Lloyd,ESL
William Lockhart,ESL
Abraham Logan,ESL
J R Logan,ESL
x Londesborough,ESL
William Long,ESL
Horatio Love,ESL
x Lovewell,ESL
John Lubbock,ESL
Johann Constantin August Lucae,ESL
J W Lukis,ESL
John Gray Macfarlane,ESL
G Macgowan,ESL
K Mackenzie,ESL
Samuel Joseph Mackie,ESL
Lauchlan Mackinnon,ESL
Daniel Mackintosh,ESL
J Mackrell,ESL
Samuel Maclean,ESL
George Macleay,ESL
Andrew Maclure,ESL
Charles James Major,ESL
Charles Malcolm,ESL
William Elphinstone Malcolm,ESL
Alfred Mallalieu,ESL
Robert James Mann,ESL
Clements Robert Markham,ESL
Matthew Henry Marsh,ESL
Peter Marshall,ESL
William Marshall,ESL
Edward Martin,ESL
Richard Biddulph Martin,ESL
Thomas Martin,ESL
James Wood Mason,ESL
Edward V Maur,ESL
Alfred Maury,ESL
George Maw,ESL
Peter Benson Maxwell,ESL
Thomas May,ESL
Joseph Mayer,ESL
William Frederick Mayers,ESL
John S Mayson,ESL
James McClelland,ESL
John Ferguson McLennan,ESL
John Frederick McNair,ESL
H McNicholl,ESL
Thomas Taylor Meadows,ESL
James Aitken Meigs,ESL
Edward Meryon,ESL
Samuel Rush Meyrick,ESL
William Augustus Miles,ESL
Joseph Milligan,ESL
Henri Milne-Edwards,ESL
x Milton,ESL
Albert Mitchell,ESL
Alexander (1) Mitchell,ESL
Matthew Moggridge,ESL
J Monro,ESL
Patrick Montgomery,ESL
Robert Mortimer Montgomery,ESL
John Moody,ESL
Joseph Moore,ESL
Alexander Morison,ESL
Edward Morris,ESL
Edward Rowley Morris,ESL
Eugene Morris,ESL
John Morris,ESL
Richard Morris,ESL
Walter Morrison,ESL
J Muir,ESL
Friedrich Max Muller,ESL
Johan Muller,ESL
x Munro,ESL
Francis Kerridge Munton,ESL
Roderick Impey Murchison,ESL
John Murray,ESL
G N Mussabini,ESL
N G Mussabini,ESL
Dadabhai Naoroji,ESL
William Napier,ESL
William Donald Napier,ESL
Davyd William Nash,ESL
Robert Lucas Nash,ESL
Alexander Nasmyth,ESL
Dominico Navoni,ESL
J  Dormer Neale,ESL
Francis G P Neison,ESL
William Neison,ESL
Robert Stirling (1) Newall,ESL
F W Newman,ESL
Thomas Nicholas,ESL
Brinsley Nicholson,ESL
Charles Nicholson,ESL
D Nicol,ESL
J  Dyce Nicol,ESL
Donald Nicoll,ESL
Giustiniano Nicolucci,ESL
Sven Nilsson,ESL
Josiah Clark Nott,ESL
Thomas William Nunn,ESL
P O'Callaghan,ESL
George O'Gorman,ESL
Edward O'Riley,ESL
William Ogilby,ESL
Laurence Oliphant,ESL
Samuel Pasfield Oliver,ESL
Gustav Oppert,ESL
W  Billing Orton,ESL
Sherard Osborn,ESL
Charles Otto,ESL
Frederick Ouvry,ESL
John Downes Owens,ESL
Thomas Page,ESL
Arthur Paget,ESL
William Gifford Palgrave,ESL
Harry Parkes,ESL
Charles Pasley,ESL
Edmund Patterson,ESL
C H Pearson,ESL
Francisco E Pereira,ESL
Erskine Perry,ESL
George Michael Perry,ESL
Josef Anton Maximilian Perty,ESL
Horace William Petherick,ESL
William Vesalius Pettigrew,ESL
Arthur Phayre,ESL
Benjamin Phillips,ESL
Philip Phoebus,ESL
Edward Pick,ESL
Charles Pickering,ESL
Francois Jules Pictet,ESL
Jonathan S Pidgeon,ESL
John Platts,ESL
Reginald Stuart Poole,ESL
George H Pope,ESL
W H Pope,ESL
T Postans,ESL
Joseph Legg Postlethwaite,ESL
Thomas Prendergast,ESL
Joseph Prestwich,ESL
David S Price,ESL
Lorenzo T C Price,ESL
James Cowles Prichard,ESL
Alfred Pulford,ESL
Arthur Giles Puller,ESL
Robert Pulsford,ESL
Lambert Adolphe Jacques Quetelet,ESL
Charles Rafn,ESL
Henry Raikes,ESL
George Ramsay,ESL
George Dalhousie Ramsay,ESL
John Ramsay,ESL
H  Fowler Ransford,ESL
Charles Ratcliff,ESL
Henry Rawlinson,ESL
Richard Rayley,ESL
W H Read,ESL
Charles Reade,ESL
Richard Thompson Reep,ESL
Richard Reeve,ESL
Lestock Robert Reid,ESL
Ernest Renan,ESL
Anders Retzius,ESL
Francis Richardson,ESL
Joseph Rickerby,ESL
F W Ricketts,ESL
Jonathan Rigg,ESL
"x Ripon, De Grey and",ESL
Carl Ritter,ESL
John Henry Rivett-Carnac,ESL
Charles Robert des Ruffieres,ESL
A Roberts,ESL
Archibald Robertson,ESL
Thomas Valentine Robins,ESL
Edward Robinson,ESL
G A Robinson,ESL
George Augustus Robinson,ESL
Hamilton Roe,ESL
Charles Rogers,ESL
Frederick W Rogers,ESL
George Rogers,ESL
John Rogers,ESL
George Rolleston,ESL
James Rome,ESL
Hyacinthe Ronay,ESL
x Rosehill,ESL
John George Clunies Ross,ESL
x Roth,ESL
Richard Wellesley Rothman,ESL
R W Rowbotham,ESL
H R Rowcroft,ESL
Harry Crommelin Rowcroft,ESL
A H Russell,ESL
George Augustus Frederick Ruxton,ESL
Edward Ryan,ESL
Alfred Sadler,ESL
David Salomons,ESL
Alfred M Sanderson,ESL
W  Walbank Sanderson,ESL
Humfrey Sandwith,ESL
William Satter,ESL
William Devonshire Saull,ESL
Carl Ritter von Scherzer,ESL
Robert  Herman Schomburgk,ESL
Henry R Schoolcraft,ESL
Frederick Henry Scott,ESL
John (1) Scott,ESL
Robert Scott,ESL
Thomas Scott,ESL
John Scouler,ESL
E J Selwyn,ESL
Carl Semper,ESL
George Sexton,ESL
Henry Danby Seymour,ESL
W Sharp,ESL
Norton Shaw,ESL
William Wardrop Shaw,ESL
x Sheffield,ESL
Justin Shiel,ESL
John Joseph Shillinglaw,ESL
John Shortt,ESL
Charles Lionel Showers,ESL
James Kay Shuttleworth,ESL
P L Simmonds,ESL
James Simpson,ESL
William Henry Simpson,ESL
Joseph Sister,ESL
x Skardon,ESL
Thomas Peyton Slapp,ESL
Bath Charles Smart,ESL
J  Valentine Smedley,ESL
Andrew Smith,ESL
D  Pye Smith,ESL
Edward Osborne Smith,ESL
John Smith,ESL
Thomas James Smith,ESL
Thomas Southwood Smith,ESL
R  Brough Smyth,ESL
William Parker Snow,ESL
Samuel Reynolds Solly,ESL
William Somervell,ESL
Henry Southey,ESL
G W Spence,ESL
William Spence,ESL
William Henry Spencer,ESL
T  Trevethan Spicer,ESL
William Spottiswoode,ESL
Ephraim George Squier,ESL
George St Clair,ESL
Bayle St John,ESL
James Augustus St John,ESL
Percy B St John,ESL
Spencer St John,ESL
Edward St Maur,ESL
James Joseph Stainton,ESL
William Edward Stanbridge,ESL
H I Staples,ESL
Japetus Steenstrup,ESL
Carl (Karl) Steinhauer,ESL
William Frederick Cowell Stepney,ESL
N  Henry Stevens,ESL
Alexander Patrick Stewart,ESL
Charles Edward Stewart,ESL
x Strangford,ESL
Henry Stretton,ESL
