"Name","birth_year","death_year"
Charles Brett,NA,1878
D J Breuneis,NA,NA
J S Brickwood,NA,NA
Edmund J Bridell,NA,NA
John Briggs,1785,1875
Lindsay Brine,1834,1906
John Brinton,1827,1914
Bernard Edward Brodhurst,1822,1900
Benjamin Collins Brodie,1783,1862
David Brodie,1821,1909
P B Brodie,NA,NA
Frederick Brome,NA,1870
James Brooke,1803,1868
Henry (1) Brookes,NA,NA
Henry (2) Brookes,NA,NA
William Brookes,NA,NA
x Brougham,1778,1868
Charles Cornish Brown,1846,1875
Edward Brown,NA,NA
Edwin Brown,1818,1876
Edwin Ormond Brown,NA,NA
George W  (1) Brown,NA,NA
James Roberts Brown,NA,NA
John Brown,1801,1879
John Allen Brown,1831,1903
John Harcourt Brown,NA,NA
x Brown-Sequard,1817,1894
J  Cave Browne,NA,NA
Thomas Henry Browne,NA,NA
Robert Bruce,NA,NA
Ernst Wilhelm Ritter von Brucke,1819,1892
Henry Brunskill,NA,NA
George Bryant,NA,NA
Walter Buchannan,1797,1883
Ludwig Buchner,1824,1899
James Silk Buckingham,1786,1855
W E Buckley,NA,NA
James Buckman,1818,1884
William Bull,1828,1902
James Wentworth Buller,1798,1865
Henry Christopher Bunkell,1829,1903
x Bunsen,1791,1860
Henry Burden,1835,1893
Daniel Earl Burdett,NA,NA
August Friedrich Marschall von Burgholzhausen,1804,1887
John Smith Burke,NA,1868
Luke Burke,NA,1885
Hermann Burmeister,1807,1892
Samuel Burton,NA,NA
Johann Karl Eduard Buschmann,1805,1880
George Busk,1807,1886
William John Busteed,1836,1914
Henry Butler,1838,NA
James Butler,NA,NA
Charles Buxton,1823,1871
Isaac Byerley,1814,1897
George Byham,1826,NA
John O'Connell Byrne,NA,NA
Oliver Byrne,1810,1890
Benjamin Bond Cabbell,1782,1874
Henry Callaway,1817,1890
Thomas Callaway,1822,1869
John Calman,NA,NA
Luigi Calori,1807,1896
Frank Calvert,1828,1908
George Calvert,NA,NA
Charles Duncan Cameron,NA,1870
Archibald Campbell,1805,1874
Francis Campbell,1798,1877
George (1) Campbell,1824,1892
George (2) Campbell,NA,NA
Henry Campbell,NA,NA
James Campbell,NA,NA
Montgomery Campbell,NA,NA
Robert Campbell,1829,1884
T A Campbell,NA,NA
Walter Campbell,NA,NA
Francis Campin,NA,NA
William Camps,NA,1887
Thomas Cannon,NA,NA
Jean-Francois Caplin,1790,1872
Charles Capper,1822,1869
Charles Napoleon de Cardi,1844,1906
William D Carey,1837,1917
John Burford Carlill,1814,1874
Frederick Stanley Carpenter,1817,1890
Robert Carrington,NA,NA
George Carter,NA,NA
Samuel Cartwright,1789,1864
Facundo Carulla,NA,NA
Carl Gustav Carus,1789,1869
John Cassell,1817,1865
Fran̤ois Louis Nompar de Caumont La Force Castelnau,1810,1880
Henry James Castle,NA,NA
Daniel de Castro,NA,NA
George Catlin,1796,1872
John Cavafy,1838,1901
Richard Cavendish,1794,1876
"Antonio de La, jun Cerda",1834,1885
Edwin Chadwick,1800,1890
Hugo Mavesyn Chadwick,1793,1854
John Henry Challis,1806,1880
William Chamberlin,NA,NA
Charles Harcourt Chambers,1826,1876
Escott Chambers,NA,NA
William Chambers,1809,1882
James Champley,NA,1888
Frank Chance,1825,1897
David Charles,1812,1878
Edward Charlesworth,1813,1893
Henry Charlton,NA,1872
William Charlton,1814,1880
Frederick Chatfield,1801,1872
Samuel Cheetham,1827,NA
F W Chesson,NA,NA
Hendrick Agnis Chignell,1833,1879
William Dinsdale Child,NA,1879
Robert Caesar Childers,1838,1876
Robert Walker Childs,NA,NA
Samuel Chinnery,1828,NA
William Nathan Chipperfield,1822,1873
P H Chittenden,NA,NA
T J Cholmondeley,1818,1883
William Dingle Chowne,1791,1870
Henry Christy,1810,1865
Thomas junior Christy,NA,NA
James Graham Churcher,NA,NA
Henry Clare,NA,NA
x Clarendon,1800,1870
x Clark,NA,NA
Henry Clark,NA,NA
James Clark,1788,1870
C Clarke,NA,NA
Henry Wilberforce Clarke,1840,1905
Hyde Clarke,1815,1895
John Clarke,1802,1879
Robert Clarke,NA,NA
William Henry Claus,NA,NA
William Aloysius Clavering,1800,1872
T H  Jun Clay,NA,NA
William Clay,1791,1869
John (1) Cleghorn,NA,NA
John (2) Cleghorn,NA,NA
John Cleland,1835,NA
William James Clement,1802,1870
John Clendinning,NA,NA
H Clerk,NA,NA
Maurice Philip Clifford,NA,NA
William Clift,1775,1849
Edward North Clifton,NA,NA
F W Coates,NA,NA
Henry Coates,NA,NA
Thomas Coates,NA,NA
Frederick Cock,NA,NA
John jun Cock,NA,NA
W  Spencer Cockings,NA,NA
James Coke,NA,NA
John Colam,1827,1910
W P Colchester,NA,NA
Henry Cole,1808,1882
Richard Beverley Cole,1829,1901
Vicat Cole,1833,1893
Thomas Edward Colebrooke,1813,1890
Edmund Walter Coleman,NA,1870
John Sherrard Coleman,1828,1905
x Collier,NA,NA
John Payne Collier,1789,1883
Thomas Collings,1798,1869
John Frederick Collingwood,1830,1923
S  Edwin Collingwood,NA,NA
W W Collins,NA,1880
John (1) Collinson,1842,1922
x Colonsay,1793,1874
John Congreve,NA,NA
John Conolly,1794,1866
Moncure Daniel Conway,1832,1907
Samuel John Cooke,NA,NA
William Fothergill Cooke,1806,1879
William Gifford Cookesley,1802,1880
Daniel Cooper,1821,1902
Frederick Cooper,NA,NA
Holmes Coote,1817,1872
George Ford Copeland,1810,1873
H Copham,NA,NA
Thomas Copings,NA,NA
William C Copperthwaite,1809,1890
Tullie Cornthwaite,1807,NA
William Cory,NA,1868
Frederick William Cosens,1819,1889
Handel Cossham,1824,1890
F L Cotton,NA,NA
W Coulson,1795,1860
Samuel Courtauld,1793,1881
F G Courthope,NA,NA
J  Jermyn Cowell,NA,NA
Joseph jun Cowen,1829,1900
Henry Augustus Cowper,NA,NA
Irwin Edward Bainbridge Cox,1838,1922
J W  Conrad Cox,NA,NA
W T Cox,NA,NA
James Coxe,1811,1878
Arthur Edmund Crafter,1838,1884
Henry Valentine Crassweller,NA,NA
Thomas William Craster,1829,1888
Tom junr Craston,NA,NA
Robert Crawford,NA,NA
Frederick A B Crawfurd,NA,NA
John Crawfurd,1783,1868
Oswald John Crawfurd,1834,1909
W J Crichton,NA,NA
George Critchett,1817,1882
J  McGregor Croft,NA,NA
Thomas Francis Dillon Croker,1831,1912
J M Crolly,NA,NA
A G Cross,NA,NA
Henry Crowley,NA,1887
Jonathan Sparrow Crowley,1826,1888
George Rayner Croxford,NA,NA
Moore A Cuffe,NA,NA
Richard Cull,NA,1892
Henry Syer Cuming,1817,1902
Richard S Cunliffe,NA,1879
Alexander Cunningham,1814,1893
Manockjee Cursetjee,1808,1887
Edward Barrett Hodges Curteis,NA,1886
John Cuthbert,NA,NA
John Richmond Cuthbert,NA,1901
George Cutler,NA,NA
William Barrington D'Almeida,1841,1897
Marie-Armand de Castera-Macaya D'Avezac,1798,1875
Jean Baptiste Julien D'Omalius d'Halloy,1783,1875
S J Da Costa,NA,NA
x Daa,1809,1877
T Dakin,NA,NA
David Dale,1829,1906
G P Dall,NA,NA
Eugene Dally,1833,1887
G  Wythes Daniell,NA,NA
William Freeman Daniell,1818,1865
Robert Dukinfield Darbishire,1826,1908
Frederick Whittock Darby,NA,NA
Camille Dareste,1822,1899
P  Francis Dart,NA,NA
George Russell Dartnell,1799,1878
Charles Darwin,1809,1882
Erasmus (Ras) Darwin,1804,1881
George Webbe Dasent,1817,1896
Arthur Dashwood,NA,NA
Samuel Davenport,1818,1906
John George Davey,NA,NA
