"Name","birth_year","death_year"
Arthur Johnson,NA,NA
Henry Johnson,NA,NA
Henry James Johnson,NA,NA
Henry Moreton Johnson,NA,NA
Richard Johnson,NA,NA
J C  Hope Johnstone,NA,NA
x Johore,1833,1895
C  Treasure Jones,NA,NA
J  Pryce Jones,NA,NA
James Jones,NA,NA
John Jones,NA,NA
Robert Jones,NA,NA
W T Jones,NA,NA
William Jones,NA,NA
William Arthur Jones,1818,1873
William Jordan,NA,NA
Algernon Joy,NA,NA
Ernst Juch,1838,1909
Francisco Delgado Jugo,NA,NA
J  Beete Jukes,1811,1869
J Kaines,NA,NA
x Kalmus,NA,NA
G Kasimates,NA,NA
x Kaup,1803,1873
J W  (1) Kaye,NA,NA
J W  (2) Kaye,1840,NA
William Keene,1798,1872
Walter K Kelly,NA,NA
William Kelly,1813,1872
William Henry Kemm,1783,1859
T M Kendall,NA,NA
James (1) Kennedy,NA,NA
Richard Hartley Kennedy,NA,NA
Claude Buchanan Ker,1867,1925
James Kernahan,1827,1875
W B Kesteven,NA,1891
Nicolai de Khanikof,1819,1878
Joshua Edward Killick,NA,NA
William Kincaid,1831,1909
David King,NA,1866
Edwin Holborow King,NA,1900
Joseph Charles King,NA,NA
Richard King,1811,1876
S W King,NA,NA
William King,1809,1886
Phillip Kingsford,NA,NA
Charles Kingsley,1819,1875
W R H Kinlay,NA,NA
David Kinloch,NA,NA
Robert Reid Kirkwood,NA,NA
Andrew Valentine Kirwan,1801,1870
Richard Kirwan,1828,1872
Samuel Kisch,NA,NA
J L Knapp,NA,NA
William Knight,NA,NA
Robert Knox,1791,1862
de Koninck,1809,1887
Isidor Kopernicki,1825,1891
x Koren,NA,NA
Samuel Harley Kough,NA,NA
Alfred von Kremer,1828,1889
William White La Barte,1824,1904
George Lade,NA,NA
Samuel Laing,1812,1897
Thomas Josiah Laing,1810,1880
Thomas Lampray,NA,NA
Jones Lamprey,1824,1900
John Lancaster,1815,1884
T A  Augustus Land,NA,NA
Edwin Lander,NA,NA
Vavasour Joseph Lane,1837,1873
Augustus Henry Lane Fox later Pitt Rivers,1827,1900
Andrew Lang,1844,1912
Samuel Lang,NA,NA
William Lang,NA,NA
J Langlands,NA,NA
R Langlands,NA,NA
J R Langley,NA,NA
Edouard Lartet,1801,1871
Robert Gordon Latham,1812,1888
William Latta,1843,1871
John Zachariah Laurence,1829,1870
Thomas Laurie,NA,NA
Joseph Law,NA,1897
Edward Lawford,1820,1899
Edward (1) Lawrence,1825,1909
Frederick Lawrence,1821,1867
John Lawrence,NA,NA
William Lawrence,1783,1867
J Lawson,NA,1870
William Lawson,NA,NA
Henry N Lay,NA,NA
Austen Henry Layard,1817,1894
x Layland,NA,NA
x Le Bret,NA,NA
Edwin Lee,NA,NA
Frederick George Lee,1832,1902
George Byrne Lee,NA,NA
John Lee (2),1783,1866
John Edward Lee,1808,1887
Richard Lee,NA,NA
Conrad Leemans,1809,NA
Samuel Lees,NA,NA
J G S Lefevre,NA,NA
x Lefroy,1817,1890
William Benjamin Leggatt,NA,NA
Louis Leguay,NA,NA
Joseph Leidy,1823,1891
Henry Leighton,NA,NA
x Lelorrain,NA,NA
Arthur Charles Wriothesley Lennox,1842,1876
Richard Lepsius,1810,1884
Samuel Allen Letts,1839,1910
Karl Georg Friedrich Rudolf Leuckart,1822,1898
W  Hanks Levy,NA,NA
Malcolm Lewin,NA,1869
Charles Francis Lewis,NA,NA
James Lewis,NA,NA
x Library of the Corporation of London,NA,NA
Charles Linder,NA,NA
Gustaf Lindstrom,1829,1901
John Lister,1802,1867
Joseph Lister,1827,1912
x Literary and Philosophical Society,NA,NA
F T Littey,NA,NA
W J Little,NA,NA
Robert Liveing,1834,1919
David Lloyd,NA,NA
Edmund Lloyd,NA,NA
Francis Lloyd,NA,NA
William Horton Lloyd,NA,NA
James L Lobley,1833,1913
William Lockhart,1811,1896
Joseph Norman Lockyer,1836,1920
Abraham Logan,1816,1873
J R Logan,1819,1869
x Londesborough,1834,1900
"Corporation Library London, City of",NA,NA
William Long,1817,1886
William Longman,1813,1877
Henry Lonsdale,1816,1876
Edward Lord,1812,1875
J K Lord,NA,NA
Horatio Love,NA,1882
Basil Lovery,NA,1897
x Lovewell,NA,NA
Mark Anthony Lower,1814,1876
D Lubach,1815,1902
John Lubbock,1834,1913
Johann Constantin August Lucae,1835,1911
Thomas Lucas,1843,1917
William Charles Lucy,1822,1898
J W Lukis,1816,1894
William Collings Lukis,1817,1892
Edward Lund,1823,1898
John Alfred Lush,1815,1888
Coryndon H Luxmoore,NA,NA
Philip Powys Lybbe Lybbe,1818,1897
Charles Lyell,1797,1875
Henry Bowden Lyle,1843,1887
William Hunter Lyle,NA,NA
John Macartney,NA,NA
D G F Macdonald,1823,1884
William MacDonald,1798,1875
John Gray Macfarlane,NA,NA
G Macgowan,NA,NA
John Mackenzie,NA,NA
K Mackenzie,NA,NA
Kenneth Robert Henderson Mackenzie,1833,1886
Samuel Joseph Mackie,1823,1902
Draper Mackinder,NA,NA
Lauchlan Mackinnon,1817,1888
Charles E Mackintosh,NA,NA
Daniel Mackintosh,1815,1891
David Mackintosh,NA,NA
J Mackrell,NA,NA
Charles Donald Maclean,NA,NA
Hector Maclean,1818,1893
Samuel Maclean,1818,1864
George Macleay,1809,1891
Andrew Maclure,1813,1886
Charles James Major,NA,NA
Charles Malcolm,1782,1851
William Elphinstone Malcolm,1817,1907
Alfred Mallalieu,NA,NA
Filippo Manetta,NA,NA
Robert James Mann,1817,1886
Angelo Manzoni,NA,NA
Clements Robert Markham,1830,1916
W T Marriott,1834,1903
Robert C Marsden,NA,1865
Matthew Henry Marsh,1810,1881
x Marshale,NA,NA
George William Marshall,1839,1905
Peter Marshall,NA,NA
Robert Marshall,NA,NA
William Marshall,1796,1872
Benbow Backhouse Marson,1830,1887
Edward Martin,NA,NA
Edward W Martin,NA,NA
H  Victor Martin,1811,1901
J  Ranald Martin,1793,1874
John (2) Martin,1812,1874
Richard Biddulph Martin,1838,1916
Thomas Martin,NA,NA
x Martin-Magron,1810,1872
Nicholas Martindale,NA,NA
James Wood Mason,1846,1893
Joseph Mason,NA,NA
W Mason,NA,NA
Hervy Masterson,NA,NA
James Mathieson,NA,NA
Henry Matthews,1826,1913
Henry Garland Matthews,1838,1908
Samuel E Maunsell,NA,NA
Edward V Maur,1804,1885
Alfred Maury,1817,1892
George Maw,1832,1912
Daniel Maxwell,NA,NA
Nicholas M Maxwell,NA,NA
Peter Benson Maxwell,1817,1893
Edward Hooper May,1831,1914
Thomas May,NA,NA
John Edwin Mayall,1813,1901
Joseph Mayer,1803,1886
William Frederick Mayers,1831,1878
Thomas Mayne,NA,NA
John S Mayson,1825,NA
Alexander McArthur,1814,1909
Andrew McCallum,NA,NA
Arthur Edward McCallum,NA,NA
James McClelland,1799,1879
John McCormick,NA,NA
William McCoskry,NA,NA
James McCraith,NA,NA
James McCrevey,NA,1870
John McDonnell,1839,1879
George McHenry,NA,NA
John Ferguson McLennan,1827,1881
Walter McLeod,NA,NA
John Frederick McNair,1828,1910
H McNicholl,NA,NA
Barr Meadows,NA,NA
Thomas Taylor Meadows,1815,1868
John Medd,NA,NA
William H Medd,NA,NA
Charles William Carter Madden Medlicott,1839,NA
James Aitken Meigs,1829,1879
John Magens Mello,1836,1903
Robert Menzies,NA,NA
Evan Powell Meredith,1811,1889
Etienne Gustave Mery,NA,NA
Edward Meryon,NA,NA
Samuel Messenger,NA,NA
Samuel Rush Meyrick,1783,1848
Alexander Michie,1833,1902
J Middleton,NA,NA
John M  (or H ) Middleton,NA,NA
Louis Remy Mignot,1831,1870
Franciscus Miklosich,1813,1891
William Augustus Miles,NA,NA
John Mill,NA,NA
John Miller,NA,NA
Joseph Milligan,1807,1884
Henry F Mills,NA,NA
J M C Mills,NA,NA
A Milne,NA,NA
Thomas Milne,NA,NA
Henri Milne-Edwards,1800,1885
W R Milner,NA,1868
x Milton,1839,1877
B G Miraglia,1814,1885
J B Mirrlees,NA,NA
Albert Mitchell,NA,NA
Alexander (1) Mitchell,1831,1873
Arthur Mitchell,1826,1909
William Henry Mitchell,NA,NA
William Stephen Mitchell,NA,NA
Rajendralala Mitra,1823,1891
St George J Mivart,NA,NA
C  Poorooshottum Modeliar,NA,NA
Robert G Moger,NA,NA
Matthew Moggridge,1803,1882
Alexander Moir,NA,NA
J  Macrae Moir,1825,1881
Jakob Moleschott,1822,1893
Frederick William Monk,NA,NA
William Monk,NA,NA
J Monro,NA,NA
Frederick Butler Montgomerie,1833,NA
Patrick Montgomery,NA,NA
Robert Mortimer Montgomery,NA,NA
John Moody,NA,NA
x Moon,NA,NA
George Moore,1803,1880
Henry Reginald Moore,NA,NA
J  Daniel Moore,NA,NA
James H Moore,NA,NA
John (1) Moore,NA,1882
John (2) Moore,NA,NA
Joseph Moore,NA,1856
Robert Waters Moore,1819,1884
William Gosling Moore,NA,NA
Modeliar P S Mootoosaumy,NA,NA
Fortescue John Morgan,NA,NA
John Morgan,NA,NA
Thomas H Morgan,NA,NA
William Henry Morgan,NA,NA
Thomas B Moriarty,NA,NA
Alexander Morison,1779,1866
James Cotter Morison,1832,1888
Charles Adolphe Morlot,1820,1867
David Morris,NA,NA
Edward Morris,NA,NA
Edward Rowley Morris,1828,1893
Eugene Morris,NA,NA
H C  Grove Morris,NA,NA
J P Morris,NA,NA
John Morris,1823,1905
Richard Morris,NA,NA
James Holmes Morrison,1842,1917
Richard James ('Zadkiel') Morrison,1795,1874
Walter Morrison,1836,1921
Edward John Morshead,1839,1902
John Mortimer,NA,1871
John Robert Mortimer,1825,1911
Joseph Mosheimer,NA,NA
Svend Mosling,NA,NA
Thomas Moss,NA,NA
C B Mosse,NA,NA
George Mott,1831,1906
Joseph Mould,NA,NA
Walter Moxon,NA,NA
J Muir,1810,1882
Henry Muirhead,1814,1890
August Muller,1848,1892
Ferdinand Muller,1825,1896
Friedrich Max Muller,1823,1900
Johan Muller,1801,1858
Richard Mullins,NA,NA
x Munro,NA,NA
Francis Kerridge Munton,NA,NA
Roderick Impey Murchison,1792,1871
Edward W Murphy,1802,1877
Edward Murray,NA,NA
J C Murray,NA,NA
John Murray,1808,1892
John (1) Murray,NA,NA
John (2) Murray,NA,NA
John George Musgrave,NA,NA
G N Mussabini,NA,NA
N G Mussabini,NA,NA
Dadabhai Naoroji,1825,1917
Charles Ottley Groom Napier,1839,1894
William Napier,1804,1879
William Donald Napier,NA,NA
D W Nash,1809,1876
Davyd William Nash,1810,1876
Robert Lucas Nash,1818,1871
Samuel Nash,NA,NA
Alexander Nasmyth,1789,1849
F B  Bernard Natusch,NA,NA
Dominico Navoni,NA,NA
J  Dormer Neale,NA,1884
Francis G P Neison,NA,NA
William Neison,NA,NA
George Nesbitt,NA,NA
J R Neville,NA,NA
Robert Stirling (1) Newall,1812,1889
Literary and Philosophical Society of Newcastle,NA,NA
F W Newman,NA,NA
William Newmarch,NA,NA
P H Newnham,NA,NA
Alfred Vincent Newton,NA,NA
Henry William Newton,NA,NA
Robert S Newton,NA,NA
Thomas Nicholas,NA,NA
G  Jasper Nicholls,NA,NA
Brinsley Nicholson,1824,1892
Charles Nicholson,1808,1903
John Peede Segrave Carington Nicholson,NA,NA
D Nicol,NA,NA
J  Dyce Nicol,NA,NA
Donald Nicoll,NA,NA
Giustiniano Nicolucci,1819,1904
Sven Nilsson,1787,1883
Roden Noel,1834,1894
John Spencer Noldwritt,NA,NA
Karl Friedrich Nordmann,1830,NA
Henry Norsworthy,NA,NA
George North,NA,NA
Samuel William North,NA,NA
Josiah Clark Nott,1804,1873
John Nottingham,1810,1895
Richard Maddock Nunn,NA,1876
Thomas William Nunn,1825,1909
Charles O'Callaghan,NA,1875
P O'Callaghan,NA,NA
Luke Smyth O'Connor,1806,1873
George O'Gorman,NA,NA
Edward O'Riley,NA,NA
J L O'Sullivan,1813,1895
William Ogilby,NA,NA
G H Ogston,NA,NA
Laurence Oliphant,1829,1888
Samuel Pasfield Oliver,1838,1907
Gustav Oppert,1836,1908
William M Ord,1834,1902
John Benn Ormathwaite,1798,1881
W  Billing Orton,NA,NA
Sherard Osborn,1822,1875
John William Willoughby Osborne,1833,1881
Charles Otto,1795,1879
Frederick Ouvry,1814,1881
Thomas F Overman,NA,NA
H  Burnard Owen,NA,NA
John Fletcher Owen,1839,1924
Richard Owen,1804,1892
Robert Brisco Owen,1799,1883
Samuel R J Owen,NA,NA
John Downes Owens,1809,1865
J D V Packman,1813,1885
Thomas Page,NA,NA
Arthur Paget,1851,1928
Henry James Paine,NA,NA
William Paley,1824,1899
William Gifford Palgrave,1826,1888
Silas Palmer,1815,1875
Louis Philippe d'Orleans Paris,1838,1894
Matthew Paris,NA,NA
J W Parker,1792,1870
Walter Mantell Parker,NA,NA
Harry Parkes,1828,1885
John Parnell,NA,NA
J  Charlton Parr,NA,NA
King John Parr,NA,NA
Dashwood G Parry,NA,NA
A W Parsons,NA,NA
T E Partridge,NA,NA
Theodore D'Orville Partridge,NA,1897
Charles Pasley,1824,1890
Alexander Paspati,1814,1891
George K H Paterson,NA,NA
Robert Paterson,1814,1889
Edmund Patterson,NA,NA
B H Paul,NA,NA
R W Payne,NA,NA
Edward Peacock,1831,1915
Thomas Bevill Peacock,1812,1882
George Peacocke,1829,1871
Charles Thomas Pearce,1815,1883
Frederick Edward Pearse,1833,1900
C H Pearson,1830,1894
Alfred Henry Pechell,1827,1885
J M Peebles,NA,NA
Robert Peel,1838,1894
John Peiser,1801,1886
W S Pendon,NA,NA
William Peppe,NA,1937
Francisco E Pereira,NA,NA
William Perkins,NA,NA
James Perrin,1801,1888
John Beswick Perrin,NA,1887
Augustus E G Perrot,1857,1880
Erskine Perry,1806,1882
George Michael Perry,NA,NA
S G F Perry,NA,NA
Josef Anton Maximilian Perty,1804,1884
Augustus Heinrich Petermann,1822,1878
Horace William Petherick,1839,1919
George Petrie,1818,1875
William Vesalius Pettigrew,NA,NA
Arthur Phayre,1812,1885
Barnet Phillips,1827,1905
Benjamin Phillips,NA,NA
Philip Phoebus,1804,1880
Edward Pick,NA,NA
Charles Pickering,1805,1878
Francois Jules Pictet,1809,1872
Jonathan S Pidgeon,NA,NA
George William Septimus Piesse,1820,1882
Luke Owen Pike,1835,1915
Bedford Pim,1826,1886
Thomas Ryan Pinchis,1825,1869
W Pinkerton,1809,1871
James Pinnock,NA,NA
John Plant,NA,NA
John Platts,1830,1904
Charles Plummer,1831,NA
Fenwick T Poole,NA,NA
John Daniel Poole,NA,NA
Matthew Conway Poole,1841,1885
Reginald Stuart Poole,1832,1895
George H Pope,NA,NA
R Pope,NA,1870
W H Pope,1825,1879
R B Porter,NA,NA
T Postans,NA,NA
Joseph Legg Postlethwaite,NA,1871
George Pouchet,1833,1894
Emil Arnold Praeger,1817,NA
Henry Pratt,NA,NA
Thomas Prendergast,1806,1886
Joseph Prestwich,1812,1896
Charles Sharp Price,NA,NA
David S Price,NA,NA
Frederick George Hilton Price,1842,1909
Lorenzo T C Price,NA,NA
James Cowles Prichard,1786,1849
Thomas Prichard,NA,1878
Henry jun Prigg,NA,NA
George Pringle,NA,NA
Thomas junr Pritchard,1826,1874
William T Pritchard,1829,1907
James C Proctor,NA,NA
Alfred Pulford,1823,1896
Hyde Pullen,NA,NA
Arthur Giles Puller,1833,1885
Robert Pulsford,1815,1888
H Purdon,NA,NA
H S Purdon,1843,1906
Bernard Quaritch,1819,1899
Lambert Adolphe Jacques Quetelet,1796,1874
William Quin,1817,1871
John Radcliffe,NA,NA
James Rae,NA,1891
Charles Rafn,1795,1864
Henry Raikes,NA,NA
Antonio Raimondi,1826,1890
"A , jun Ramsay",NA,NA
Frank Ramsay,1821,1884
George Ramsay,NA,NA
George Dalhousie Ramsay,NA,NA
John Ramsay,1814,1892
William Francis Ramsay,NA,NA
Jabez Spence Ramskill,1825,1897
G C Rankin,NA,NA
H  Fowler Ransford,NA,NA
Edwin Ransom,1841,1927
Goday Naraen Gajapati Rao,1828,1903
Charles Ratcliff,1815,1885
Henry Rawlinson,1810,1895
James Rawson,NA,NA
Richard Rayley,NA,NA
W H Read,1819,1909
Charles Reade,1814,1884
William Winwood Reade,1838,1875
James Reddie,NA,NA
Richard Thompson Reep,1807,1894
Richard Reeve,NA,NA
Karl Bogislaus Reichert,1811,1883
Lestock Robert Reid,NA,1879
Ernest Renan,1823,1892
Charles Jeremiah Renshaw,1841,1916
Anders Retzius,1796,1860
M Ricardo,1776,1866
Edward Jackson Riccard,NA,1872
x Richards,NA,NA
Franklin Thomas Richards,1847,1905
Charles Richardson,1814,1896
Francis Richardson,1815,1896
James Coxon Richardson,NA,1877
Francis Ignatio Rickard,1837,1906
Joseph Rickerby,NA,NA
F W Ricketts,NA,NA
George Thorne Ricketts,1826,1919
H B Riddell,NA,NA
William Ridley,1819,1878
Jonathan Rigg,NA,NA
"x Ripon, De Grey and",1827,1909
Carl Ritter,1779,1859
Henry F Rivers,1830,1911
John Henry Rivett-Carnac,1839,1923
John Robbins,NA,NA
Charles Robert des Ruffieres,NA,1883
A Roberts,NA,NA
George E Roberts,1831,1865
J Roberts,NA,NA
Alexander Robertson,NA,1906
Alexander Robertson (2),NA,NA
Archibald Robertson,NA,NA
Charles Nice Robertson,NA,NA
Daniel Brooke Robertson,1810,1881
John Forbes Robertson,NA,NA
Thomas Valentine Robins,NA,NA
Edward Robinson,1794,1863
G A Robinson,NA,NA
George Augustus Robinson,1791,1866
J Robinson,NA,NA
William Robinson,NA,1880
Sampson Roch,1829,1906
"James, jun Rock",NA,NA
Hamilton Roe,NA,NA
Alfred S Rogers,NA,NA
Charles Rogers,NA,NA
Frederick W Rogers,NA,NA
George Rogers,1809,1891
John Rogers,NA,NA
George Rolleston,1829,1881
Charles Alfred Rolph,NA,NA
George Frederick Rolph,NA,NA
James Rome,NA,NA
Hyacinthe Ronay,1814,1889
Charles Rooke,1809,1872
James Anderson Rose,1819,1890
x Rosehill,1843,1891
Theodor A Rosenbusch,NA,NA
John Ross,NA,NA
John George Clunies Ross,1823,1871
x Roth,NA,NA
Richard Wellesley Rothman,NA,1856
E J Routh,1831,1907
Ankithum Venkata Nursing Row,1827,1892
William Bridges Row,NA,NA
R W Rowbotham,NA,NA
H R Rowcroft,NA,NA
Harry Crommelin Rowcroft,1840,1876
Henry Rudall,1793,1868
Thomas Rudd,NA,NA
Frederick William Rudler,1840,1915
Sophus Ruge,1831,1903
H  Hodgson Rugg,1812,1891
Samuel Rule,NA,1868
John Ruskin,1819,1900
A H Russell,1837,1916
Charles E Russell,NA,NA
James Russell,NA,NA
Logan H  D Russell,NA,NA
x Rutimeyer,1825,1895
George Augustus Frederick Ruxton,1821,1848
Edward Ryan,1793,1875
John Ryan,NA,NA
Oluf Rygh,1833,1899
Alfred Sadler,NA,NA
Charles S Salmon,NA,NA
William Salmon,NA,NA
David Salomons,1797,1873
William Severin Salting,1837,1905
James Sandale,NA,NA
Alfred Sanders,NA,NA
Alfred M Sanderson,NA,NA
T J Sanderson,NA,NA
W  Walbank Sanderson,NA,NA
Humfrey Sandwith,1822,1881
William Satter,NA,NA
William Devonshire Saull,1783,1855
W H Scattergood,NA,NA
Hermann Schaaffhausen,1816,1893
William Mason Scharlieb,1829,1891
Carl Ritter von Scherzer,1821,1903
E Schiemann,NA,NA
Hermann de Schlagintweit,1826,1882
Robert  Herman Schomburgk,1804,1865
Henry R Schoolcraft,1793,1864
A Schumann,NA,NA
E S Schwabe,NA,NA
Theodor Richard Schweitzer,NA,NA
Charles Scott,NA,NA
David Scott,NA,NA
Frederick Henry Scott,NA,NA
John (1) Scott,NA,NA
John (2) Scott,1817,1890
Robert Scott,NA,NA
Robert S Scott,NA,NA
Thomas Scott,NA,NA
Wentworth Lascelles Scott,NA,NA
John Scouler,1804,1871
J  Eglinton Seaman,NA,NA
Berthold Seemann,1825,1871
E J Selwyn,1822,1893
William Selwyn,1806,1875
Carl Semper,1832,1893
Hugh R Semper,NA,NA
Lucy Ellen Sewall,1837,1890
Henry Sewell,NA,NA
George Sexton,NA,NA
George Seymour,NA,NA
Henry Danby Seymour,1820,NA
Peter Sharp,NA,NA
Samuel Sharp,1814,1882
W Sharp,1805,1896
W J Sharpe,NA,NA
A  Mackintosh Shaw,NA,NA
Frederick George Shaw,NA,1918
Norton Shaw,NA,1868
Robert Barkley Shaw,1839,1879
William Wardrop Shaw,1816,1895
x Sheffield,1832,1909
Joseph Shepherd,1812,1887
H  Brinsley Sheridan,1820,1906
William Henry Sherwood,NA,NA
Justin Shiel,1803,1871
John Joseph Shillinglaw,1831,1905
William Shipp,1807,1873
John Shortt,1822,1889
Charles Lionel Showers,1816,1895
Thomas R G Shute,1802,1881
James Kay Shuttleworth,1804,1877
Ramon de Silva-Ferro,1829,1889
P L Simmonds,NA,NA
Constantine Simonides,NA,NA
S F Simonson,NA,NA
Frank Simpson,NA,NA
H V Simpson,NA,NA
James Simpson,1817,1899
William Henry Simpson,1843,1914
J  Marrion Sims,1813,1883
R S Sisson,NA,NA
Joseph Sister,NA,NA
x Skardon,NA,NA
James Henry Skene,1812,1886
Frederick Mackenzie Skues,1834,1911
William Mackenzie Skues,NA,NA
Thomas Peyton Slapp,NA,NA
Bath Charles Smart,1838,1887
J  Valentine Smedley,NA,NA
Abell Smith,NA,NA
Andrew Smith,1797,1872
D  Pye Smith,NA,NA
Edward Osborne Smith,NA,1864
George (1) Smith,1828,1873
George (2) Smith,1840,1876
George Hill Smith,1815,1893
George Whitely Smith,NA,NA
John Smith,NA,NA
Joseph J Smith,NA,NA
Peter Smith,NA,1866
Protheroe Smith,1809,1889
Tasker Smith,NA,NA
Thomas Smith,NA,NA
Thomas Eustace Smith,1831,1903
Thomas James Smith,1827,1896
Thomas Southwood Smith,1788,1861
William Smith,NA,NA
William Nugent Smith,NA,NA
Worthington George Smith,1835,1917
Sydney James Smithers,NA,NA
Brice Smyth,1838,1922
James Smyth,NA,NA
John E Smyth,NA,NA
John jun Smyth,NA,NA
R  Brough Smyth,1830,1889
Frederick Snaith,NA,1869
George Blagrove Snell,NA,NA
William Parker Snow,1817,1895
Samuel Solly,1805,1871
Samuel Reynolds Solly,1781,1866
William Somervell,NA,NA
Philip Southby,1843,1908
Henry Southey,1783,1865
James Bertram Sparhawk,NA,NA
Henry King Spark,1824,1899
G W Spence,NA,NA
Peter Spence,1806,1883
W H Spence,NA,NA
William Spence,1783,1860
R J Spencer,NA,NA
William Henry Spencer,NA,NA
T  Trevethan Spicer,NA,NA
Edward Spooner,1821,1899
William Spottiswoode,1825,1883
T B Sprague,1830,1920
Francis R Spry,1834,1913
Flaxman Spurrell,NA,NA
Ephraim George Squier,1821,1888
George St Clair,1836,1908
Bayle St John,NA,NA
James Augustus St John,1795,1875
Percy B St John,1821,1889
Spencer St John,1825,1910
Edward St Maur,NA,NA
James Joseph Stainton,NA,NA
Edward Stamp,1814,1872
William Edward Stanbridge,1821,1894
John Stanley,1827,1903
Thomas C Stanley,NA,NA
John Stanton,NA,NA
H I Staples,NA,NA
A B Stark,NA,NA
Japetus Steenstrup,1813,1897
Carl (Karl) Steinhauer,1801,1902
Charles Stenning,NA,NA
William Frederick Cowell Stepney,1821,1872
Joseph Stevens,NA,NA
N  Henry Stevens,NA,NA
John Stevenson,1836,1865
A A Stewart,NA,NA
Alexander Patrick Stewart,1813,1883
Charles Edward Stewart,NA,NA
W S Stewart,NA,NA
John Stirling,1828,1870
David Henry Stone,1812,1890
Robert Sidney Stone,1841,NA
William Storey,NA,NA
William Story,1816,1882
John Marmaduke Stourton,1847,1899
John Strachan,NA,NA
x Strangford,1826,1869
S Stratford,NA,NA
James Strathern,NA,NA
Henry Stretton,NA,1890
Andrew Struthers,NA,NA
x Stuart,NA,NA
John William Studart,NA,NA
Edward Sturman,NA,NA
John James Sturz,1800,1877
J P Sutherland,NA,NA
Peter Cormac Sutherland,1822,1900
Edwin C Suttor,1818,1898
George Suttor,1774,1859
Cornelis Swaving,1814,1881
Horace Swete,1825,NA
Richard Levinge Swift,1821,1872
Algernon Charles Swinburne,1837,1909
Robert Swinhoe,1836,1877
David Sydenham,NA,NA
J G Sylvester,NA,NA
J J Sylvester,1814,1897
J A Symonds,1807,1871
William Samuel Symonds,1818,1887
Francis Tagart,NA,NA
G M Tagore,1826,1890
Lawson Tait,1845,1899
Robert Tait,1816,1897
James Talbot de Malahide,1805,1883
James Tanner,NA,NA
x Tasmania,1803,1879
Alexander Norman Tate,1837,1892
George Tate,1805,1871
George Ralph Tate,1835,1874
Ralph (1) Tate,1840,1901
Thomas (1) Tate,1807,NA
Thomas (2) Tate,1807,1888
Thomas R Tatham,NA,1870
E B Tawney,1840,1882
John Taylor,1833,1912
John George Taylor,NA,NA
Richard Stephens jnr Taylor,1843,1928
W Taylor,NA,NA
W E Taylor,NA,NA
Richard Temple,1826,1902
Edward Tenison Ryan Tenison,NA,1904
John Tennant,1796,1878
James Emerson Tennent,1804,1869
Frederick Theed,1814,1880
"William, Jun Theobald",1829,1908
Robert Thin,1843,1867
Connop Thirlwall,1797,1875
J L Thomas,NA,NA
Alfred Robert Thompson,NA,NA
Fred Thompson,NA,1893
Frederick Thompson,NA,1885
George C Thompson,NA,NA
Joseph Thompson,NA,NA
Richard John Thompson,NA,NA
W Thompson (2),NA,NA
Christian JÃ¼rgensen Thomsen,1788,1865
John Thomson,1837,1921
L E Threlkeld,1788,1859
J  T Thresh,NA,NA
John Thrupp,1817,1870
Edward Thurlow,NA,NA
John Thurnam,1810,1873
Richard Hill Tiddeman,1842,1917
Samuel Timmins,1826,1902
x Tinsley,NA,NA
E Tinsley,NA,1866
John Tolhurst,NA,NA
C D Tolme,NA,NA
x Tonna,1812,1857
James Tonnere,NA,NA
William Tooke,1777,1863
Albert Tootal,1838,1893
John Towers,NA,NA
Frederick Travers,1808,1876
S  Smith Travers,1826,1888
William Travers,1838,NA
Arthur Trevelyan,NA,1880
Edward Andrew Trevor,1839,1886
Nicolas Trubner,1817,1884
Gregory Tschurowsky,1804,1884
Charles jun Tuckett,NA,1875
Thomas Harrington Tuke,1826,1888
x Tumangung of Jehore,NA,NA
Arthur Chilver Tupper,1816,1876
James Turle,1832,1905
Henry John Turner,NA,NA
John Turner,NA,NA
William F J Turner,1831,1894
William Wadden Turner,1810,1859
Arthur Turrell,1846,1898
John Twiner,NA,NA
William Twining,NA,NA
H K Twyford,NA,NA
Carl Wilhelm Ferdinand Uhde,1813,1885
John Underwood,NA,NA
x University Library,NA,NA
Herbert Taylor Ussher,1836,1880
John Ussher,NA,NA
Arthur Vacher,NA,NA
J J C Valpy,1828,NA
Armenius Vambery,1832,1913
George Vaughan,NA,NA
Jonas Daniel Vaughan,1825,1891
William Sandys Wright Vaux,1818,1885
Gonzalez Velasco,1815,1882
George Venables Vernon,NA,1878
Paul Vibraye,1809,1878
Henry Vignaud,1830,1922
Edouard J Villin,1832,1922
Rudolph Virchow,1821,1902
Julio Vizcarrondi,NA,NA
Carl Vogt,1817,1895
Benjamin Vulliamy,1780,1854
Thomas Francis Wade,1818,1895
Rudolph Wagner,1805,1864
x Wagstaff,NA,NA
Theodore Waitz,1821,1864
Alfred Wake,NA,NA
E T Wakefield,NA,NA
Cornelius Walford,1827,1885
Alexander Walker,1824,NA
Alexander Macnamee Walker,NA,NA
Charles Pyndar Beauchamp Walker,1817,1894
Edmund Walker,NA,NA
George Walker,NA,NA
James Walker,1781,1862
James Sydney Walker,NA,1883
Robert Walker,1823,1894
Thomas Walker,1832,1896
Alfred Russel Wallace,1823,1913
Joshua Walmsley,1819,NA
Phillipp Alexander Walther,1812,1887
H C Walton,1841,1872
J W Walton,1818,1867
Rienzi G Walton,1842,1900
James Alfred Wanklyn,1834,1906
Charles Augustus Ward,NA,NA
Stephen Henry Ward,1818,1880
