"Source","Target","first_year","last_year","birth_year","death_year"
Harry Parkes,ESL,1862,1871,"1,828","1,885"
Charles Pasley,ESL,1848,1860,"1,824","1,890"
Edmund Patterson,ESL,1860,1871,NA,NA
C H Pearson,ESL,1856,1862,"1,830","1,894"
Francisco E Pereira,ESL,1865,1871,NA,NA
Erskine Perry,ESL,1853,1854,"1,806","1,882"
George Michael Perry,ESL,1854,1856,NA,NA
Josef Anton Maximilian Perty,ESL,1860,1871,"1,804","1,884"
Horace William Petherick,ESL,1864,1871,"1,839","1,919"
William Vesalius Pettigrew,ESL,1852,1856,NA,NA
Arthur Phayre,ESL,1862,1871,"1,812","1,885"
Benjamin Phillips,ESL,1851,1853,NA,NA
Philip Phoebus,ESL,1861,1867,"1,804","1,880"
Edward Pick,ESL,1861,1864,NA,NA
Charles Pickering,ESL,1861,1871,"1,805","1,878"
Francois Jules Pictet,ESL,1860,1871,"1,809","1,872"
Jonathan S Pidgeon,ESL,1851,1851,NA,NA
John Platts,ESL,1869,1871,"1,830","1,904"
Reginald Stuart Poole,ESL,1866,1867,"1,832","1,895"
George H Pope,ESL,1868,1871,NA,NA
W H Pope,ESL,1865,1868,"1,825","1,879"
T Postans,ESL,1844,1844,NA,NA
Joseph Legg Postlethwaite,ESL,1844,1871,NA,"1,871"
Thomas Prendergast,ESL,1863,1868,"1,806","1,886"
Joseph Prestwich,ESL,1869,1871,"1,812","1,896"
David S Price,ESL,1861,1871,NA,NA
Lorenzo T C Price,ESL,1868,1871,NA,NA
James Cowles Prichard,ESL,1844,1849,"1,786","1,849"
Alfred Pulford,ESL,1866,1871,"1,823","1,896"
Arthur Giles Puller,ESL,1864,1871,"1,833","1,885"
Robert Pulsford,ESL,1860,1860,"1,815","1,888"
Lambert Adolphe Jacques Quetelet,ESL,1853,1871,"1,796","1,874"
Charles Rafn,ESL,1853,1864,"1,795","1,864"
Henry Raikes,ESL,1855,1862,NA,NA
George Ramsay,ESL,1843,1843,NA,NA
George Dalhousie Ramsay,ESL,1862,1870,NA,NA
John Ramsay,ESL,1867,1871,"1,814","1,892"
H  Fowler Ransford,ESL,1862,1867,NA,NA
Charles Ratcliff,ESL,1861,1871,"1,815","1,885"
Henry Rawlinson,ESL,1853,1871,"1,810","1,895"
Richard Rayley,ESL,1845,1845,NA,NA
W H Read,ESL,1864,1869,"1,819","1,909"
Charles Reade,ESL,1864,1869,"1,814","1,884"
Richard Thompson Reep,ESL,1848,1855,"1,807","1,894"
Richard Reeve,ESL,1844,1850,NA,NA
Lestock Robert Reid,ESL,1861,1871,NA,"1,879"
Ernest Renan,ESL,1861,1871,"1,823","1,892"
Anders Retzius,ESL,1854,1860,"1,796","1,860"
Francis Richardson,ESL,1863,1871,"1,815","1,896"
Joseph Rickerby,ESL,1844,1844,NA,NA
F W Ricketts,ESL,1858,1871,NA,NA
Jonathan Rigg,ESL,1845,1845,NA,NA
"x Ripon, De Grey and",ESL,1860,1871,"1,827","1,909"
Carl Ritter,ESL,1853,1859,"1,779","1,859"
John Henry Rivett-Carnac,ESL,1870,1871,"1,839","1,923"
Charles Robert des Ruffieres,ESL,1853,1871,NA,"1,883"
A Roberts,ESL,1867,1867,NA,NA
Archibald Robertson,ESL,1866,1866,NA,NA
Thomas Valentine Robins,ESL,1866,1867,NA,NA
Edward Robinson,ESL,1852,1863,"1,794","1,863"
G A Robinson,ESL,1863,1871,NA,NA
George Augustus Robinson,ESL,1853,1866,"1,791","1,866"
Hamilton Roe,ESL,1843,1845,NA,NA
Charles Rogers,ESL,1845,1854,NA,NA
Frederick W Rogers,ESL,1847,1847,NA,NA
George Rogers,ESL,1867,1871,"1,809","1,891"
John Rogers,ESL,1847,1856,NA,NA
George Rolleston,ESL,1860,1871,"1,829","1,881"
James Rome,ESL,1861,1862,NA,NA
Hyacinthe Ronay,ESL,1865,1871,"1,814","1,889"
x Rosehill,ESL,1870,1871,"1,843","1,891"
John George Clunies Ross,ESL,1860,1871,"1,823","1,871"
x Roth,ESL,1855,1871,NA,NA
Richard Wellesley Rothman,ESL,1844,1856,NA,"1,856"
R W Rowbotham,ESL,1843,1843,NA,NA
H R Rowcroft,ESL,1861,1862,NA,NA
Harry Crommelin Rowcroft,ESL,1861,1871,"1,840","1,876"
A H Russell,ESL,1860,1871,"1,837","1,916"
George Augustus Frederick Ruxton,ESL,1845,1848,"1,821","1,848"
Edward Ryan,ESL,1862,1871,"1,793","1,875"
Alfred Sadler,ESL,1867,1869,NA,NA
David Salomons,ESL,1860,1871,"1,797","1,873"
Alfred M Sanderson,ESL,1862,1866,NA,NA
W  Walbank Sanderson,ESL,1869,1871,NA,NA
Humfrey Sandwith,ESL,1861,1867,"1,822","1,881"
William Satter,ESL,1843,1844,NA,NA
William Devonshire Saull,ESL,1846,1855,"1,783","1,855"
Carl Ritter von Scherzer,ESL,1861,1871,"1,821","1,903"
Robert  Herman Schomburgk,ESL,1853,1865,"1,804","1,865"
Henry R Schoolcraft,ESL,1852,1852,"1,793","1,864"
Frederick Henry Scott,ESL,1862,1862,NA,NA
John (1) Scott,ESL,1866,1868,NA,NA
Robert Scott,ESL,1843,1846,NA,NA
Thomas Scott,ESL,1866,1871,NA,NA
John Scouler,ESL,1844,1871,"1,804","1,871"
E J Selwyn,ESL,1853,1862,"1,822","1,893"
Carl Semper,ESL,1870,1871,"1,832","1,893"
George Sexton,ESL,1853,1853,NA,NA
Henry Danby Seymour,ESL,1864,1867,"1,820",NA
W Sharp,ESL,1861,1862,"1,805","1,896"
Norton Shaw,ESL,1858,1868,NA,"1,868"
William Wardrop Shaw,ESL,1864,1869,"1,816","1,895"
x Sheffield,ESL,1865,1871,"1,832","1,909"
Justin Shiel,ESL,1862,1869,"1,803","1,871"
John Joseph Shillinglaw,ESL,1843,1845,"1,831","1,905"
John Shortt,ESL,1862,1871,"1,822","1,889"
Charles Lionel Showers,ESL,1862,1871,"1,816","1,895"
James Kay Shuttleworth,ESL,1860,1869,"1,804","1,877"
P L Simmonds,ESL,1844,1844,NA,NA
James Simpson,ESL,1869,1871,"1,817","1,899"
William Henry Simpson,ESL,1867,1869,"1,843","1,914"
Joseph Sister,ESL,1844,1844,NA,NA
x Skardon,ESL,1844,1848,NA,NA
Thomas Peyton Slapp,ESL,1844,1844,NA,NA
Bath Charles Smart,ESL,1861,1871,"1,838","1,887"
J  Valentine Smedley,ESL,1868,1868,NA,NA
Andrew Smith,ESL,1844,1871,"1,797","1,872"
D  Pye Smith,ESL,1844,1844,NA,NA
Edward Osborne Smith,ESL,1861,1864,NA,"1,864"
John Smith,ESL,1860,1871,NA,NA
Thomas James Smith,ESL,1869,1871,"1,827","1,896"
Thomas Southwood Smith,ESL,1845,1847,"1,788","1,861"
R  Brough Smyth,ESL,1862,1862,"1,830","1,889"
William Parker Snow,ESL,1861,1868,"1,817","1,895"
Samuel Reynolds Solly,ESL,1861,1866,"1,781","1,866"
William Somervell,ESL,1862,1871,NA,NA
Henry Southey,ESL,1850,1857,"1,783","1,865"
G W Spence,ESL,1861,1862,NA,NA
William Spence,ESL,1843,1855,"1,783","1,860"
William Henry Spencer,ESL,1863,1867,NA,NA
T  Trevethan Spicer,ESL,1844,1844,NA,NA
William Spottiswoode,ESL,1861,1871,"1,825","1,883"
Ephraim George Squier,ESL,1852,1871,"1,821","1,888"
George St Clair,ESL,1863,1871,"1,836","1,908"
Bayle St John,ESL,1844,1845,NA,NA
James Augustus St John,ESL,1844,1845,"1,795","1,875"
Percy B St John,ESL,1844,1847,"1,821","1,889"
Spencer St John,ESL,1862,1871,"1,825","1,910"
Edward St Maur,ESL,1861,1862,NA,NA
James Joseph Stainton,ESL,1854,1862,NA,NA
William Edward Stanbridge,ESL,1861,1871,"1,821","1,894"
H I Staples,ESL,1859,1867,NA,NA
Japetus Steenstrup,ESL,1864,1871,"1,813","1,897"
Carl (Karl) Steinhauer,ESL,1863,1871,"1,801","1,902"
William Frederick Cowell Stepney,ESL,1866,1871,"1,821","1,872"
N  Henry Stevens,ESL,1862,1871,NA,NA
Alexander Patrick Stewart,ESL,1844,1871,"1,813","1,883"
Charles Edward Stewart,ESL,1869,1871,NA,NA
x Strangford,ESL,1862,1869,"1,826","1,869"
Henry Stretton,ESL,1861,1862,NA,"1,890"
John James Sturz,ESL,1844,1844,"1,800","1,877"
J P Sutherland,ESL,1854,1871,NA,NA
Edwin C Suttor,ESL,1843,1845,"1,818","1,898"
George Suttor,ESL,1844,1844,"1,774","1,859"
Richard Levinge Swift,ESL,1866,1871,"1,821","1,872"
Robert Swinhoe,ESL,1861,1871,"1,836","1,877"
J G Sylvester,ESL,1846,1846,NA,NA
J J Sylvester,ESL,1863,1863,"1,814","1,897"
Robert Tait,ESL,1854,1862,"1,816","1,897"
James Talbot de Malahide,ESL,1860,1871,"1,805","1,883"
James Tanner,ESL,1867,1871,NA,NA
x Tasmania,ESL,1861,1861,"1,803","1,879"
Richard Temple,ESL,1865,1871,"1,826","1,902"
John Tennant,ESL,1863,1871,"1,796","1,878"
James Emerson Tennent,ESL,1858,1862,"1,804","1,869"
Fred Thompson,ESL,1854,1855,NA,"1,893"
Richard John Thompson,ESL,1844,1844,NA,NA
W Thompson (2),ESL,1866,1866,NA,NA
Christian JÃ¼rgensen Thomsen,ESL,1864,1865,"1,788","1,865"
John Thomson,ESL,1866,1871,"1,837","1,921"
L E Threlkeld,ESL,1854,1871,"1,788","1,859"
John Thrupp,ESL,1863,1870,"1,817","1,870"
Edward Thurlow,ESL,1863,1871,NA,NA
John Thurnam,ESL,1852,1870,"1,810","1,873"
Richard Hill Tiddeman,ESL,1870,1871,"1,842","1,917"
Samuel Timmins,ESL,1866,1871,"1,826","1,902"
x Tinsley,ESL,1851,1855,NA,NA
C D Tolme,ESL,1856,1858,NA,NA
James Tonnere,ESL,1844,1844,NA,NA
William Tooke,ESL,1844,1844,"1,777","1,863"
Nicolas Trubner,ESL,1857,1871,"1,817","1,884"
Thomas Harrington Tuke,ESL,1849,1871,"1,826","1,888"
x Tumangung of Jehore,ESL,1866,1866,NA,NA
Henry John Turner,ESL,1856,1856,NA,NA
John Turner,ESL,1844,1844,NA,NA
William Wadden Turner,ESL,1852,1852,"1,810","1,859"
John Twiner,ESL,1843,1845,NA,NA
William Twining,ESL,1845,1845,NA,NA
John Underwood,ESL,1860,1871,NA,NA
John Ussher,ESL,1866,1868,NA,NA
George Vaughan,ESL,1865,1868,NA,NA
Jonas Daniel Vaughan,ESL,1865,1871,"1,825","1,891"
Carl Vogt,ESL,1869,1871,"1,817","1,895"
Benjamin Vulliamy,ESL,1844,1844,"1,780","1,854"
Thomas Francis Wade,ESL,1864,1871,"1,818","1,895"
x Wagstaff,ESL,1853,1856,NA,NA
James Walker,ESL,1845,1854,"1,781","1,862"
James Sydney Walker,ESL,1854,1871,NA,"1,883"
Thomas Walker,ESL,1854,1871,"1,832","1,896"
Alfred Russel Wallace,ESL,1866,1871,"1,823","1,913"
Phillipp Alexander Walther,ESL,1862,1871,"1,812","1,887"
Stephen Henry Ward,ESL,1847,1869,"1,818","1,880"
Samuel Hibbert Ware,ESL,1844,1844,"1,782","1,848"
Edward Warner,ESL,1862,1871,"1,818","1,875"
Thomas T P  Bruce Warren,ESL,1867,1871,NA,NA
W Warrington,ESL,1844,1844,NA,NA
George Waterhouse,ESL,1843,1845,"1,810","1,888"
Samuel Watson,ESL,1862,1871,NA,NA
John King Watts,ESL,1855,1865,"1,808","1,884"
Andrew Scott Waugh,ESL,1862,1871,"1,810","1,878"
George Webster,ESL,1844,1844,NA,NA
John Webster,ESL,1861,1862,NA,"1,878"
Hermann Welcker,ESL,1862,1871,"1,822","1,897"
Mordaunt Wells,ESL,1864,1867,"1,817","1,885"
Reginald Sackville West,ESL,1865,1868,"1,817","1,896"
Hodder Michael Westropp,ESL,1869,1871,"1,820","1,885"
G F Whidbourne,ESL,1846,1847,"1,805","1,871"
James Whishaw,ESL,1844,1871,"1,808","1,879"
x White,ESL,1844,1844,NA,NA
James T White,ESL,1862,1862,NA,NA
M White,ESL,1844,1844,NA,NA
x Wienecke,ESL,1862,1871,NA,NA
A L Wigan,ESL,1847,1847,NA,NA
John W Wilkins,ESL,1862,1862,NA,NA
John Gardner Wilkinson,ESL,1853,1871,"1,797","1,875"
John (2) Williams,ESL,1855,1855,"1,792","1,858"
G Williamson,ESL,1858,1862,NA,NA
David Wilson,ESL,1845,1845,NA,NA
Henry Hoyte Winwood,ESL,1869,1871,"1,831","1,920"
Henry Drummond Wolff,ESL,1862,1869,"1,830","1,908"
James Wood,ESL,1857,1857,NA,NA
Samuel Wood,ESL,1860,1871,NA,"1,879"
Robert Carr Woods,ESL,1863,1871,"1,816","1,875"
Joseph Hardman Worrall,ESL,1848,1848,"1,825","1,889"
Ferdinand Von Wrangell,ESL,1853,1870,"1,797","1,870"
Francis Beresford Wright,ESL,1870,1871,"1,837","1,911"
Thomas Wright,ESL,1853,1871,"1,810","1,877"
James Wyld,ESL,1844,1854,"1,812","1,887"
Ashton Yates,ESL,1860,1862,"1,781","1,863"
W  Holt Yates,ESL,1844,1846,"1,802","1,874"
James Yearsley,ESL,1845,1845,"1,805","1,869"
Arthur de Zeltner,ESL,1865,1871,NA,NA
Arthur William A Beckett,ASL,1864,1867,"1,844","1,909"
Andrew Mercer Adam,ASL,1865,1867,NA,NA
H R Adam,ASL,1870,1871,NA,NA
Henry John Adams,ASL,1864,1869,NA,NA
William Adlam,ASL,1863,1866,NA,NA
Louis Agassiz,ASL,1863,1871,"1,807","1,873"
Anastasius Agathides,ASL,1867,1868,"1,805","1,881"
Joseph Agnew,ASL,1867,1870,NA,NA
William Baird Airston,ASL,1863,1867,NA,NA
Thomas Aitken,ASL,1863,1869,NA,NA
Frederick W Aley,ASL,1864,1867,NA,NA
J  McGrigor Allan,ASL,1866,1869,NA,NA
S  Stafford Allen,ASL,1863,1870,"1,840","1,870"
George Allin,ASL,1867,1870,NA,NA
Charles Hamond Alpe,ASL,1866,1869,"1,837","1,882"
Crewe Alston,ASL,1866,1869,"1,828","1,901"
George Amner,ASL,1868,1868,"1,873","1,901"
Edward C Anderson,ASL,1865,1866,NA,NA
John Anderson,ASL,1865,1867,NA,NA
Joseph Anderson,ASL,1865,1871,"1,832","1,916"
William Arbuthnot,ASL,1868,1871,NA,NA
Richard Edward Arden,ASL,1864,1867,"1,804","1,894"
Alexander Aria,ASL,1866,1866,NA,NA
William Armitage,ASL,1864,1871,"1,815","1,903"
T  B Armitstead,ASL,1863,1865,NA,NA
Edward Arnold,ASL,1868,1871,NA,"1,872"
Richard Arnold,ASL,1866,1871,"1,808","1,876"
William Arthur,ASL,1865,1870,"1,819","1,901"
Rodolph Arundell,ASL,1863,1869,"1,837","1,877"
Isidore Ascher,ASL,1869,1870,"1,835","1,933"
Charles Frederick Ash,ASL,1864,1871,NA,NA
James Ashbury,ASL,1864,1868,"1,834","1,895"
John Ashbury,ASL,1863,1867,NA,NA
William Aspull,ASL,1865,1867,NA,NA
John Atcherley,ASL,1867,1867,NA,NA
Charles Atkins,ASL,1868,1871,NA,NA
George Atkinson,ASL,1869,1871,NA,NA
Alfred Aubert,ASL,1865,1867,NA,NA
Charles Cardale Babington,ASL,1864,1871,"1,808","1,895"
William Babington,ASL,1864,1869,NA,NA
Carl Ernst von Baer,ASL,1863,1871,"1,792","1,876"
Charles Henry Bagnall,ASL,1867,1869,NA,"1,869"
Charles Stuart Bailey,ASL,1865,1869,"1,819","1,883"
John Bailey (2),ASL,1863,1863,NA,NA
James Bain,ASL,1865,1871,"1,818","1,898"
Benson Baker,ASL,1864,1866,NA,NA
J P Baker,ASL,1863,1869,NA,NA
Henry Barber,ASL,1865,1866,NA,NA
Robert Baring,ASL,1865,1866,NA,NA
Henry Walter Barlow,ASL,1865,1867,"1,830","1,867"
Christopher J Barnard,ASL,1866,1869,NA,NA
Henry Thorowgood Barnes,ASL,1865,1868,NA,NA
Joseph Henry Barr,ASL,1863,1869,NA,NA
William Roby Barr,ASL,1863,1871,"1,832",NA
Thomas Squire Barrett,ASL,1865,1871,NA,NA
George William Barrington,ASL,1865,1871,"1,824","1,886"
C M Barter,ASL,1867,1868,NA,NA
William Edward Bartlett,ASL,1864,1871,"1,836","1,908"
Alfred Barton,ASL,1864,1867,"1,825","1,905"
Ernest Bates,ASL,1866,1869,NA,NA
William Battye,ASL,1867,1871,NA,NA
Edwin Henry Baverstock,ASL,1866,1867,NA,NA
James Bainbridge Baxter,ASL,1865,1871,NA,NA
Samuel Beal,ASL,1864,1869,"1,825","1,889"
John S Beale,ASL,1863,1867,NA,NA
Amos Beardsley,ASL,1863,1867,NA,NA
Hugh J C Beavan,ASL,1863,1866,NA,NA
R C Beavan,ASL,1865,1867,NA,NA
Alfred Becquet,ASL,1865,1871,NA,NA
Hermann Beigel,ASL,1865,1871,"1,830","1,879"
C W  Bowdler Bell,ASL,1867,1869,"1,839",NA
Edward Bellamy,ASL,1865,1871,"1,837","1,889"
Henry Walter Bellew,ASL,1870,1871,"1,834","1,892"
William Painter Belliss,ASL,1865,1867,NA,NA
D Bellock,ASL,1867,1867,NA,NA
Adolph Bendir,ASL,1867,1871,"1,834",NA
Thomas Bendyshe,ASL,1863,1871,"1,827","1,886"
Charles Bennett,ASL,1867,1871,NA,NA
John Bennett,ASL,1865,1869,"1,814","1,897"
Thomas John Wesley Bennett,ASL,1866,1871,NA,NA
W F G Benson,ASL,1863,1869,NA,NA
William Ralph Benson,ASL,1868,1869,NA,NA
George Bertram,ASL,1864,1871,NA,NA
Camille Bertrand,ASL,1863,1863,NA,"1,863"
x Best,ASL,1864,1869,NA,NA
John Henry Biddles,ASL,1868,1869,"1,821","1,903"
John Bilderbeck,ASL,1865,1871,NA,NA
Theodor Bilharz,ASL,1864,1871,"1,825","1,862"
Henry Corles Bingham,ASL,1864,1868,"1,801","1,868"
James Bischoff,ASL,1865,1871,NA,NA
Andrew Black,ASL,1870,1871,"1,851","1,916"
Alan Cornwall Blackstone,ASL,1863,1864,"1,833","1,899"
T A Blakely,ASL,1863,1868,"1,827","1,868"
Henry Jules Blanc,ASL,1865,1871,NA,NA
Sydney L Blanchard,ASL,1865,1867,NA,NA
Albert Taylor Bledsoe,ASL,1863,1869,"1,809","1,877"
David Blellock,ASL,1866,1868,NA,NA
John Hillier Blount,ASL,1864,1866,"1,822","1,866"
Frederick Edmund Blyth,ASL,1865,1868,"1,819","1,868"
Henry S Boase,ASL,1863,1866,NA,NA
Anatoly Petrovich Bogdanoff,ASL,1867,1871,"1,834","1,896"
Edward B Bogg,ASL,1863,1869,NA,NA
Charles W Bollaert,ASL,1866,1871,NA,NA
William Bollaert,ASL,1863,1870,"1,807","1,876"
Charles Radcliffe Bond,ASL,1867,1869,NA,NA
Walter M Bond,ASL,1863,1865,NA,NA
W C Bonnerjee,ASL,1866,1869,"1,844","1,906"
T  George Bonney,ASL,1863,1869,"1,833","1,923"
Evert Julius Bonsdorff,ASL,1868,1871,"1,810","1,898"
James Bonsor,ASL,1869,1871,NA,"1,881"
James Bonwick,ASL,1869,1871,"1,817","1,906"
Charles Booth,ASL,1865,1868,"1,840","1,916"
W W Boreham,ASL,1863,1869,"1,804","1,887"
Cunningham Borthwick,ASL,1865,1871,"1,813","1,885"
Joseph Bosworth,ASL,1864,1867,"1,788","1,876"
x Boucher de Crevecoeur de Perthes,ASL,1863,1868,"1,788","1,868"
x Boudin,ASL,1863,1867,"1,806","1,867"
George Boulton,ASL,1863,1869,NA,NA
Brasseur de Bourbourg,ASL,1866,1871,"1,814","1,874"
Sydney Edward Bouverie Bouverie-Pusey,ASL,1863,1871,"1,839","1,911"
Thomas William Bowman,ASL,1866,1869,NA,"1,893"
William Henry Wentworth Bowyer,ASL,1866,1869,"1,807","1,872"
William Binnington Boyce,ASL,1865,1866,"1,804","1,889"
Jacob Boys,ASL,1863,1871,"1,796","1,884"
Edward William Brabrook,ASL,1864,1871,"1,839","1,930"
Frederick Braby,ASL,1865,1871,"1,830","1,911"
Antonio Brady,ASL,1864,1871,"1,811","1,881"
P A Brady,ASL,1867,1871,NA,NA
George M Braggiotti,ASL,1863,1867,NA,NA
Charles Brainsford,ASL,1863,1866,NA,NA
Thomas Brankstone,ASL,1867,1869,NA,NA
Frank William Breach,ASL,1869,1869,NA,NA
A C Brebner,ASL,1867,1871,NA,"1,873"
James Brebner,ASL,1863,1871,"1,793","1,874"
Charles Brett,ASL,1865,1871,NA,"1,878"
J S Brickwood,ASL,1864,1866,NA,NA
John Brinton,ASL,1864,1865,"1,827","1,914"
Bernard Edward Brodhurst,ASL,1863,1865,"1,822","1,900"
David Brodie,ASL,1866,1869,"1,821","1,909"
P B Brodie,ASL,1863,1865,NA,NA
Frederick Brome,ASL,1864,1870,NA,"1,870"
James Brooke,ASL,1864,1868,"1,803","1,868"
Henry (2) Brookes,ASL,1864,1866,NA,NA
William Brookes,ASL,1865,1867,NA,NA
Charles Cornish Brown,ASL,1870,1871,"1,846","1,875"
Edward Brown,ASL,1864,1865,NA,NA
Edwin Brown,ASL,1865,1865,"1,818","1,876"
Edwin Ormond Brown,ASL,1864,1868,NA,NA
George W  (1) Brown,ASL,1864,1871,NA,NA
James Roberts Brown,ASL,1864,1871,NA,NA
John Allen Brown,ASL,1865,1871,"1,831","1,903"
John Harcourt Brown,ASL,1865,1866,NA,NA
x Brown-Sequard,ASL,1863,1863,"1,817","1,894"
Thomas Henry Browne,ASL,1867,1871,NA,NA
Robert Bruce,ASL,1867,1870,NA,NA
Ernst Wilhelm Ritter von Brucke,ASL,1863,1871,"1,819","1,892"
George Bryant,ASL,1867,1871,NA,NA
Ludwig Buchner,ASL,1864,1871,"1,824","1,899"
James Buckman,ASL,1863,1871,"1,818","1,884"
William Bull,ASL,1867,1871,"1,828","1,902"
Henry Christopher Bunkell,ASL,1863,1869,"1,829","1,903"
Henry Burden,ASL,1865,1866,"1,835","1,893"
Daniel Earl Burdett,ASL,1870,1870,NA,NA
August Friedrich Marschall von Burgholzhausen,ASL,1864,1871,"1,804","1,887"
John Smith Burke,ASL,1864,1868,NA,"1,868"
Luke Burke,ASL,1863,1864,NA,"1,885"
Hermann Burmeister,ASL,1864,1871,"1,807","1,892"
Samuel Burton,ASL,1864,1867,NA,NA
Johann Karl Eduard Buschmann,ASL,1863,1871,"1,805","1,880"
William John Busteed,ASL,1866,1871,"1,836","1,914"
Henry Butler,ASL,1864,1871,"1,838",NA
James Butler,ASL,1867,1871,NA,NA
Charles Buxton,ASL,1864,1866,"1,823","1,871"
Isaac Byerley,ASL,1864,1870,"1,814","1,897"
George Byham,ASL,1863,1865,"1,826",NA
John O'Connell Byrne,ASL,1866,1867,NA,NA
Benjamin Bond Cabbell,ASL,1864,1871,"1,782","1,874"
Henry Callaway,ASL,1864,1871,"1,817","1,890"
Thomas Callaway,ASL,1864,1869,"1,822","1,869"
John Calman,ASL,1870,1871,NA,NA
Luigi Calori,ASL,1871,1871,"1,807","1,896"
Frank Calvert,ASL,1867,1867,"1,828","1,908"
George Calvert,ASL,1866,1867,NA,NA
Charles Duncan Cameron,ASL,1863,1869,NA,"1,870"
Francis Campbell,ASL,1866,1871,"1,798","1,877"
George (1) Campbell,ASL,1869,1870,"1,824","1,892"
Henry Campbell,ASL,1864,1869,NA,NA
James Campbell,ASL,1864,1871,NA,NA
Montgomery Campbell,ASL,1863,1867,NA,NA
Robert Campbell,ASL,1865,1866,"1,829","1,884"
T A Campbell,ASL,1868,1871,NA,NA
Francis Campin,ASL,1866,1867,NA,NA
Thomas Cannon,ASL,1864,1867,NA,NA
Jean-Francois Caplin,ASL,1864,1869,"1,790","1,872"
Charles Capper,ASL,1864,1866,"1,822","1,869"
Charles Napoleon de Cardi,ASL,1868,1871,"1,844","1,906"
William D Carey,ASL,1865,1871,"1,837","1,917"
John Burford Carlill,ASL,1867,1871,"1,814","1,874"
Robert Carrington,ASL,1867,1867,NA,NA
Samuel Cartwright,ASL,1863,1871,"1,789","1,864"
Facundo Carulla,ASL,1864,1867,NA,NA
Carl Gustav Carus,ASL,1863,1869,"1,789","1,869"
John Cassell,ASL,1864,1865,"1,817","1,865"
FranÃ§ois Louis Nompar de Caumont La Force Castelnau,ASL,1863,1871,"1,810","1,880"
Henry James Castle,ASL,1866,1869,NA,NA
Daniel de Castro,ASL,1868,1869,NA,NA
George Catlin,ASL,1866,1871,"1,796","1,872"
John Cavafy,ASL,1865,1871,"1,838","1,901"
"Antonio de La, jun Cerda",ASL,1865,1871,"1,834","1,885"
John Henry Challis,ASL,1865,1871,"1,806","1,880"
William Chamberlin,ASL,1863,1871,NA,NA
Charles Harcourt Chambers,ASL,1863,1871,"1,826","1,876"
William Chambers,ASL,1864,1871,"1,809","1,882"
James Champley,ASL,1866,1871,NA,"1,888"
Frank Chance,ASL,1864,1871,"1,825","1,897"
David Charles,ASL,1865,1869,"1,812","1,878"
Edward Charlesworth,ASL,1866,1871,"1,813","1,893"
Henry Charlton,ASL,1864,1871,NA,"1,872"
Samuel Cheetham,ASL,1866,1869,"1,827",NA
Hendrick Agnis Chignell,ASL,1863,1864,"1,833","1,879"
Robert Caesar Childers,ASL,1865,1870,"1,838","1,876"
Samuel Chinnery,ASL,1865,1871,"1,828",NA
William Nathan Chipperfield,ASL,1865,1871,"1,822","1,873"
P H Chittenden,ASL,1867,1869,NA,NA
Henry Clare,ASL,1864,1865,NA,NA
x Clarendon,ASL,1864,1870,"1,800","1,870"
Henry Clark,ASL,1863,1864,NA,NA
Henry Wilberforce Clarke,ASL,1866,1869,"1,840","1,905"
Hyde Clarke,ASL,1865,1867,"1,815","1,895"
William Henry Claus,ASL,1865,1868,NA,NA
T H  Jun Clay,ASL,1868,1871,NA,NA
John (1) Cleghorn,ASL,1869,1871,NA,NA
John (2) Cleghorn,ASL,1868,1869,NA,NA
John Cleland,ASL,1863,1864,"1,835",NA
William James Clement,ASL,1863,1870,"1,802","1,870"
H Clerk,ASL,1864,1871,NA,NA
Maurice Philip Clifford,ASL,1865,1867,NA,NA
F W Coates,ASL,1867,1869,NA,NA
Henry Coates,ASL,1867,1867,NA,NA
Frederick Cock,ASL,1867,1868,NA,NA
John jun Cock,ASL,1864,1870,NA,NA
W  Spencer Cockings,ASL,1863,1866,NA,NA
James Coke,ASL,1867,1867,NA,NA
John Colam,ASL,1870,1871,"1,827","1,910"
W P Colchester,ASL,1868,1870,NA,NA
Henry Cole,ASL,1864,1871,"1,808","1,882"
Richard Beverley Cole,ASL,1864,1871,"1,829","1,901"
Vicat Cole,ASL,1865,1871,"1,833","1,893"
Edmund Walter Coleman,ASL,1868,1870,NA,"1,870"
John Payne Collier,ASL,1864,1868,"1,789","1,883"
Thomas Collings,ASL,1865,1866,"1,798","1,869"
John Frederick Collingwood,ASL,1863,1871,"1,830","1,923"
S  Edwin Collingwood,ASL,1863,1869,NA,NA
John (1) Collinson,ASL,1866,1871,"1,842","1,922"
John Congreve,ASL,1867,1867,NA,NA
Moncure Daniel Conway,ASL,1869,1871,"1,832","1,907"
Samuel John Cooke,ASL,1869,1871,NA,NA
William Fothergill Cooke,ASL,1864,1871,"1,806","1,879"
William Gifford Cookesley,ASL,1865,1866,"1,802","1,880"
Daniel Cooper,ASL,1863,1871,"1,821","1,902"
Frederick Cooper,ASL,1866,1871,NA,NA
Holmes Coote,ASL,1865,1869,"1,817","1,872"
H Copham,ASL,1863,1865,NA,NA
Thomas Copings,ASL,1863,1864,NA,NA
William C Copperthwaite,ASL,1867,1871,"1,809","1,890"
William Cory,ASL,1864,1868,NA,"1,868"
Frederick William Cosens,ASL,1864,1871,"1,819","1,889"
Handel Cossham,ASL,1864,1865,"1,824","1,890"
F L Cotton,ASL,1865,1870,NA,NA
Samuel Courtauld,ASL,1864,1871,"1,793","1,881"
