"Source","Target","first_year","last_year","birth_year","death_year"
Charles Harcourt Chambers,ESL,1862,1871,"1,826","1,876"
Escott Chambers,ESL,1869,1869,NA,NA
William Charlton,ESL,1855,1871,"1,814","1,880"
Frederick Chatfield,ESL,1860,1862,"1,801","1,872"
William Dinsdale Child,ESL,1844,1871,NA,"1,879"
Robert Walker Childs,ESL,1844,1844,NA,NA
T J Cholmondeley,ESL,1868,1871,"1,818","1,883"
William Dingle Chowne,ESL,1844,1844,"1,791","1,870"
Henry Christy,ESL,1854,1865,"1,810","1,865"
James Graham Churcher,ESL,1862,1863,NA,NA
x Clark,ESL,1843,1848,NA,NA
James Clark,ESL,1844,1870,"1,788","1,870"
C Clarke,ESL,1843,1843,NA,NA
Hyde Clarke,ESL,1867,1867,"1,815","1,895"
John Clarke,ESL,1855,1855,"1,802","1,879"
Robert Clarke,ESL,1862,1871,NA,NA
William Aloysius Clavering,ESL,1861,1871,"1,800","1,872"
William Clay,ESL,1861,1868,"1,791","1,869"
John Clendinning,ESL,1844,1848,NA,NA
William Clift,ESL,1844,1849,"1,775","1,849"
Edward North Clifton,ESL,1844,1844,NA,NA
Thomas Coates,ESL,1844,1844,NA,NA
W  Spencer Cockings,ESL,1862,1866,NA,NA
Thomas Edward Colebrooke,ESL,1860,1871,"1,813","1,890"
John Sherrard Coleman,ESL,1854,1871,"1,828","1,905"
x Collier,ESL,1844,1844,NA,NA
W W Collins,ESL,1862,1871,NA,"1,880"
x Colonsay,ESL,1867,1871,"1,793","1,874"
John Conolly,ESL,1851,1855,"1,794","1,866"
George Ford Copeland,ESL,1861,1871,"1,810","1,873"
Tullie Cornthwaite,ESL,1845,1871,"1,807",NA
W Coulson,ESL,1844,1844,"1,795","1,860"
John Crawfurd,ESL,1847,1868,"1,783","1,868"
Oswald John Crawfurd,ESL,1861,1871,"1,834","1,909"
W J Crichton,ESL,1862,1868,NA,NA
J  McGregor Croft,ESL,1860,1862,NA,NA
Thomas Francis Dillon Croker,ESL,1857,1871,"1,831","1,912"
Jonathan Sparrow Crowley,ESL,1862,1867,"1,826","1,888"
Richard Cull,ESL,1845,1857,NA,"1,892"
Henry Syer Cuming,ESL,1844,1844,"1,817","1,902"
Richard S Cunliffe,ESL,1855,1871,NA,"1,879"
Alexander Cunningham,ESL,1869,1871,"1,814","1,893"
Manockjee Cursetjee,ESL,1865,1868,"1,808","1,887"
George Cutler,ESL,1860,1871,NA,NA
Marie-Armand de Castera-Macaya D'Avezac,ESL,1855,1871,"1,798","1,875"
T Dakin,ESL,1856,1856,NA,NA
David Dale,ESL,1860,1863,"1,829","1,906"
G  Wythes Daniell,ESL,1858,1871,NA,NA
William Freeman Daniell,ESL,1843,1865,"1,818","1,865"
Robert Dukinfield Darbishire,ESL,1868,1871,"1,826","1,908"
P  Francis Dart,ESL,1843,1851,NA,NA
Charles Darwin,ESL,1861,1871,"1,809","1,882"
Erasmus (Ras) Darwin,ESL,1862,1863,"1,804","1,881"
George Webbe Dasent,ESL,1860,1860,"1,817","1,896"
George Henry Daw,ESL,1868,1871,NA,NA
William Boyd Dawkins,ESL,1869,1871,"1,837","1,929"
