"Source","Target"
x Brougham,Society for the Diffusion of Useful Knowledge
Charles Cornish Brown,Royal College of Surgeons
Edwin Brown,Geological Society
Edwin Brown,Midland Natural History Society
Edwin Brown,Entomological Society of London
Edwin Brown,Royal Geographical Society
Edwin Brown,Botanical Society of London
Edwin Ormond Brown,Chemical Society
James Roberts Brown,Royal Geographical Society
James Roberts Brown,Royal Society of Northern Antiquities
James Roberts Brown,Ex Libris Society
John Allen Brown,Royal Geographical Society
John Allen Brown,Geological Society
John Allen Brown,Royal Scottish Geographical Society
x Brown-Sequard,Royal Society
Thomas Henry Browne,Geological Society
George Bryant,Entomological Society of London
James Buckman,Linnean Society of London
James Buckman,Geological Society
William Bull,Linnean Society of London
William Bull,Geological Society
Henry Burden,Royal College of Surgeons
August Friedrich Marschall von Burgholzhausen,Geological Society
George Busk,Royal College of Surgeons
George Busk,Royal Society
George Busk,Linnean Society of London
George Busk,Geological Society
George Busk,Zoological Society
Charles Buxton,"Society for the Encouragement of Arts, Manufactures and Commerce"
Isaac Byerley,Royal College of Surgeons
Isaac Byerley,Linnean Society of London
Benjamin Bond Cabbell,Royal Society
Benjamin Bond Cabbell,Society of Antiquaries
Benjamin Bond Cabbell,"Society for the Encouragement of Arts, Manufactures and Commerce"
Thomas Callaway,Royal College of Surgeons
Thomas Callaway,Medical and Chirurgical Society of London
George Calvert,Royal College of Surgeons
Charles Duncan Cameron,Royal Asiatic Society
Charles Duncan Cameron,Royal Geographical Society
Archibald Campbell,Linnean Society of London
James Campbell,Royal Geographical Society
Jean-Francois Caplin,"Society for the Encouragement of Arts, Manufactures and Commerce"
Robert Carrington,Royal Geographical Society
Samuel Cartwright,Linnean Society of London
Samuel Cartwright,Geological Society
Samuel Cartwright,Royal Society
Samuel Cartwright,Medical and Chirurgical Society of London
Samuel Cartwright,"Society for the Encouragement of Arts, Manufactures and Commerce"
Facundo Carulla,Manchester Scientific Student's Association
Facundo Carulla,Sociedad Antropologica Espanola
John Cavafy,Royal College of Physicians
