"Name","id"
Jean-Francois Caplin,352
Charles Capper,353
Charles Napoleon de Cardi,354
William D Carey,355
John Burford Carlill,356
Frederick Stanley Carpenter,358
Robert Carrington,359
George Carter,361
Samuel Cartwright,362
Facundo Carulla,363
Carl Gustav Carus,364
John Cassell,365
Fran̤ois Louis Nompar de Caumont La Force Castelnau,367
Henry James Castle,368
Daniel de Castro,369
George Catlin,370
John Cavafy,372
Richard Cavendish,373
"Antonio de La, jun Cerda",374
Edwin Chadwick,375
Hugo Mavesyn Chadwick,376
John Henry Challis,377
William Chamberlin,378
Charles Harcourt Chambers,379
Escott Chambers,380
William Chambers,381
James Champley,382
Frank Chance,383
David Charles,384
Edward Charlesworth,385
Henry Charlton,386
William Charlton,387
Frederick Chatfield,389
Samuel Cheetham,390
F W Chesson,391
Hendrick Agnis Chignell,392
William Dinsdale Child,393
Robert Caesar Childers,394
Robert Walker Childs,395
Samuel Chinnery,396
William Nathan Chipperfield,397
P H Chittenden,398
T J Cholmondeley,399
William Dingle Chowne,401
Henry Christy,403
Thomas junior Christy,404
James Graham Churcher,405
Henry Clare,406
x Clarendon,407
x Clark,408
Henry Clark,409
James Clark,410
C Clarke,411
Henry Wilberforce Clarke,412
Hyde Clarke,413
John Clarke,414
Robert Clarke,415
William Henry Claus,416
William Aloysius Clavering,417
T H  Jun Clay,418
William Clay,419
John (1) Cleghorn,420
John (2) Cleghorn,421
John Cleland,422
William James Clement,423
John Clendinning,424
H Clerk,425
Maurice Philip Clifford,426
William Clift,427
Edward North Clifton,428
F W Coates,430
Henry Coates,431
Thomas Coates,432
Frederick Cock,434
John jun Cock,435
W  Spencer Cockings,436
James Coke,437
John Colam,438
W P Colchester,439
Henry Cole,440
Richard Beverley Cole,442
Vicat Cole,443
Thomas Edward Colebrooke,444
Edmund Walter Coleman,445
John Sherrard Coleman,446
x Collier,448
John Payne Collier,449
Thomas Collings,450
John Frederick Collingwood,452
S  Edwin Collingwood,453
W W Collins,454
John (1) Collinson,455
x Colonsay,457
John Congreve,458
John Conolly,459
Moncure Daniel Conway,460
Samuel John Cooke,461
William Fothergill Cooke,462
William Gifford Cookesley,463
Daniel Cooper,464
Frederick Cooper,465
Holmes Coote,466
George Ford Copeland,467
H Copham,468
Thomas Copings,469
William C Copperthwaite,470
Tullie Cornthwaite,471
William Cory,472
Frederick William Cosens,473
Handel Cossham,474
F L Cotton,475
W Coulson,476
Samuel Courtauld,477
F G Courthope,478
J  Jermyn Cowell,479
Joseph jun Cowen,480
Henry Augustus Cowper,481
Irwin Edward Bainbridge Cox,482
J W  Conrad Cox,483
W T Cox,484
James Coxe,485
Arthur Edmund Crafter,486
Henry Valentine Crassweller,487
Thomas William Craster,488
Tom junr Craston,489
Robert Crawford,490
Frederick A B Crawfurd,491
John Crawfurd,492
Oswald John Crawfurd,493
W J Crichton,496
George Critchett,498
J  McGregor Croft,499
Thomas Francis Dillon Croker,500
J M Crolly,501
A G Cross,502
Henry Crowley,503
Jonathan Sparrow Crowley,504
George Rayner Croxford,505
Moore A Cuffe,506
Richard Cull,507
Henry Syer Cuming,509
Richard S Cunliffe,510
Alexander Cunningham,511
Manockjee Cursetjee,512
Edward Barrett Hodges Curteis,513
John Cuthbert,514
John Richmond Cuthbert,515
George Cutler,516
William Barrington D'Almeida,517
Marie-Armand de Castera-Macaya D'Avezac,518
Jean Baptiste Julien D'Omalius d'Halloy,519
S J Da Costa,520
x Daa,521
T Dakin,522
David Dale,523
G P Dall,524
Eugene Dally,525
G  Wythes Daniell,527
William Freeman Daniell,529
Robert Dukinfield Darbishire,531
Frederick Whittock Darby,532
Camille Dareste,533
P  Francis Dart,534
George Russell Dartnell,535
Charles Darwin,536
Erasmus (Ras) Darwin,537
George Webbe Dasent,538
Arthur Dashwood,539
Samuel Davenport,540
John George Davey,541
John Davidson,542
I Davie,543
F  Drummond Davies,544
Jesse Conway Davies,545
William Davies,546
Edmund Francis Davis,547
Frederick E Davis,548
George Henry Daw,553
William Boyd Dawkins,554
George Dawson,555
Walter F Dawson,556
G T Day,557
Samuel Phillips Day,558
John junr De Horne,559
Octave Delepierre,560
Walter Cooper Dendy,561
George Denman,563
George Dennis,565
x Derby (formerly Stanley),566
M Des Barres,567
Jules Desnoyers,568
Charles William Devis,569
x Devonshire,570
Hugh Welch Diamond,571
George Dibley,572
John jun Dickinson,573
John Jun Dickinson,574
Henry Dickman,575
Charles Sheffield Dickson,576
Peter Dickson,577
Ernest Dieffenbach,579
x Diezmann,580
Charles Wentworth Dilke,581
John Dingle,582
Henry Distin,584
Thomas J Dobson,586
Jacob Ludwig Dohne,587
William Donald,588
John Donaldson,589
x Donnell,590
Cornelius Donovan,591
Bernard Dorn,592
James Dowie,593
John Langdon H Down,594
Alexander Downing,596
Arthur Edward Downing,597
Washington Downing,598
James T J Doyle,600
D I Drakeford,602
James F Draper,603
Gustavus Dressler,604
Robert A Drew,605
H Driver,606
John Drummond,607
Paul Belloni Du Chaillu,608
C A Du Val,609
Gustaf Von Duben,610
x Dublin,611
Frederick Duckworth,612
Henry Duckworth,613
Samuel Duckworth,614
William Duckworth,615
R E Dudgeon,616
Reginald R Dudley,617
J R Duggan,618
W N Duggan,619
Emile Duhousset,620
Conrad C Dumas,621
x Dumon,622
Alexander Duncan,623
David Duncan,624
Francis Duncan,625
Peter Martin Duncan,626
R  Murray Dundas,627
Alfred John Dunkin,628
Alexander Milne Dunlop,629
R H W Dunlop,630
