"Source","Target"
William Wilson Hunter,AI
Jonathan Hutchinson,AI
Thomas Henry Huxley,AI
John Inglis,AI
x Isenburg,AI
Henry (the son) Jackson,AI
Henry William (1) Jackson,AI
J W Jackson,AI
Horatio Gay James,AI
John Moore Jeffcott,AI
Frederick John Jeffery,AI
Edmund Jeffries,AI
William Jennings,AI
Leonard Jenyns LATER Blomefield,AI
William Jepson,AI
George Curling Joad,AI
Arthur Johnson,AI
x Johore,AI
James Jones,AI
William Arthur Jones,AI
J W  (2) Kaye,AI
Claude Buchanan Ker,AI
Nicolai de Khanikof,AI
Joshua Edward Killick,AI
William Kincaid,AI
Edwin Holborow King,AI
Richard King,AI
Charles Kingsley,AI
David Kinloch,AI
Richard Kirwan,AI
J L Knapp,AI
William White La Barte,AI
Samuel Laing,AI
Thomas Josiah Laing,AI
John Lancaster,AI
Augustus Henry Lane Fox later Pitt Rivers,AI
Andrew Lang,AI
J Langlands,AI
Robert Gordon Latham,AI
Edward Lawford,AI
Austen Henry Layard,AI
John Edward Lee,AI
Samuel Lees,AI
Joseph Leidy,AI
Henry Leighton,AI
Arthur Charles Wriothesley Lennox,AI
Richard Lepsius,AI
Karl Georg Friedrich Rudolf Leuckart,AI
William Lockhart,AI
Abraham Logan,AI
J R Logan,AI
William Long,AI
Edward Lord,AI
Horatio Love,AI
Basil Lovery,AI
John Lubbock,AI
Johann Constantin August Lucae,AI
William Collings Lukis,AI
John Alfred Lush,AI
Coryndon H Luxmoore,AI
John Macartney,AI
John Gray Macfarlane,AI
G Macgowan,AI
Draper Mackinder,AI
David Mackintosh,AI
Hector Maclean,AI
George Macleay,AI
Andrew Maclure,AI
William Elphinstone Malcolm,AI
Robert James Mann,AI
Clements Robert Markham,AI
Matthew Henry Marsh,AI
Edward W Martin,AI
John (2) Martin,AI
Richard Biddulph Martin,AI
James Wood Mason,AI
James Mathieson,AI
Henry Matthews,AI
Alfred Maury,AI
Peter Benson Maxwell,AI
Edward Hooper May,AI
Joseph Mayer,AI
William Frederick Mayers,AI
John S Mayson,AI
James McClelland,AI
John McCormick,AI
John McDonnell,AI
John Ferguson McLennan,AI
Walter McLeod,AI
John Frederick McNair,AI
Barr Meadows,AI
Charles William Carter Madden Medlicott,AI
James Aitken Meigs,AI
John Magens Mello,AI
Evan Powell Meredith,AI
Alexander Michie,AI
William Augustus Miles,AI
John Miller,AI
Joseph Milligan,AI
Henry F Mills,AI
Henri Milne-Edwards,AI
x Milton,AI
Albert Mitchell,AI
Alexander (1) Mitchell,AI
Matthew Moggridge,AI
Frederick Butler Montgomerie,AI
John Moody,AI
George Moore,AI
Henry Reginald Moore,AI
John (1) Moore,AI
John (2) Moore,AI
Robert Waters Moore,AI
Fortescue John Morgan,AI
William Henry Morgan,AI
